Orthogroup	Pocillopora_meandrina_HIv1.genes.pep	Porites_evermanni_v1.annot.pep
OG0000261	Pocillopora_meandrina_HIv1___RNAseq.g21162.t1	Peve_00005481
OG0000266	Pocillopora_meandrina_HIv1___RNAseq.g8558.t1	Peve_00025939, Peve_00008279
OG0000267	Pocillopora_meandrina_HIv1___RNAseq.g11013.t1, Pocillopora_meandrina_HIv1___RNAseq.g11010.t1	Peve_00016420, Peve_00006206, Peve_00006201, Peve_00015273, Peve_00028194, Peve_00020385, Peve_00020378, Peve_00028199, Peve_00006209, Peve_00006207, Peve_00006208
OG0000268	Pocillopora_meandrina_HIv1___RNAseq.g29824.t1	Peve_00017910, Peve_00004881, Peve_00025145, Peve_00042889, Peve_00037539, Peve_00045127, Peve_00045140, Peve_00002982, Peve_00037545, Peve_00037544, Peve_00028329, Peve_00035427, Peve_00002209, Peve_00028533, Peve_00008166, Peve_00035428, Peve_00035424, Peve_00002204, Peve_00035426
OG0000269	Pocillopora_meandrina_HIv1___TS.g700.t1b	Peve_00000727
OG0000269	Pocillopora_meandrina_HIv1___RNAseq.g13693.t1, Pocillopora_meandrina_HIv1___RNAseq.g24526.t1, Pocillopora_meandrina_HIv1___RNAseq.g13698.t1, Pocillopora_meandrina_HIv1___RNAseq.g23426.t1, Pocillopora_meandrina_HIv1___RNAseq.g2718.t1, Pocillopora_meandrina_HIv1___TS.g9723.t1, Pocillopora_meandrina_HIv1___RNAseq.g16278.t1, Pocillopora_meandrina_HIv1___RNAseq.g25793.t1, Pocillopora_meandrina_HIv1___RNAseq.g21870.t1, Pocillopora_meandrina_HIv1___TS.g5561.t1, Pocillopora_meandrina_HIv1___RNAseq.g1434.t1, Pocillopora_meandrina_HIv1___RNAseq.g16279.t1, Pocillopora_meandrina_HIv1___RNAseq.g16287.t1, Pocillopora_meandrina_HIv1___RNAseq.g20851.t1, Pocillopora_meandrina_HIv1___TS.g11161.t1	Peve_00001350, Peve_00013967, Peve_00033885
OG0000271	Pocillopora_meandrina_HIv1___RNAseq.g1023.t1	Peve_00020190
OG0000273	Pocillopora_meandrina_HIv1___RNAseq.g21876.t1	Peve_00010562, Peve_00017889
OG0000277	Pocillopora_meandrina_HIv1___TS.g9751.t1	Peve_00028993
OG0000277	Pocillopora_meandrina_HIv1___TS.g16388.t1, Pocillopora_meandrina_HIv1___RNAseq.g17573.t1, Pocillopora_meandrina_HIv1___RNAseq.g23506.t1, Pocillopora_meandrina_HIv1___TS.g14470.t1, Pocillopora_meandrina_HIv1___RNAseq.g18436.t1, Pocillopora_meandrina_HIv1___RNAseq.g23484.t1, Pocillopora_meandrina_HIv1___RNAseq.g1896.t1, Pocillopora_meandrina_HIv1___RNAseq.g18611.t1, Pocillopora_meandrina_HIv1___RNAseq.g17572.t1, Pocillopora_meandrina_HIv1___RNAseq.g16271.t1, Pocillopora_meandrina_HIv1___RNAseq.g20901.t1, Pocillopora_meandrina_HIv1___RNAseq.g14929.t1, Pocillopora_meandrina_HIv1___RNAseq.g1898.t1, Pocillopora_meandrina_HIv1___RNAseq.g18609.t1, Pocillopora_meandrina_HIv1___TS.g16391.t1, Pocillopora_meandrina_HIv1___TS.g16373.t1, Pocillopora_meandrina_HIv1___RNAseq.g17571.t1	Peve_00000865, Peve_00028994
OG0000280	Pocillopora_meandrina_HIv1___TS.g18103.t1	Peve_00001715, Peve_00029421, Peve_00008663
OG0000280	Pocillopora_meandrina_HIv1___TS.g9899.t1	Peve_00034416
OG0000282	Pocillopora_meandrina_HIv1___RNAseq.g25170.t1	Peve_00043269
OG0000287	Pocillopora_meandrina_HIv1___RNAseq.g30337.t1b, Pocillopora_meandrina_HIv1___RNAseq.g30331.t1, Pocillopora_meandrina_HIv1___RNAseq.g30333.t1, Pocillopora_meandrina_HIv1___TS.g22631.t1, Pocillopora_meandrina_HIv1___RNAseq.g30334.t1, Pocillopora_meandrina_HIv1___RNAseq.g30332.t1	Peve_00027454, Peve_00045181, Peve_00045180, Peve_00020933, Peve_00020932
OG0000287	Pocillopora_meandrina_HIv1___RNAseq.g17908.t1	Peve_00011068, Peve_00020931, Peve_00020930, Peve_00016049
OG0000288	Pocillopora_meandrina_HIv1___RNAseq.g14215.t1	Peve_00009451, Peve_00008652, Peve_00019669, Peve_00040885, Peve_00015329, Peve_00014126, Peve_00023298, Peve_00024296, Peve_00017715
OG0000288	Pocillopora_meandrina_HIv1___TS.g11409.t1	Peve_00040882
OG0000289	Pocillopora_meandrina_HIv1___RNAseq.g3592.t1, Pocillopora_meandrina_HIv1___RNAseq.g3002.t1, Pocillopora_meandrina_HIv1___RNAseq.g1290.t1, Pocillopora_meandrina_HIv1___RNAseq.g2991.t1, Pocillopora_meandrina_HIv1___RNAseq.g1289.t1, Pocillopora_meandrina_HIv1___RNAseq.g10099.t1, Pocillopora_meandrina_HIv1___RNAseq.g14624.t1, Pocillopora_meandrina_HIv1___RNAseq.g26756.t1	Peve_00039606, Peve_00017846, Peve_00040677, Peve_00002606
OG0000289	Pocillopora_meandrina_HIv1___RNAseq.g6484.t1a, Pocillopora_meandrina_HIv1___RNAseq.g14340.t1, Pocillopora_meandrina_HIv1___RNAseq.g20886.t1, Pocillopora_meandrina_HIv1___TS.g5822.t1	Peve_00003074, Peve_00004326, Peve_00003073
OG0000291	Pocillopora_meandrina_HIv1___TS.g26521.t1	Peve_00042440
OG0000291	Pocillopora_meandrina_HIv1___RNAseq.g16274.t1	Peve_00038152, Peve_00035019, Peve_00042587, Peve_00043047, Peve_00030855, Peve_00009200, Peve_00009209, Peve_00032426, Peve_00035865, Peve_00011658, Peve_00011659, Peve_00042586, Peve_00009183, Peve_00033710
OG0000292	Pocillopora_meandrina_HIv1___RNAseq.g5984.t1	Peve_00003631, Peve_00017024, Peve_00008615
OG0000292	Pocillopora_meandrina_HIv1___RNAseq.g27077.t1	Peve_00042694, Peve_00012365, Peve_00018137, Peve_00000279, Peve_00001563
OG0000293	Pocillopora_meandrina_HIv1___TS.g18572.t1, Pocillopora_meandrina_HIv1___TS.g16967.t1, Pocillopora_meandrina_HIv1___RNAseq.g21641.t1, Pocillopora_meandrina_HIv1___TS.g24449.t1, Pocillopora_meandrina_HIv1___RNAseq.g18288.t1, Pocillopora_meandrina_HIv1___RNAseq.g10376.t1, Pocillopora_meandrina_HIv1___RNAseq.g3472.t1, Pocillopora_meandrina_HIv1___RNAseq.g3672.t1, Pocillopora_meandrina_HIv1___TS.g12626.t1, Pocillopora_meandrina_HIv1___TS.g19537.t1, Pocillopora_meandrina_HIv1___TS.g656.t1, Pocillopora_meandrina_HIv1___RNAseq.g15900.t1a, Pocillopora_meandrina_HIv1___TS.g10874.t1, Pocillopora_meandrina_HIv1___TS.g9986.t1, Pocillopora_meandrina_HIv1___TS.g13060.t1, Pocillopora_meandrina_HIv1___RNAseq.g19617.t1, Pocillopora_meandrina_HIv1___RNAseq.g16045.t1, Pocillopora_meandrina_HIv1___RNAseq.g19120.t1	Peve_00029852
OG0000294	Pocillopora_meandrina_HIv1___RNAseq.g8437.t1	Peve_00025972, Peve_00004965
OG0000294	Pocillopora_meandrina_HIv1___RNAseq.g8435.t1	Peve_00004955, Peve_00025976, Peve_00025967, Peve_00004956, Peve_00004957
OG0000299	Pocillopora_meandrina_HIv1___RNAseq.g3242.t1, Pocillopora_meandrina_HIv1___RNAseq.g10259.t1, Pocillopora_meandrina_HIv1___TS.g13696.t1, Pocillopora_meandrina_HIv1___RNAseq.g10309.t1, Pocillopora_meandrina_HIv1___RNAseq.g10292.t1, Pocillopora_meandrina_HIv1___RNAseq.g10291.t1, Pocillopora_meandrina_HIv1___TS.g13692.t1, Pocillopora_meandrina_HIv1___RNAseq.g10242.t1, Pocillopora_meandrina_HIv1___RNAseq.g10251.t1, Pocillopora_meandrina_HIv1___RNAseq.g10310.t1, Pocillopora_meandrina_HIv1___RNAseq.g10293.t1, Pocillopora_meandrina_HIv1___RNAseq.g10296.t1, Pocillopora_meandrina_HIv1___RNAseq.g10257.t1, Pocillopora_meandrina_HIv1___RNAseq.g10236.t1, Pocillopora_meandrina_HIv1___RNAseq.g12368.t1, Pocillopora_meandrina_HIv1___RNAseq.g10264.t1, Pocillopora_meandrina_HIv1___RNAseq.g3244.t1, Pocillopora_meandrina_HIv1___RNAseq.g10304.t1, Pocillopora_meandrina_HIv1___RNAseq.g10267.t1	Peve_00014869
OG0000314	Pocillopora_meandrina_HIv1___TS.g15722.t1, Pocillopora_meandrina_HIv1___RNAseq.g21878.t1, Pocillopora_meandrina_HIv1___TS.g5780.t1b, Pocillopora_meandrina_HIv1___RNAseq.g10131.t1, Pocillopora_meandrina_HIv1___TS.g24828.t1, Pocillopora_meandrina_HIv1___TS.g5780.t1a, Pocillopora_meandrina_HIv1___TS.g15602.t1, Pocillopora_meandrina_HIv1___RNAseq.g2796.t1, Pocillopora_meandrina_HIv1___RNAseq.g10130.t1, Pocillopora_meandrina_HIv1___TS.g24829.t1, Pocillopora_meandrina_HIv1___TS.g14471.t1, Pocillopora_meandrina_HIv1___RNAseq.g24520.t1	Peve_00018738, Peve_00000869
OG0000316	Pocillopora_meandrina_HIv1___RNAseq.g10239.t1, Pocillopora_meandrina_HIv1___RNAseq.g25177.t1, Pocillopora_meandrina_HIv1___RNAseq.26199_t, Pocillopora_meandrina_HIv1___RNAseq.g10238.t1, Pocillopora_meandrina_HIv1___RNAseq.g10235.t1, Pocillopora_meandrina_HIv1___RNAseq.g12369.t1, Pocillopora_meandrina_HIv1___RNAseq.g12493.t1, Pocillopora_meandrina_HIv1___RNAseq.g10299.t1, Pocillopora_meandrina_HIv1___RNAseq.g3067.t1, Pocillopora_meandrina_HIv1___RNAseq.g10263.t1, Pocillopora_meandrina_HIv1___RNAseq.g10266.t1	Peve_00030709, Peve_00023534, Peve_00014000, Peve_00030713, Peve_00030710, Peve_00023535
OG0000320	Pocillopora_meandrina_HIv1___RNAseq.g5947.t1	Peve_00012204, Peve_00012196, Peve_00017622, Peve_00031056, Peve_00013579, Peve_00029010, Peve_00037178, Peve_00030559, Peve_00042999, Peve_00028025, Peve_00013574, Peve_00012203, Peve_00013578, Peve_00006534, Peve_00022339, Peve_00012195, Peve_00012205
OG0000326	Pocillopora_meandrina_HIv1___TS.g8803.t1, Pocillopora_meandrina_HIv1___RNAseq.g28676.t1, Pocillopora_meandrina_HIv1___TS.g19775.t1, Pocillopora_meandrina_HIv1___RNAseq.g16490.t1, Pocillopora_meandrina_HIv1___RNAseq.g9223.t1, Pocillopora_meandrina_HIv1___RNAseq.g5015.t1, Pocillopora_meandrina_HIv1___RNAseq.g12932.t1, Pocillopora_meandrina_HIv1___TS.g15715.t1, Pocillopora_meandrina_HIv1___TS.g3979.t1, Pocillopora_meandrina_HIv1___TS.g3973.t1, Pocillopora_meandrina_HIv1___RNAseq.g8912.t1, Pocillopora_meandrina_HIv1___RNAseq.g9224.t1, Pocillopora_meandrina_HIv1___RNAseq.g16489.t1	Peve_00043201
OG0000327	Pocillopora_meandrina_HIv1___RNAseq.g24916.t1b	Peve_00016192, Peve_00042566
OG0000327	Pocillopora_meandrina_HIv1___RNAseq.g16318.t1, Pocillopora_meandrina_HIv1___RNAseq.g25093.t1, Pocillopora_meandrina_HIv1___RNAseq.g19376.t1, Pocillopora_meandrina_HIv1___RNAseq.g3271.t1	Peve_00001771
OG0000327	Pocillopora_meandrina_HIv1___RNAseq.g19375.t1	Peve_00027644
OG0000327	Pocillopora_meandrina_HIv1___TS.g24812.t1, Pocillopora_meandrina_HIv1___RNAseq.g6102.t1	Peve_00044859, Peve_00000603, Peve_00005025
OG0000329	Pocillopora_meandrina_HIv1___RNAseq.g15855.t1, Pocillopora_meandrina_HIv1___RNAseq.g15850.t2	Peve_00006545, Peve_00023191, Peve_00025729, Peve_00023204, Peve_00006541, Peve_00006542
OG0000329	Pocillopora_meandrina_HIv1___RNAseq.g15859.t1	Peve_00023203, Peve_00023192
OG0000330	Pocillopora_meandrina_HIv1___RNAseq.g11456.t1, Pocillopora_meandrina_HIv1___RNAseq.g29810.t1, Pocillopora_meandrina_HIv1___RNAseq.g14565.t1, Pocillopora_meandrina_HIv1___TS.g17975.t1, Pocillopora_meandrina_HIv1___RNAseq.g3651.t1, Pocillopora_meandrina_HIv1___RNAseq.g14322.t1, Pocillopora_meandrina_HIv1___RNAseq.g10000.t1, Pocillopora_meandrina_HIv1___RNAseq.g2855.t1, Pocillopora_meandrina_HIv1___TS.g6037.t1, Pocillopora_meandrina_HIv1___RNAseq.g10354.t1, Pocillopora_meandrina_HIv1___RNAseq.g18345.t1, Pocillopora_meandrina_HIv1___RNAseq.g2857.t1, Pocillopora_meandrina_HIv1___RNAseq.g14323.t1, Pocillopora_meandrina_HIv1___TS.g65.t1, Pocillopora_meandrina_HIv1___RNAseq.g11051.t1, Pocillopora_meandrina_HIv1___RNAseq.g20743.t1, Pocillopora_meandrina_HIv1___RNAseq.g2856.t1	Peve_00000819
OG0000331	Pocillopora_meandrina_HIv1___RNAseq.g19132.t1, Pocillopora_meandrina_HIv1___RNAseq.g19131.t1, Pocillopora_meandrina_HIv1___RNAseq.g19133.t1, Pocillopora_meandrina_HIv1___RNAseq.g19136.t1, Pocillopora_meandrina_HIv1___RNAseq.g19135.t1, Pocillopora_meandrina_HIv1___RNAseq.g19141.t1, Pocillopora_meandrina_HIv1___TS.g28519.t1, Pocillopora_meandrina_HIv1___RNAseq.g19143.t1, Pocillopora_meandrina_HIv1___RNAseq.g19140.t1, Pocillopora_meandrina_HIv1___RNAseq.g19138.t1, Pocillopora_meandrina_HIv1___RNAseq.g19142.t1, Pocillopora_meandrina_HIv1___RNAseq.g19139.t1, Pocillopora_meandrina_HIv1___RNAseq.g19145.t1, Pocillopora_meandrina_HIv1___RNAseq.g19146.t1	Peve_00002380, Peve_00041150, Peve_00041149, Peve_00041133, Peve_00002379
OG0000337	Pocillopora_meandrina_HIv1___RNAseq.g2389.t3, Pocillopora_meandrina_HIv1___RNAseq.g27007.t1, Pocillopora_meandrina_HIv1___RNAseq.g10012.t1, Pocillopora_meandrina_HIv1___RNAseq.g982.t1	Peve_00023109
OG0000339	Pocillopora_meandrina_HIv1___RNAseq.g11178.t1	Peve_00029842, Peve_00041648, Peve_00011238, Peve_00043755
OG0000339	Pocillopora_meandrina_HIv1___RNAseq.g270.t1	Peve_00011236
OG0000339	Pocillopora_meandrina_HIv1___RNAseq.g11052.t1	Peve_00037643
OG0000339	Pocillopora_meandrina_HIv1___RNAseq.g19248.t1, Pocillopora_meandrina_HIv1___RNAseq.g1251.t1, Pocillopora_meandrina_HIv1___RNAseq.g12940.t1a	Peve_00005669
OG0000340	Pocillopora_meandrina_HIv1___TS.g12579.t1, Pocillopora_meandrina_HIv1___TS.g451.t1	Peve_00000251
OG0000343	Pocillopora_meandrina_HIv1___RNAseq.g11306.t1, Pocillopora_meandrina_HIv1___TS.g7426.t1a, Pocillopora_meandrina_HIv1___RNAseq.g11307.t1	Peve_00024318, Peve_00024320
OG0000344	Pocillopora_meandrina_HIv1___TS.g28711.t1, Pocillopora_meandrina_HIv1___RNAseq.g16159.t1, Pocillopora_meandrina_HIv1___RNAseq.g25053.t1, Pocillopora_meandrina_HIv1___RNAseq.g9921.t2, Pocillopora_meandrina_HIv1___RNAseq.g6112.t1, Pocillopora_meandrina_HIv1___RNAseq.g17710.t1, Pocillopora_meandrina_HIv1___RNAseq.g16262.t1, Pocillopora_meandrina_HIv1___RNAseq.g4986.t1, Pocillopora_meandrina_HIv1___RNAseq.g16263.t1	Peve_00040269
OG0000345	Pocillopora_meandrina_HIv1___RNAseq.g21626.t1, Pocillopora_meandrina_HIv1___RNAseq.g21627.t1, Pocillopora_meandrina_HIv1___RNAseq.g21625.t1, Pocillopora_meandrina_HIv1___TS.g26369.t1	Peve_00032491, Peve_00012779, Peve_00012780, Peve_00035052, Peve_00032490, Peve_00021916, Peve_00021917, Peve_00029671
OG0000346	Pocillopora_meandrina_HIv1___RNAseq.g16602.t1	Peve_00030922, Peve_00026244, Peve_00020676, Peve_00001918, Peve_00010473
OG0000346	Pocillopora_meandrina_HIv1___RNAseq.g12929.t1	Peve_00043216
OG0000346	Pocillopora_meandrina_HIv1___RNAseq.g28596.t1	Peve_00007148, Peve_00017941, Peve_00024456
OG0000348	Pocillopora_meandrina_HIv1___RNAseq.g5636.t1	Peve_00011065, Peve_00010194
OG0000350	Pocillopora_meandrina_HIv1___RNAseq.g22754.t1, Pocillopora_meandrina_HIv1___RNAseq.g22741.t1	Peve_00041854, Peve_00001709, Peve_00042877, Peve_00042874, Peve_00019045, Peve_00036762, Peve_00036763
OG0000352	Pocillopora_meandrina_HIv1___RNAseq.g7182.t1, Pocillopora_meandrina_HIv1___RNAseq.g7181.t1	Peve_00040594, Peve_00007245, Peve_00032847, Peve_00042320, Peve_00032848, Peve_00042315, Peve_00042316, Peve_00032842, Peve_00025946, Peve_00042311, Peve_00032841, Peve_00023515, Peve_00032849, Peve_00042322, Peve_00042321
OG0000353	Pocillopora_meandrina_HIv1___RNAseq.g12356.t1	Peve_00003901, Peve_00022384
OG0000353	Pocillopora_meandrina_HIv1___RNAseq.g6743.t1, Pocillopora_meandrina_HIv1___TS.g18976.t1, Pocillopora_meandrina_HIv1___RNAseq.g26011.t1, Pocillopora_meandrina_HIv1___RNAseq.g21913.t1, Pocillopora_meandrina_HIv1___RNAseq.g20614.t1, Pocillopora_meandrina_HIv1___RNAseq.g18678.t1, Pocillopora_meandrina_HIv1___TS.g10961.t1, Pocillopora_meandrina_HIv1___RNAseq.g13394.t1, Pocillopora_meandrina_HIv1___RNAseq.g3673.t1b, Pocillopora_meandrina_HIv1___RNAseq.g6742.t1, Pocillopora_meandrina_HIv1___RNAseq.g20747.t1, Pocillopora_meandrina_HIv1___TS.g4120.t1, Pocillopora_meandrina_HIv1___RNAseq.g11467.t1, Pocillopora_meandrina_HIv1___TS.g18975.t1	Peve_00022526
OG0000357	Pocillopora_meandrina_HIv1___RNAseq.g29000.t1	Peve_00003849, Peve_00003866
OG0000357	Pocillopora_meandrina_HIv1___RNAseq.g5338.t1, Pocillopora_meandrina_HIv1___RNAseq.g12040.t1a, Pocillopora_meandrina_HIv1___RNAseq.g17691.t1, Pocillopora_meandrina_HIv1___RNAseq.g557.t1, Pocillopora_meandrina_HIv1___RNAseq.g6980.t1, Pocillopora_meandrina_HIv1___RNAseq.g14836.t1, Pocillopora_meandrina_HIv1___RNAseq.g7792.t1, Pocillopora_meandrina_HIv1___RNAseq.g29262.t1, Pocillopora_meandrina_HIv1___TS.g10092.t1, Pocillopora_meandrina_HIv1___RNAseq.g14518.t1, Pocillopora_meandrina_HIv1___RNAseq.g16573.t1, Pocillopora_meandrina_HIv1___RNAseq.g24769.t1, Pocillopora_meandrina_HIv1___RNAseq.g5337.t1, Pocillopora_meandrina_HIv1___RNAseq.g5985.t1	Peve_00042291
OG0000359	Pocillopora_meandrina_HIv1___TS.g13270.t1, Pocillopora_meandrina_HIv1___RNAseq.g20625.t1, Pocillopora_meandrina_HIv1___TS.g13287.t1, Pocillopora_meandrina_HIv1___RNAseq.g10763.t1, Pocillopora_meandrina_HIv1___RNAseq.g10764.t1, Pocillopora_meandrina_HIv1___RNAseq.g10768.t1, Pocillopora_meandrina_HIv1___RNAseq.g20567.t1, Pocillopora_meandrina_HIv1___TS.g4100.t1, Pocillopora_meandrina_HIv1___RNAseq.g10771.t1, Pocillopora_meandrina_HIv1___RNAseq.g10766.t1b, Pocillopora_meandrina_HIv1___RNAseq.g10767.t1, Pocillopora_meandrina_HIv1___RNAseq.g10759.t2, Pocillopora_meandrina_HIv1___RNAseq.g10774.t1, Pocillopora_meandrina_HIv1___TS.g4099.t1, Pocillopora_meandrina_HIv1___RNAseq.g10778.t1, Pocillopora_meandrina_HIv1___RNAseq.g10761.t1, Pocillopora_meandrina_HIv1___TS.g13290.t1	Peve_00006238
OG0000365	Pocillopora_meandrina_HIv1___RNAseq.g375.t1, Pocillopora_meandrina_HIv1___RNAseq.g374.t1, Pocillopora_meandrina_HIv1___TS.g7137.t1	Peve_00025340
OG0000367	Pocillopora_meandrina_HIv1___RNAseq.g14959.t1, Pocillopora_meandrina_HIv1___RNAseq.g7249.t1	Peve_00043947, Peve_00043946, Peve_00043945, Peve_00035564, Peve_00040981, Peve_00011258, Peve_00036753
OG0000371	Pocillopora_meandrina_HIv1___RNAseq.g28809.t1, Pocillopora_meandrina_HIv1___TS.g18007.t1, Pocillopora_meandrina_HIv1___TS.g17038.t1	Peve_00026390
OG0000378	Pocillopora_meandrina_HIv1___TS.g18013.t1, Pocillopora_meandrina_HIv1___RNAseq.g1787.t1	Peve_00010202
OG0000379	Pocillopora_meandrina_HIv1___TS.g7574.t1	Peve_00040997, Peve_00029989, Peve_00001403, Peve_00043192, Peve_00015704, Peve_00020663, Peve_00019653, Peve_00043191, Peve_00011709, Peve_00042265, Peve_00035688, Peve_00036800
OG0000380	Pocillopora_meandrina_HIv1___RNAseq.g5609.t1	Peve_00014059
OG0000380	Pocillopora_meandrina_HIv1___RNAseq.g5248.t1, Pocillopora_meandrina_HIv1___RNAseq.g5237.t1, Pocillopora_meandrina_HIv1___RNAseq.g5241.t1, Pocillopora_meandrina_HIv1___RNAseq.g5259.t1, Pocillopora_meandrina_HIv1___RNAseq.g5255.t1, Pocillopora_meandrina_HIv1___RNAseq.g5252.t1, Pocillopora_meandrina_HIv1___RNAseq.g26932.t1, Pocillopora_meandrina_HIv1___TS.g8410.t1b, Pocillopora_meandrina_HIv1___RNAseq.g115.t1, Pocillopora_meandrina_HIv1___RNAseq.g26933.t1a, Pocillopora_meandrina_HIv1___RNAseq.g116.t1a, Pocillopora_meandrina_HIv1___RNAseq.g12911.t1a	Peve_00017692
OG0000381	Pocillopora_meandrina_HIv1___RNAseq.g714.t1, Pocillopora_meandrina_HIv1___TS.g25408.t1, Pocillopora_meandrina_HIv1___TS.g25407.t1	Peve_00029808, Peve_00029806, Peve_00030911
OG0000381	Pocillopora_meandrina_HIv1___RNAseq.g710.t1	Peve_00006027, Peve_00016258, Peve_00002394, Peve_00016255, Peve_00016253, Peve_00016254, Peve_00002395, Peve_00002404, Peve_00016259
OG0000382	Pocillopora_meandrina_HIv1___RNAseq.g25622.t1, Pocillopora_meandrina_HIv1___TS.g28672.t1, Pocillopora_meandrina_HIv1___RNAseq.g12913.t1, Pocillopora_meandrina_HIv1___RNAseq.g25215.t1, Pocillopora_meandrina_HIv1___RNAseq.g16247.t1, Pocillopora_meandrina_HIv1___RNAseq.g21375.t1a, Pocillopora_meandrina_HIv1___TS.g9058.t1, Pocillopora_meandrina_HIv1___RNAseq.g25204.t1, Pocillopora_meandrina_HIv1___RNAseq.g19293.t1, Pocillopora_meandrina_HIv1___RNAseq.g16248.t1	Peve_00042626
OG0000382	Pocillopora_meandrina_HIv1___TS.g19511.t1, Pocillopora_meandrina_HIv1___RNAseq.g4099.t1	Peve_00019971
OG0000383	Pocillopora_meandrina_HIv1___RNAseq.g16549.t1, Pocillopora_meandrina_HIv1___RNAseq.g16545.t1, Pocillopora_meandrina_HIv1___RNAseq.g16553.t1, Pocillopora_meandrina_HIv1___RNAseq.g16560.t1, Pocillopora_meandrina_HIv1___RNAseq.g16551.t1, Pocillopora_meandrina_HIv1___RNAseq.g16555.t1, Pocillopora_meandrina_HIv1___TS.g11568.t1, Pocillopora_meandrina_HIv1___RNAseq.g16557.t1, Pocillopora_meandrina_HIv1___TS.g11561.t1, Pocillopora_meandrina_HIv1___RNAseq.g16552.t1, Pocillopora_meandrina_HIv1___RNAseq.g16556.t1, Pocillopora_meandrina_HIv1___TS.g11562.t1, Pocillopora_meandrina_HIv1___RNAseq.g16554.t1	Peve_00031648
OG0000384	Pocillopora_meandrina_HIv1___RNAseq.g16505.t1, Pocillopora_meandrina_HIv1___RNAseq.g16496.t1, Pocillopora_meandrina_HIv1___TS.g6930.t1, Pocillopora_meandrina_HIv1___RNAseq.g167.t1, Pocillopora_meandrina_HIv1___RNAseq.g154.t1, Pocillopora_meandrina_HIv1___RNAseq.g156.t1, Pocillopora_meandrina_HIv1___RNAseq.g159.t1, Pocillopora_meandrina_HIv1___RNAseq.g157.t1, Pocillopora_meandrina_HIv1___RNAseq.g1239.t1, Pocillopora_meandrina_HIv1___RNAseq.g16497.t1, Pocillopora_meandrina_HIv1___TS.g7937.t1	Peve_00028745, Peve_00000705, Peve_00003388, Peve_00025356, Peve_00016562
OG0000385	Pocillopora_meandrina_HIv1___RNAseq.g10747.t1, Pocillopora_meandrina_HIv1___RNAseq.g10744.t2	Peve_00006157, Peve_00006158
OG0000385	Pocillopora_meandrina_HIv1___RNAseq.g10757.t1, Pocillopora_meandrina_HIv1___TS.g4141.t1, Pocillopora_meandrina_HIv1___RNAseq.g10765.t1, Pocillopora_meandrina_HIv1___RNAseq.g10760.t1, Pocillopora_meandrina_HIv1___RNAseq.g10762.t1, Pocillopora_meandrina_HIv1___RNAseq.g10775.t1, Pocillopora_meandrina_HIv1___RNAseq.g10770.t1, Pocillopora_meandrina_HIv1___RNAseq.g10777.t1, Pocillopora_meandrina_HIv1___RNAseq.g10745.t1	Peve_00006166
OG0000387	Pocillopora_meandrina_HIv1___TS.g4145.t1, Pocillopora_meandrina_HIv1___TS.g27654.t1, Pocillopora_meandrina_HIv1___TS.g27648.t1, Pocillopora_meandrina_HIv1___TS.g19789.t1, Pocillopora_meandrina_HIv1___TS.g27651.t1, Pocillopora_meandrina_HIv1___TS.g4153.t1, Pocillopora_meandrina_HIv1___TS.g27645.t1, Pocillopora_meandrina_HIv1___TS.g4149.t1, Pocillopora_meandrina_HIv1___TS.g17870.t1, Pocillopora_meandrina_HIv1___RNAseq.g2766.t1, Pocillopora_meandrina_HIv1___RNAseq.g2762.t1, Pocillopora_meandrina_HIv1___RNAseq.g2770.t1, Pocillopora_meandrina_HIv1___RNAseq.g9036.t1	Peve_00042221, Peve_00002577, Peve_00044923
OG0000388	Pocillopora_meandrina_HIv1___RNAseq.g12157.t1, Pocillopora_meandrina_HIv1___RNAseq.g3267.t1, Pocillopora_meandrina_HIv1___RNAseq.g22841.t1, Pocillopora_meandrina_HIv1___RNAseq.g22842.t1, Pocillopora_meandrina_HIv1___RNAseq.g24604.t1, Pocillopora_meandrina_HIv1___RNAseq.g21958.t1, Pocillopora_meandrina_HIv1___RNAseq.g4708.t1, Pocillopora_meandrina_HIv1___RNAseq.g10783.t1b, Pocillopora_meandrina_HIv1___RNAseq.g24234.t1, Pocillopora_meandrina_HIv1___RNAseq.g16834.t1, Pocillopora_meandrina_HIv1___RNAseq.g1499.t1, Pocillopora_meandrina_HIv1___TS.g10319.t1b, Pocillopora_meandrina_HIv1___RNAseq.g9276.t1b, Pocillopora_meandrina_HIv1___RNAseq.g9276.t1a	Peve_00016970
OG0000389	Pocillopora_meandrina_HIv1___RNAseq.g3073.t1	Peve_00001881, Peve_00001748
OG0000389	Pocillopora_meandrina_HIv1___RNAseq.g2500.t1, Pocillopora_meandrina_HIv1___RNAseq.g10753.t1, Pocillopora_meandrina_HIv1___RNAseq.g21989.t1, Pocillopora_meandrina_HIv1___TS.g4963.t1, Pocillopora_meandrina_HIv1___RNAseq.g2504.t1, Pocillopora_meandrina_HIv1___RNAseq.g2835.t1, Pocillopora_meandrina_HIv1___RNAseq.g25398.t1, Pocillopora_meandrina_HIv1___TS.g26649.t1	Peve_00039701
OG0000390	Pocillopora_meandrina_HIv1___TS.g20179.t1	Peve_00006138, Peve_00011292, Peve_00045273, Peve_00031720, Peve_00023439, Peve_00028277, Peve_00009188, Peve_00041182, Peve_00035483, Peve_00035854, Peve_00012636, Peve_00031509, Peve_00039395, Peve_00040251, Peve_00022695
