# Program:featureCounts v2.0.5; Command:"/home/shared/subread-2.0.5-Linux-x86_64/bin/featureCounts" "-T" "42" "-a" "../output/07-Peve-lncRNA-matrix/Peve-lncRNAs.gtf" "-o" "../output/07-Peve-lncRNA-matrix/Peve-lncRNA-counts.txt" "-t" "lncRNA" "-g" "gene_id" "-p" "../output/06-Peve-Hisat/RNA-POR-71.sorted.bam" "../output/06-Peve-Hisat/RNA-POR-73.sorted.bam" "../output/06-Peve-Hisat/RNA-POR-76.sorted.bam" "../output/06-Peve-Hisat/RNA-POR-79.sorted.bam" "../output/06-Peve-Hisat/RNA-POR-82.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../output/06-Peve-Hisat/RNA-POR-71.sorted.bam	../output/06-Peve-Hisat/RNA-POR-73.sorted.bam	../output/06-Peve-Hisat/RNA-POR-76.sorted.bam	../output/06-Peve-Hisat/RNA-POR-79.sorted.bam	../output/06-Peve-Hisat/RNA-POR-82.sorted.bam
lncRNA_2192	Porites_evermani_scaffold_2156;Porites_evermani_scaffold_2121	44516;3672	44738;5644	+;+	2196	0	0	0	0	0
lncRNA_2193	Porites_evermani_scaffold_2157;Porites_evermani_scaffold_2121	41718;61981	42674;62187	+;+	1164	0	2	34	0	0
lncRNA_2194	Porites_evermani_scaffold_2122;Porites_evermani_scaffold_2157	51823;44668	63589;44916	+;+	12016	21	2	72	3	37
lncRNA_2195	Porites_evermani_scaffold_2122;Porites_evermani_scaffold_2159	58567;6441	71111;6643	+;+	12748	170	2	54	31	23
lncRNA_2196	Porites_evermani_scaffold_2122;Porites_evermani_scaffold_216	15511;264716	15746;265179	+;+	700	0	0	0	25	0
lncRNA_2197	Porites_evermani_scaffold_2122;Porites_evermani_scaffold_216	86528;265737	87462;266117	+;+	1316	14	2	9	46	200
lncRNA_2198	Porites_evermani_scaffold_2125;Porites_evermani_scaffold_216	44282;271347	45611;271587	+;+	1571	304	0	1	67	297
lncRNA_2199	Porites_evermani_scaffold_2125;Porites_evermani_scaffold_2161	45892;48841	46242;49189	+;+	700	15	0	0	20	41
lncRNA_2211	Porites_evermani_scaffold_2126;Porites_evermani_scaffold_2127;Porites_evermani_scaffold_2132;Porites_evermani_scaffold_2136	8717;64261;73816;7814	9419;65515;74735;9851	+;+;+;+	4916	254	154	181	223	172
lncRNA_2212	Porites_evermani_scaffold_2128;Porites_evermani_scaffold_2136	74117;82511	79742;82716	+;+	5832	49	0	65	14	27
lncRNA_2213	Porites_evermani_scaffold_2128;Porites_evermani_scaffold_2137	23449;33484	23688;36197	+;+	2954	898	277	94	763	1978
lncRNA_2214	Porites_evermani_scaffold_2129;Porites_evermani_scaffold_2138	51557;47546	52154;47882	+;+	935	109	20	160	4	60
lncRNA_2215	Porites_evermani_scaffold_214;Porites_evermani_scaffold_2129	338857;52518	339111;52869	+;+	607	12	2	73	14	10
lncRNA_2216	Porites_evermani_scaffold_2141;Porites_evermani_scaffold_2129	74978;56297	75756;56596	+;+	1079	24	4	39	19	3
lncRNA_2217	Porites_evermani_scaffold_213;Porites_evermani_scaffold_2141	117792;51692	118426;54141	+;+	3085	1148	406	1025	284	909
lncRNA_2218	Porites_evermani_scaffold_2131;Porites_evermani_scaffold_2141	68179;59749	71128;62156	+;+	5358	43	2	161	10	104
lncRNA_2219	Porites_evermani_scaffold_2141;Porites_evermani_scaffold_2132	57711;49185	58993;51118	+;+	3217	14108	3783	4292	8227	22612
lncRNA_2221	Porites_evermani_scaffold_2143;Porites_evermani_scaffold_2143	2791;28413	4395;29129	+;+	2322	848	4	571	359	615
lncRNA_2222	Porites_evermani_scaffold_2143	34615	35111	+	497	52	0	70	22	26
lncRNA_2223	Porites_evermani_scaffold_2144	54395	54715	+	321	10	16	114	25	8
lncRNA_2224	Porites_evermani_scaffold_2144	55618	55842	+	225	9	29	0	26	28
lncRNA_2225	Porites_evermani_scaffold_2145	72414	74117	+	1704	81	0	164	39	20
lncRNA_2226	Porites_evermani_scaffold_2148	51115	51429	+	315	19	12	0	0	13
lncRNA_2227	Porites_evermani_scaffold_2152	52286	52516	+	231	5	0	56	0	8
lncRNA_2228	Porites_evermani_scaffold_2153	2381	2659	+	279	37	22	85	40	66
lncRNA_2229	Porites_evermani_scaffold_2157	27111	31146	+	4036	3	10	7	0	37
lncRNA_2231	Porites_evermani_scaffold_2159;Porites_evermani_scaffold_216	34855;5181	36298;6118	+;+	2382	49	39	132	25	67
lncRNA_2232	Porites_evermani_scaffold_216	118178	143293	+	25116	11	0	20	8	2
lncRNA_2233	Porites_evermani_scaffold_216	118323	141838	+	23516	0	0	0	0	0
lncRNA_2234	Porites_evermani_scaffold_216	121168	131516	+	10349	0	0	0	0	0
lncRNA_2235	Porites_evermani_scaffold_216	197868	199232	+	1365	18	947	23	2	0
lncRNA_2236	Porites_evermani_scaffold_216	195777	195993	+	217	0	0	50	0	4
lncRNA_2237	Porites_evermani_scaffold_216	259435	261418	+	1984	55	36	73	4	65
lncRNA_2238	Porites_evermani_scaffold_2161	41546	48345	+	6800	120	82	366	60	301
lncRNA_2239	Porites_evermani_scaffold_2161	48691	49891	+	1201	1	5	0	6	10
lncRNA_2241	Porites_evermani_scaffold_2161;Porites_evermani_scaffold_2161	53169;55776	54884;59261	+;+	5202	11	28	97	27	97
lncRNA_2242	Porites_evermani_scaffold_2161	61734	64174	+	2441	8	4	42	12	81
lncRNA_2243	Porites_evermani_scaffold_2161	74987	77168	+	2182	30	6	74	5	77
lncRNA_2244	Porites_evermani_scaffold_2161	29439	29711	+	273	6	0	32	1	1
lncRNA_2245	Porites_evermani_scaffold_2161	34995	35254	+	260	0	0	33	0	4
lncRNA_2246	Porites_evermani_scaffold_2162	14119	14258	+	140	0	0	29	0	0
lncRNA_2247	Porites_evermani_scaffold_2163	7352	7554	+	203	6	0	38	5	15
lncRNA_2248	Porites_evermani_scaffold_2163	85287	85545	+	259	17	3	42	9	7
lncRNA_2249	Porites_evermani_scaffold_2164	57964	58186	+	223	0	0	38	8	4
lncRNA_2251	Porites_evermani_scaffold_2166;Porites_evermani_scaffold_2166	5695;66842	5941;71377	+;+	4783	50	9	19	4	84
lncRNA_2252	Porites_evermani_scaffold_2166	15594	15798	+	205	29	0	1	1	5
lncRNA_2253	Porites_evermani_scaffold_2167	53741	54111	+	371	3	0	26	0	2
lncRNA_2254	Porites_evermani_scaffold_2168	62555	62837	+	283	0	0	26	0	0
lncRNA_2255	Porites_evermani_scaffold_2169	24194	24629	+	436	18	3	0	5	17
lncRNA_2256	Porites_evermani_scaffold_2169	24897	25145	+	249	18	1	0	9	9
lncRNA_2257	Porites_evermani_scaffold_2169	84888	85725	+	838	113	5	153	0	17
lncRNA_2258	Porites_evermani_scaffold_217	192274	212218	+	19945	1811	672	1499	794	8720
lncRNA_2259	Porites_evermani_scaffold_217	172475	176362	+	3888	8	233	0	0	36
lncRNA_2261	Porites_evermani_scaffold_217;Porites_evermani_scaffold_217	181128;185116	182398;187498	+;+	3654	0	650	0	0	14
lncRNA_2262	Porites_evermani_scaffold_217	185116	191835	+	6720	9	10	0	6	47
lncRNA_2263	Porites_evermani_scaffold_217	192274	194252	+	1979	0	0	0	0	0
lncRNA_2264	Porites_evermani_scaffold_217	192274	194252	+	1979	0	0	0	0	0
lncRNA_2265	Porites_evermani_scaffold_217	211979	212961	+	983	0	0	0	0	0
lncRNA_2266	Porites_evermani_scaffold_217	153193	153435	+	243	0	0	26	0	0
lncRNA_2267	Porites_evermani_scaffold_2171	763	4131	+	3369	27	3	67	11	13
lncRNA_2268	Porites_evermani_scaffold_2175	1	1172	+	1172	26	17	47	0	157
lncRNA_2269	Porites_evermani_scaffold_2177	9681	14811	+	5131	2122	31	75	1027	1077
lncRNA_2271	Porites_evermani_scaffold_2179;Porites_evermani_scaffold_2177	66818;68398	67116;68616	+;+	518	4	4	78	0	22
lncRNA_2272	Porites_evermani_scaffold_2179	68111	68769	+	659	0	10	108	0	28
lncRNA_2273	Porites_evermani_scaffold_218	192291	192621	+	331	16	1	48	2	22
lncRNA_2274	Porites_evermani_scaffold_218	196541	196983	+	443	23	4	72	14	31
lncRNA_2275	Porites_evermani_scaffold_218	343182	343512	+	331	0	0	28	0	0
lncRNA_2276	Porites_evermani_scaffold_218	364426	364711	+	286	0	0	26	0	0
lncRNA_2277	Porites_evermani_scaffold_2181	32117	32285	+	169	4	0	36	0	0
lncRNA_2278	Porites_evermani_scaffold_2183	55272	55683	+	412	2	9	12	0	82
lncRNA_2279	Porites_evermani_scaffold_2184	1	6428	+	6428	361	23	2	0	0
lncRNA_2281	Porites_evermani_scaffold_2185;Porites_evermani_scaffold_2188	72141;5813	73821;19937	+;+	15806	911	222	211	195	922
lncRNA_2282	Porites_evermani_scaffold_2188	83245	84792	+	1548	506	298	855	442	542
lncRNA_2283	Porites_evermani_scaffold_2188	4558	4815	+	258	2	1	44	3	1
lncRNA_2284	Porites_evermani_scaffold_2188	37649	38224	+	576	54	4	114	44	0
lncRNA_2285	Porites_evermani_scaffold_219	22	4523	+	4502	282	173	198	45	231
lncRNA_2286	Porites_evermani_scaffold_219	36147	36411	+	265	0	0	40	0	14
lncRNA_2287	Porites_evermani_scaffold_219	111667	112581	+	915	22	14	48	4	18
lncRNA_2288	Porites_evermani_scaffold_219	318225	318782	+	558	3	0	0	0	0
lncRNA_2289	Porites_evermani_scaffold_2191	44627	45131	+	505	14	6	0	6	51
lncRNA_2291	Porites_evermani_scaffold_2191;Porites_evermani_scaffold_2191	29322;41447	29632;41749	+;+	614	0	0	60	4	0
lncRNA_2292	Porites_evermani_scaffold_2193	26111	26598	+	488	0	0	11	0	0
lncRNA_2293	Porites_evermani_scaffold_2193	56584	56941	+	358	0	0	22	0	0
lncRNA_2294	Porites_evermani_scaffold_2193	73861	74119	+	259	11	0	43	0	3
lncRNA_2295	Porites_evermani_scaffold_2194	83936	84749	+	814	16	0	135	0	0
lncRNA_2296	Porites_evermani_scaffold_2194	16179	21687	+	5509	48	24	175	1	121
lncRNA_2297	Porites_evermani_scaffold_2194	82924	83222	+	299	0	0	28	0	0
lncRNA_2298	Porites_evermani_scaffold_2195	757	1475	+	719	5910	15	24	25	7088
lncRNA_2299	Porites_evermani_scaffold_2197	79119	83114	+	3996	0	0	0	0	0
lncRNA_2311	Porites_evermani_scaffold_2197;Porites_evermani_scaffold_2198;Porites_evermani_scaffold_22;Porites_evermani_scaffold_22	79111;84191;133234;261177	83114;84561;134391;261195	+;+;+;+	5552	118	55	735	104	214
lncRNA_2312	Porites_evermani_scaffold_2199;Porites_evermani_scaffold_22	1143;417994	1277;418251	+;+	393	5	0	23	0	0
lncRNA_2313	Porites_evermani_scaffold_22;Porites_evermani_scaffold_221	85911;72195	86277;72853	+;+	1026	0	0	30	2	0
lncRNA_2314	Porites_evermani_scaffold_22;Porites_evermani_scaffold_221	87651;238151	88166;238412	+;+	778	6	3	30	19	12
lncRNA_2315	Porites_evermani_scaffold_22;Porites_evermani_scaffold_221	93144;311525	93741;311822	+;+	896	104	5	1586	308	134
lncRNA_2316	Porites_evermani_scaffold_22;Porites_evermani_scaffold_2213	211173;51868	214113;54251	+;+	5325	0	0	0	0	0
lncRNA_2317	Porites_evermani_scaffold_22;Porites_evermani_scaffold_2215	211173;51881	214642;52129	+;+	3719	2	0	0	2	4
lncRNA_2318	Porites_evermani_scaffold_22;Porites_evermani_scaffold_2217	318725;323	319936;1163	+;+	2053	110	65	330	127	141
lncRNA_2319	Porites_evermani_scaffold_22;Porites_evermani_scaffold_2218	674751;51838	677453;52128	+;+	2994	0	3	146	20	13
lncRNA_2321	Porites_evermani_scaffold_221;Porites_evermani_scaffold_2219	27285;58193	39841;58541	+;+	12906	63	6	1	3	4
lncRNA_2322	Porites_evermani_scaffold_2211	72791	72999	+	209	0	0	30	0	0
lncRNA_2324	Porites_evermani_scaffold_2213	8247	9341	+	1095	45	4	2	34	1
lncRNA_2325	Porites_evermani_scaffold_2214	55642	55971	+	330	42	10	58	4	40
lncRNA_2326	Porites_evermani_scaffold_2216	37149	37364	+	216	14	23	0	14	34
lncRNA_2327	Porites_evermani_scaffold_2216	68885	69126	+	242	0	5	41	1	3
lncRNA_2328	Porites_evermani_scaffold_2216	74671	74948	+	278	2	0	28	4	0
lncRNA_2329	Porites_evermani_scaffold_2216	79344	79678	+	335	2	1	34	0	6
lncRNA_2331	Porites_evermani_scaffold_2218;Porites_evermani_scaffold_2219	59576;2115	61339;5789	+;+	5439	733	321	50	64	159
lncRNA_2332	Porites_evermani_scaffold_2219	37599	38128	+	530	0	1	83	0	6
lncRNA_2333	Porites_evermani_scaffold_222	32943	35925	+	2983	10	0	0	6	10
lncRNA_2334	Porites_evermani_scaffold_222	236579	243485	+	6907	2075	156	1390	181	2701
lncRNA_2335	Porites_evermani_scaffold_222	286152	297321	+	11170	0	0	0	0	0
lncRNA_2336	Porites_evermani_scaffold_222	286291	297321	+	11031	0	0	0	0	0
lncRNA_2337	Porites_evermani_scaffold_222	297947	298319	+	373	15	0	0	0	36
lncRNA_2338	Porites_evermani_scaffold_222	34195	59491	+	25297	420	171	626	248	645
lncRNA_2339	Porites_evermani_scaffold_222	34113	51141	+	17029	0	0	0	0	0
lncRNA_2341	Porites_evermani_scaffold_222;Porites_evermani_scaffold_222	125949;195123	126167;197559	+;+	2656	104	6	391	40	92
lncRNA_2342	Porites_evermani_scaffold_222	219414	219898	+	485	80	37	88	17	51
lncRNA_2344	Porites_evermani_scaffold_222	228379	228772	+	394	46	10	3	10	38
lncRNA_2345	Porites_evermani_scaffold_222	284291	285712	+	1422	155	40	794	160	144
lncRNA_2346	Porites_evermani_scaffold_2221	58285	78736	+	20452	32	23	13	64	68
lncRNA_2347	Porites_evermani_scaffold_2221	56862	57651	+	790	0	0	0	0	0
lncRNA_2348	Porites_evermani_scaffold_2221	69281	72157	+	2877	0	0	0	0	0
lncRNA_2349	Porites_evermani_scaffold_2221	68633	69118	+	486	0	0	0	0	0
lncRNA_2351	Porites_evermani_scaffold_2221;Porites_evermani_scaffold_2223	75785;19979	76115;21264	+;+	1617	0	3	0	14	54
lncRNA_2352	Porites_evermani_scaffold_2224	1495	4239	+	2745	73	27	121	2	26
lncRNA_2353	Porites_evermani_scaffold_2224	59373	61173	+	1801	59	65	144	115	107
lncRNA_2354	Porites_evermani_scaffold_2224	81651	83252	+	1602	46	36	112	59	80
lncRNA_2355	Porites_evermani_scaffold_2226	1857	2112	+	256	102	48	22	139	308
lncRNA_2356	Porites_evermani_scaffold_2227	1521	4328	+	2808	137	246	484	2	0
lncRNA_2357	Porites_evermani_scaffold_2227	5197	7113	+	1917	185	143	186	0	1
lncRNA_2358	Porites_evermani_scaffold_2227	39229	41719	+	2491	2	0	38	6	9
lncRNA_2359	Porites_evermani_scaffold_2229	431	1944	+	1514	304	85	274	134	352
lncRNA_2361	Porites_evermani_scaffold_2229;Porites_evermani_scaffold_223	52542;225917	53122;226139	+;+	804	4	0	26	0	119
lncRNA_2362	Porites_evermani_scaffold_223	227168	227498	+	331	11	0	64	6	23
lncRNA_2363	Porites_evermani_scaffold_2231	18641	18872	+	232	0	0	0	0	0
lncRNA_2364	Porites_evermani_scaffold_2234	44218	44924	+	707	177	4	0	33	6
lncRNA_2365	Porites_evermani_scaffold_2235	41471	41719	+	249	1	0	0	0	0
lncRNA_2366	Porites_evermani_scaffold_2236	69778	71119	+	1342	8	18	42	8	17
lncRNA_2367	Porites_evermani_scaffold_2238	64938	65338	+	401	0	0	134	6	2
lncRNA_2368	Porites_evermani_scaffold_2239	52128	61732	+	9605	40	17666	75	33	26
lncRNA_2369	Porites_evermani_scaffold_2239	6935	7566	+	632	2689	883	12	617	523
lncRNA_2371	Porites_evermani_scaffold_224;Porites_evermani_scaffold_224	237937;322836	239411;325669	+;+	4309	986	469	1018	602	1336
lncRNA_2372	Porites_evermani_scaffold_224	338449	339762	+	1314	278	100	278	208	914
lncRNA_2373	Porites_evermani_scaffold_224	286132	286673	+	542	71	41	24	22	148
lncRNA_2374	Porites_evermani_scaffold_224	287211	289761	+	2551	1228	505	775	515	1671
lncRNA_2375	Porites_evermani_scaffold_2241	73131	73426	+	296	28	0	54	9	6
lncRNA_2376	Porites_evermani_scaffold_2245	17755	18918	+	1164	522	33	78	71	362
lncRNA_2377	Porites_evermani_scaffold_2245	23741	24112	+	372	0	2	2	0	1
lncRNA_2378	Porites_evermani_scaffold_2246	28629	32564	+	3936	0	0	0	0	0
lncRNA_2379	Porites_evermani_scaffold_2246	28629	32564	+	3936	0	0	0	0	0
lncRNA_2381	Porites_evermani_scaffold_2249;Porites_evermani_scaffold_225	1265;83312	4185;85817	+;+	5427	172	706	544	593	580
lncRNA_2382	Porites_evermani_scaffold_225	289129	289384	+	256	9	30	0	0	1
lncRNA_2383	Porites_evermani_scaffold_2251	49531	49741	+	211	0	0	30	0	0
lncRNA_2384	Porites_evermani_scaffold_2251	56478	56798	+	321	0	0	28	0	0
lncRNA_2385	Porites_evermani_scaffold_2252	5336	5611	+	276	0	0	27	0	0
lncRNA_2386	Porites_evermani_scaffold_2253	43141	52492	+	9352	0	0	0	0	0
lncRNA_2387	Porites_evermani_scaffold_2253	43141	52492	+	9352	0	0	0	0	0
lncRNA_2388	Porites_evermani_scaffold_2253	44263	52492	+	8230	0	0	0	0	0
lncRNA_2389	Porites_evermani_scaffold_2253	44811	52492	+	7682	0	0	0	0	0
lncRNA_2391	Porites_evermani_scaffold_2253;Porites_evermani_scaffold_2253	44811;44814	52492;52492	+;+	7682	0	0	0	0	0
lncRNA_2392	Porites_evermani_scaffold_2254	54469	58619	+	4151	160	118	1179	110	233
lncRNA_2393	Porites_evermani_scaffold_2254	66969	69841	+	2873	750	14	608	376	612
lncRNA_2394	Porites_evermani_scaffold_2255	1	2641	+	2641	0	0	0	0	0
lncRNA_2395	Porites_evermani_scaffold_2255	1	13279	+	13279	328	143	488	181	406
lncRNA_2396	Porites_evermani_scaffold_2256	81455	82142	+	688	0	0	2	0	92
lncRNA_2397	Porites_evermani_scaffold_2256	12182	14624	+	2443	343	99	335	49	191
lncRNA_2398	Porites_evermani_scaffold_2257	45818	49315	+	3498	12	3	128	9	41
lncRNA_2399	Porites_evermani_scaffold_2257	77976	82167	+	4192	25	9	348	7	43
lncRNA_2411	Porites_evermani_scaffold_2257;Porites_evermani_scaffold_2259;Porites_evermani_scaffold_2269;Porites_evermani_scaffold_2269	49859;91;78;78	51121;1776;3499;3499	+;+;+;+	6371	232	107	787	413	300
lncRNA_2412	Porites_evermani_scaffold_2259;Porites_evermani_scaffold_2269	25314;88	26121;3499	+;+	4220	0	0	0	54	289
lncRNA_2413	Porites_evermani_scaffold_226;Porites_evermani_scaffold_2269	98753;1443	99933;3499	+;+	3238	144	157	243	135	126
lncRNA_2414	Porites_evermani_scaffold_2261;Porites_evermani_scaffold_227	16818;314832	17153;315153	+;+	658	0	0	0	0	0
lncRNA_2415	Porites_evermani_scaffold_2261;Porites_evermani_scaffold_227	61965;315492	62189;317445	+;+	2179	166	17	103	19	221
lncRNA_2416	Porites_evermani_scaffold_2262;Porites_evermani_scaffold_2273	31429;1	31639;1717	+;+	1928	87	2	673	43	101
lncRNA_2417	Porites_evermani_scaffold_2262;Porites_evermani_scaffold_2275	32119;81358	32615;81953	+;+	1093	13	0	80	22	2
lncRNA_2418	Porites_evermani_scaffold_2262;Porites_evermani_scaffold_2277	39195;8753	39411;8992	+;+	457	0	0	60	2	13
lncRNA_2419	Porites_evermani_scaffold_2268;Porites_evermani_scaffold_2277	37614;11272	41627;14212	+;+	6955	848	484	799	345	1483
lncRNA_2421	Porites_evermani_scaffold_228;Porites_evermani_scaffold_228	315664;321127	318538;323415	+;+	5164	334	13	685	306	319
lncRNA_2422	Porites_evermani_scaffold_228	19372	19775	+	404	3102	394	39	677	2192
lncRNA_2423	Porites_evermani_scaffold_228	21112	21225	+	114	0	0	30	0	2
lncRNA_2424	Porites_evermani_scaffold_228	46567	46831	+	265	6	0	0	0	0
lncRNA_2425	Porites_evermani_scaffold_228	66242	66551	+	310	87	173	229	418	308
lncRNA_2426	Porites_evermani_scaffold_2281	75524	81176	+	5653	105	24	225	134	215
lncRNA_2427	Porites_evermani_scaffold_2283	66915	69719	+	2805	89	89	50294	80	6341
lncRNA_2428	Porites_evermani_scaffold_2283	33781	44642	+	10862	7	8	144	8	39
lncRNA_2429	Porites_evermani_scaffold_2283	32211	33223	+	1013	0	0	253	0	66
lncRNA_2431	Porites_evermani_scaffold_2283;Porites_evermani_scaffold_2283	62336;65718	62649;66152	+;+	749	0	0	82	0	4
lncRNA_2432	Porites_evermani_scaffold_2283	73846	77152	+	3307	4	176	276	0	500
lncRNA_2433	Porites_evermani_scaffold_2283	79498	79967	+	470	7	3046	239	20	6937
lncRNA_2434	Porites_evermani_scaffold_2284	57515	61842	+	4328	98	102	268	51	85
lncRNA_2435	Porites_evermani_scaffold_2286	32443	33615	+	1173	0	8	94	0	45
lncRNA_2436	Porites_evermani_scaffold_2286	14768	15215	+	448	45	28	146	53	80
lncRNA_2437	Porites_evermani_scaffold_2286	79455	79811	+	357	0	0	54	0	12
lncRNA_2438	Porites_evermani_scaffold_2288	33473	33935	+	463	0	0	0	100	15
lncRNA_2439	Porites_evermani_scaffold_229	65949	67738	+	1790	807	647	1839	548	1420
lncRNA_2441	Porites_evermani_scaffold_229;Porites_evermani_scaffold_229	71118;193515	71291;193811	+;+	471	46	9	20	45	70
lncRNA_2442	Porites_evermani_scaffold_229	251613	252281	+	669	0	2	80	20	0
lncRNA_2443	Porites_evermani_scaffold_2293	57854	67316	+	9463	516	182	28	23	74
lncRNA_2444	Porites_evermani_scaffold_2294	162	748	+	587	29	25	401	34	83
lncRNA_2445	Porites_evermani_scaffold_2294	24986	25325	+	340	0	0	28	0	0
lncRNA_2446	Porites_evermani_scaffold_2295	56334	57262	+	929	1	0	32	10	0
lncRNA_2447	Porites_evermani_scaffold_2295	59419	61358	+	1940	11	0	115	4	2
lncRNA_2448	Porites_evermani_scaffold_2296	12841	13132	+	292	1	6	0	5	216
lncRNA_2449	Porites_evermani_scaffold_2296	14359	14953	+	595	4	0	0	0	14
lncRNA_2451	Porites_evermani_scaffold_2297;Porites_evermani_scaffold_2298	657;1	11282;222	+;+	10848	506	371	681	194	585
lncRNA_2452	Porites_evermani_scaffold_2298	691	923	+	233	1	0	28	0	3
lncRNA_2453	Porites_evermani_scaffold_2299	18212	19118	+	907	221	40	145	45	264
lncRNA_2454	Porites_evermani_scaffold_23	781216	797393	+	16178	512	134	248	95	243
lncRNA_2455	Porites_evermani_scaffold_23	344362	345276	+	915	696	243	1152	275	739
lncRNA_2456	Porites_evermani_scaffold_23	472745	475597	+	2853	22	4	122	33	24
lncRNA_2457	Porites_evermani_scaffold_23	113231	113531	+	301	3	0	72	4	6
lncRNA_2458	Porites_evermani_scaffold_23	115116	116712	+	1597	20	12	370	24	54
lncRNA_2459	Porites_evermani_scaffold_23	535188	535371	+	184	630	293	176	230	396
lncRNA_2461	Porites_evermani_scaffold_23;Porites_evermani_scaffold_231	597755;116743	598134;116945	+;+	583	35	9	11	37	23
lncRNA_2462	Porites_evermani_scaffold_2311	14179	14388	+	210	0	2	0	0	4
lncRNA_2463	Porites_evermani_scaffold_2317	71249	71493	+	245	5	0	38	35	0
lncRNA_2464	Porites_evermani_scaffold_2318	1329	1563	+	235	0	0	0	0	0
lncRNA_2466	Porites_evermani_scaffold_231	112111	114319	+	2209	585	266	256	279	508
lncRNA_2467	Porites_evermani_scaffold_231	326248	327165	+	918	466	79	792	517	588
lncRNA_2468	Porites_evermani_scaffold_231	31854	34469	+	2616	735	243	902	509	1343
lncRNA_2469	Porites_evermani_scaffold_231	62914	63263	+	350	0	0	56	0	2
lncRNA_2471	Porites_evermani_scaffold_2311;Porites_evermani_scaffold_2313	73218;41548	73481;43741	+;+	2458	0	0	3	0	2
lncRNA_2472	Porites_evermani_scaffold_2313	412	683	+	272	25	0	90	40	26
lncRNA_2473	Porites_evermani_scaffold_2313	58983	61167	+	2185	91	1	161	24	31
lncRNA_2474	Porites_evermani_scaffold_2315	19171	21347	+	2177	215	17	2	38	178
lncRNA_2475	Porites_evermani_scaffold_2317	39764	39992	+	229	1	0	28	0	10
lncRNA_2476	Porites_evermani_scaffold_2318	57682	58151	+	470	0	1	43	0	10
lncRNA_2477	Porites_evermani_scaffold_232	137598	139964	+	2367	0	0	0	0	0
lncRNA_2478	Porites_evermani_scaffold_232	137598	139968	+	2371	0	0	0	0	0
lncRNA_2479	Porites_evermani_scaffold_232	279632	287385	+	7754	126	53	129	91	147
lncRNA_2481	Porites_evermani_scaffold_2321;Porites_evermani_scaffold_2323	71116;17122	72199;23118	+;+	7081	2506	294	166	545	1973
lncRNA_2482	Porites_evermani_scaffold_2323	31344	31587	+	244	1	0	0	0	0
lncRNA_2483	Porites_evermani_scaffold_2324	51857	53181	+	1325	309	82	682	238	365
lncRNA_2484	Porites_evermani_scaffold_2325	78177	78311	+	135	0	0	14	2	2
lncRNA_2485	Porites_evermani_scaffold_2326	1771	2231	+	461	19	0	125	34	22
lncRNA_2486	Porites_evermani_scaffold_2327	26772	27163	+	392	8	0	34	0	0
lncRNA_2487	Porites_evermani_scaffold_2328	55361	59912	+	4552	15	2	180	2	15
lncRNA_2488	Porites_evermani_scaffold_2328	53329	53664	+	336	0	0	49	0	10
lncRNA_2489	Porites_evermani_scaffold_2328	78641	78895	+	255	0	0	23	0	0
lncRNA_2491	Porites_evermani_scaffold_233	238815	239277	+	463	20	8	145	6	0
lncRNA_2493	Porites_evermani_scaffold_2337	51915	55185	+	3271	36	0	68	0	0
lncRNA_2494	Porites_evermani_scaffold_2337	13957	24895	+	10939	184	173	127	177	423
lncRNA_2495	Porites_evermani_scaffold_2339	588	916	+	329	70	15	112	5	50
lncRNA_2496	Porites_evermani_scaffold_2339	1275	2693	+	1419	193	38	198	20	81
lncRNA_2497	Porites_evermani_scaffold_234	154597	154998	+	402	0	0	21	0	4
lncRNA_2498	Porites_evermani_scaffold_234	219787	221189	+	1403	56	42	155	12	44
lncRNA_2499	Porites_evermani_scaffold_234	155498	156171	+	674	8	0	58	6	1
lncRNA_2511	Porites_evermani_scaffold_2342;Porites_evermani_scaffold_2343;Porites_evermani_scaffold_2351;Porites_evermani_scaffold_2352	41256;1;3749;53211	51189;245;21143;53492	+;+;+;+	27856	535	63	121	128	93
lncRNA_2512	Porites_evermani_scaffold_2343;Porites_evermani_scaffold_2352	42866;75754	43127;76162	+;+	671	9	0	88	4	0
lncRNA_2513	Porites_evermani_scaffold_2344;Porites_evermani_scaffold_2353	39591;422	57619;1516	+;+	19124	23	4	132	8	115
lncRNA_2514	Porites_evermani_scaffold_2344;Porites_evermani_scaffold_2353	41147;3785	57619;4117	+;+	16806	0	0	51	0	6
lncRNA_2515	Porites_evermani_scaffold_2345;Porites_evermani_scaffold_2354	17442;61828	21456;67946	+;+	10134	127	48	92	16	104
lncRNA_2516	Porites_evermani_scaffold_2345;Porites_evermani_scaffold_2354	14862;63785	17289;65518	+;+	4162	75	18	35	33	78
lncRNA_2517	Porites_evermani_scaffold_2348;Porites_evermani_scaffold_2354	14482;64915	23691;65413	+;+	9709	142	37	420	101	448
lncRNA_2518	Porites_evermani_scaffold_2348;Porites_evermani_scaffold_2356	56725;59914	57541;62186	+;+	3090	41	49	105	31	105
lncRNA_2519	Porites_evermani_scaffold_235;Porites_evermani_scaffold_2356	129557;16414	166794;18111	+;+	38936	336	175	354	93	472
lncRNA_2521	Porites_evermani_scaffold_2358;Porites_evermani_scaffold_2359	25192;1114	25774;3617	+;+	3087	153	43	39	37	161
lncRNA_2522	Porites_evermani_scaffold_236	125122	126242	+	1121	16	2	87	10	2
