gene_id,RNA-POR-71,RNA-POR-73,RNA-POR-76,RNA-POR-79,RNA-POR-82
Peve_00023308,0,0,130,19,18
STRG.4946,63,14,353,177,149
STRG.4947,3508,1604,7385,3078,4944
STRG.4944,1122,468,894,1070,581
STRG.4945,120,89,467,121,136
STRG.4942,41,42,116,11,34
STRG.4943,678,407,5335,811,1096
Peve_00025227,0,0,0,7,7
STRG.4941,364,128,312,794,171
STRG.4948,320,212,596,190,397
STRG.4949,216,14,367,25,188
STRG.26189,323,170,398,116,515
STRG.26188,145,50,554,76,260
STRG.22400,34,4,157,3,23
STRG.18719,304,333,24,0,6
STRG.26183,83,91,44,29,166
STRG.26182,85,302,441,108,466
STRG.26185,335,240,1221,297,1201
STRG.26184,384,220,0,213,697
STRG.26187,4627,1129,3557,2301,9374
STRG.26186,6,0,0,0,2
STRG.13659,511,381,2695,750,1032
STRG.13658,1044,246,998,448,1720
STRG.13655,26,15,0,0,24
STRG.13654,720,155,1290,9,868
STRG.13657,18,6,12,0,20
STRG.13656,63,53,51,0,101
STRG.13651,160,222,1010,72,182
STRG.13650,67,54,221,34,42
STRG.13653,5008,1633,2307,1764,7203
STRG.13652,2462,1577,3766,1485,3964
STRG.15340,331,109,1032,321,765
STRG.10406,4606,2389,5608,4021,6159
STRG.1059,1681,116,1095,485,3654
STRG.16660,12,14,0,0,4
STRG.20802,422,133,494,245,512
STRG.20803,44,18,0,58,54
STRG.20800,203,46,18,78,163
STRG.20801,178,42,239,95,153
STRG.20806,21,0,48,4,52
STRG.20807,50,28,0,0,0
STRG.20804,21,20,50,69,38
STRG.20805,70,26,18,40,67
STRG.190,32,0,111,33,176
STRG.191,1608,493,1987,602,1699
STRG.192,4832,2103,10157,3328,6532
STRG.193,1569,639,1655,706,1368
STRG.194,279,215,448,99,376
STRG.195,12,0,100,18,29
STRG.196,3419,1277,4165,1898,2742
STRG.197,1767,944,1866,992,2464
STRG.26233,116,48,0,21,115
STRG.26232,7,15,23,57,123
STRG.26231,316,0,0,0,59
STRG.26230,1007,670,2176,299,1106
STRG.11653,7,0,0,0,7
Peve_00020762,0,0,0,0,0
STRG.26235,69,8,276,8,10
STRG.26234,27,0,0,9,22
STRG.26239,137,62,182,72,226
STRG.26238,14,0,0,7,4
Peve_00020769,0,0,0,0,0
STRG.11658,48,10,13,20,31
STRG.19103,17,28,0,0,64
STRG.19102,5,10,0,13,10
STRG.19101,11,0,0,0,0
STRG.19100,14,21,0,4,24
STRG.19107,82,14,54,29,88
STRG.19106,2881,1360,2427,1586,4731
STRG.19105,531,266,694,279,760
STRG.19104,1507,2262,6202,2129,3681
STRG.19109,163,37,129,96,204
STRG.19108,344,85,282,199,369
STRG.1077,21,0,33,8,43
STRG.6896,325,135,500,279,293
STRG.6897,6241,1086,1896,1728,2809
Peve_00010649,0,0,0,0,0
STRG.6895,688,41,129,175,277
STRG.6892,66,173,203,246,796
STRG.6893,322,76,493,123,300
STRG.6890,48,22,207,14,0
STRG.6891,767,478,1141,541,1338
STRG.6898,59648,23960,25592,21464,69118
Peve_00010644,0,0,0,0,0
STRG.7644,78,48,396,35,22
Peve_00004688,0,0,0,0,0
Peve_00004689,0,0,0,0,0
STRG.228,25636,12989,3422,8773,16667
STRG.7645,320,283,784,329,739
STRG.226,1369,861,1471,309,1375
STRG.227,18,15,203,29,4
STRG.224,174,36,148,42,129
STRG.225,22,0,14,0,0
Peve_00004686,0,0,0,0,0
Peve_00004687,0,0,0,0,0
STRG.220,103,38,213,16,168
Peve_00004685,0,0,0,0,0
Peve_00002217,0,10,161,8,11
Peve_00012730,0,0,0,0,0
Peve_00012733,0,0,0,0,0
Peve_00012732,0,0,6,0,0
Peve_00022949,0,0,22,0,0
Peve_00022948,0,2,45,2,52
Peve_00011230,0,9,0,0,8
Peve_00012739,0,0,12,0,0
STRG.8616,3,3,9,17,14
Peve_00015508,0,0,0,0,0
Peve_00002218,0,0,0,0,0
STRG.21179,62,44,131,0,112
STRG.21178,50,21,288,30,49
STRG.7642,49,54,590,7,90
STRG.21171,53,4,133,0,26
STRG.21170,87,4,113,4,6
STRG.21173,3,2,3,2,5
STRG.21172,1746,391,322,311,1294
STRG.21175,22,0,3,5,3
STRG.21174,3,0,7,6,6
STRG.21177,103,101,107,76,148
STRG.15344,21,0,0,0,0
STRG.10302,24,0,0,0,0
STRG.10303,210,386,19,0,242
STRG.10300,1028,736,1225,1683,1320
STRG.10301,1832,683,2632,882,2516
STRG.10306,5,3,0,18,7
STRG.10307,118,198,191,87,104
STRG.10304,152,268,68,0,153
STRG.10305,19,0,0,4,3
STRG.10308,950,163,810,541,531
STRG.10309,33,11,0,0,0
Peve_00011092,0,0,0,0,0
Peve_00041384,0,0,0,0,0
Peve_00024537,0,0,289,45,17
Peve_00021416,0,0,0,0,0
STRG.16274,6150,2133,7531,2469,8474
Peve_00021412,0,0,16,0,20
Peve_00024611,0,0,0,0,0
Peve_00021410,0,0,0,0,6
STRG.16275,133,61,248,56,113
STRG.15346,1077,443,2513,888,1129
STRG.16276,9,0,1,0,0
STRG.16277,644,490,369,290,889
STRG.3730,27,0,125,12,11
STRG.3731,469,445,561,243,518
Peve_00044405,0,0,0,0,0
Peve_00044406,0,0,0,0,24
Peve_00044400,0,6,0,0,2
STRG.3732,4,0,0,0,0
STRG.16273,393,284,1844,400,19
Peve_00044408,0,193,0,19,7
Peve_00044409,0,0,0,0,0
Peve_00016931,0,0,0,0,0
Peve_00003166,0,0,532,101,0
Peve_00003167,0,0,0,0,0
STRG.24279,408,84,251,103,410
Peve_00003163,0,0,47,0,2
Peve_00003160,0,0,0,0,0
Peve_00003161,0,0,7,0,137
STRG.24275,22,29,92,27,0
STRG.24274,653,297,1143,218,450
STRG.24277,49,14,0,39,0
STRG.24276,60,0,0,0,0
STRG.24271,35,13,0,49,70
STRG.24270,30,24,155,6,42
STRG.24273,20,0,0,0,0
Peve_00003169,0,0,0,0,0
STRG.1819,18364,13651,19035,10124,20860
STRG.1818,504,177,589,210,577
STRG.1817,107,8,86,30,70
STRG.1816,1180,501,1405,637,1247
STRG.1815,14,13,0,14,58
STRG.1814,39,48,0,0,28
STRG.1813,155,0,690,189,119
STRG.1812,7,0,0,0,11
STRG.1811,81,41,0,23,113
STRG.1810,2017,575,1226,726,2263
STRG.20036,924,186,38,15,616
STRG.7305,5,28,0,39,145
STRG.7304,16,14,93,40,26
STRG.7307,541,94,235,166,490
STRG.7306,53,22,177,0,100
STRG.7301,15,86,22,34,23
STRG.7300,227,63,415,241,216
STRG.17541,116,58,424,30,82
STRG.7302,801,339,3389,1028,1777
Peve_00014360,0,0,0,0,0
Peve_00014363,0,0,0,17,0
STRG.7309,27,0,264,19,41
STRG.7308,199,57,0,39,208
Peve_00019507,0,0,0,0,0
STRG.17540,668,631,2069,559,912
Peve_00039860,0,0,0,0,0
STRG.24499,211,254,57,71,1221
STRG.24498,21,17,0,0,0
Peve_00042125,0,0,0,0,9
Peve_00042124,0,0,0,0,0
Peve_00042126,0,0,0,0,0
Peve_00042129,0,0,0,0,0
STRG.24490,614,48,565,326,356
STRG.24493,66,7,169,38,32
STRG.24492,6,0,0,0,0
STRG.24495,256,164,477,89,215
STRG.24494,1125,214,407,563,797
STRG.24497,175,161,44,73,341
STRG.24496,156,113,114,105,599
Peve_00016883,0,11,0,0,0
Peve_00016881,0,0,0,0,0
Peve_00043838,0,0,24,0,25
Peve_00016885,0,0,0,0,0
Peve_00016884,0,0,0,0,0
Peve_00043834,0,0,0,0,0
Peve_00016889,0,0,0,0,0
Peve_00043833,0,14,125,46,179
STRG.23722,17,18,28,12,23
STRG.23723,8,4,51,0,45
STRG.23720,115,31,301,60,86
STRG.23721,83,7,0,0,28
STRG.23726,3,0,17,0,5
STRG.23727,6,4,0,3,3
STRG.23724,90,13,1445,92,306
STRG.23725,25,143,105,87,207
STRG.23728,987,707,1275,670,971
STRG.23729,29,22,0,13,64
Peve_00020911,0,0,0,0,0
STRG.22893,121,41,94,178,197
STRG.22892,134,153,0,97,377
STRG.22891,375,189,4,217,460
STRG.22890,24,15,143,8,16
STRG.22897,58,27,38,15,50
STRG.22896,804,323,1175,382,860
STRG.22895,139,54,0,93,83
STRG.22894,264,168,9,127,373
STRG.22899,305,41,721,341,303
STRG.22898,19,4,0,154,70
Peve_00009158,0,0,0,0,0
Peve_00039287,0,0,0,0,4
Peve_00009153,0,0,0,0,0
Peve_00004304,0,0,0,0,0
Peve_00004303,0,0,0,0,0
Peve_00009157,0,0,0,0,0
Peve_00004300,0,0,0,14,0
Peve_00015286,0,0,0,0,0
Peve_00018670,0,72,0,0,45
Peve_00018671,0,54,48,7,0
Peve_00007647,0,0,0,0,0
STRG.15563,72,0,149,83,217
STRG.17546,33,0,0,0,0
STRG.15562,334,211,873,400,410
STRG.16186,1,0,5,0,10
STRG.16187,4,24,0,25,25
STRG.16184,221,95,497,214,180
Peve_00029760,0,0,40,0,0
STRG.16185,6,0,0,1,27
Peve_00029767,0,0,97,204,0
STRG.15569,2069,957,340,1656,2310
STRG.24933,359,495,277,6,324
Peve_00034739,0,0,0,0,0
Peve_00034738,0,0,0,0,21
STRG.16180,6,1,0,0,0
Peve_00034730,0,0,0,0,0
Peve_00034733,0,0,0,0,7
Peve_00034732,0,0,0,0,12
Peve_00034735,0,0,0,0,8
Peve_00034734,0,0,0,0,0
Peve_00034737,0,2,0,0,2
Peve_00034736,0,0,0,0,0
Peve_00019154,0,0,0,0,0
STRG.21818,2653,435,1543,379,1756
STRG.21819,933,262,1165,355,1233
Peve_00040932,0,0,0,0,3
STRG.21812,3,0,0,0,0
STRG.21813,72,25,376,81,170
STRG.21810,207,102,246,289,198
STRG.21811,221,36,290,33,404
STRG.21816,20,0,190,9,21
STRG.21817,89,37,142,0,26
STRG.21814,266,12,431,228,206
STRG.21815,75,19,569,54,469
Peve_00003944,0,0,0,0,0
Peve_00003942,0,1,0,3,4
Peve_00003943,0,0,0,0,25
Peve_00040710,0,0,0,0,0
Peve_00040712,0,7,0,0,0
STRG.8771,17,18,168,2,48
STRG.19314,66,9,144,19,33
STRG.8770,203,37,399,114,144
Peve_00006278,0,0,0,0,1
STRG.23521,13,0,0,0,25
STRG.13518,25,18,66,13,56
STRG.13519,126,165,41,217,1009
STRG.13512,223,103,562,74,128
STRG.13513,221,46,133,43,60
STRG.13510,2686,1133,3784,1447,3614
STRG.13511,3,0,16,1,9
STRG.13516,1,0,0,0,0
STRG.13517,11,0,12,10,11
STRG.13514,1555,318,2650,1314,1819
STRG.13515,412,285,1779,517,802
STRG.2937,50,24,235,125,189
STRG.2939,339,119,1131,555,456
STRG.2938,1271,615,1567,783,2416
Peve_00032363,0,0,0,0,0
Peve_00032365,0,0,0,0,0
Peve_00012081,0,0,0,0,0
STRG.14082,476,177,1153,444,576
STRG.17424,134,84,198,146,6
Peve_00006890,0,0,0,0,0
Peve_00009973,0,0,0,0,17
Peve_00009972,0,2,0,0,0
STRG.17425,415,8,829,189,117
STRG.25334,61,36,105,22,130
STRG.24068,328,1151,552,240,697
STRG.24069,92,38,79,81,104
STRG.24064,205,62,116,141,212
Peve_00005165,0,0,0,0,0
Peve_00042578,0,0,0,0,0
STRG.24067,63,44,169,69,26
STRG.24060,16,0,0,0,18
Peve_00005163,0,0,0,0,0
Peve_00010329,0,0,30,2,20
Peve_00042827,0,0,4,0,5
Peve_00042820,0,7,533,133,296
Peve_00042823,0,0,0,0,0
Peve_00042828,0,0,0,0,0
Peve_00042829,0,0,83,6,38
Peve_00031045,0,6,0,5,4
Peve_00031046,0,0,0,0,0
Peve_00031049,0,0,0,24,0
Peve_00008361,0,0,0,0,0
Peve_00008360,0,0,0,0,0
Peve_00008363,0,0,0,0,0
Peve_00008362,0,0,0,0,0
Peve_00008364,0,0,0,0,0
Peve_00008367,0,0,0,0,0
Peve_00008368,0,2,0,0,0
Peve_00010327,0,0,0,0,0
Peve_00019263,0,0,0,0,14
STRG.17585,36,5,11,13,19
STRG.17584,178,138,302,41,206
STRG.19216,1409,172,117,455,893
STRG.17587,41,24,105,66,94
STRG.2464,21,34,102,25,63
STRG.2463,2328,962,7559,1527,4546
STRG.17580,16,16,101,72,201
STRG.16829,2,0,0,0,8
STRG.2461,140,71,47,12,104
STRG.9688,20738,13856,26908,14178,26813
STRG.9689,28,19,391,149,118
STRG.9686,163,40,467,56,101
STRG.9687,1018,308,815,351,1145
STRG.9684,4,0,245,8,7
STRG.9685,626,71,508,182,409
STRG.9682,66,138,182,31,95
STRG.9683,294,53,420,114,169
STRG.9680,101,14,0,21,97
STRG.9681,12,0,0,0,0
Peve_00015931,0,0,0,0,0
STRG.19214,305,185,1512,336,515
Peve_00028151,0,0,0,0,0
Peve_00028152,0,0,0,0,0
Peve_00028153,0,0,0,0,0
Peve_00028155,0,0,0,0,0
Peve_00028157,0,0,0,0,0
STRG.21691,448,220,148,14,465
STRG.19212,306,121,872,236,359
Peve_00031950,0,0,0,0,0
Peve_00031951,0,0,57,0,134
Peve_00031956,0,0,0,0,0
Peve_00031958,0,0,0,0,0
Peve_00031959,0,0,0,0,0
STRG.5569,73,10,0,72,94
STRG.9029,11,0,0,0,4
STRG.9022,260,73,262,260,412
STRG.9023,2630,221,3724,1109,3221
STRG.9020,21,34,384,11,55
STRG.9021,8,0,0,0,30
STRG.9026,12,3,39,6,48
STRG.9027,49,0,44,18,50
STRG.9024,1955,316,1482,827,1742
Peve_00021949,0,0,0,0,0
STRG.19194,111,6,117,24,91
STRG.21699,1719,668,1454,913,2580
STRG.19190,146,90,722,93,146
STRG.19191,120,495,212,114,332
Peve_00021947,0,3,0,13,0
Peve_00012243,0,0,0,0,0
Peve_00012242,0,0,63,0,0
STRG.6805,19,0,57,19,17
Peve_00029209,0,0,0,0,0
Peve_00029208,0,0,0,0,0
STRG.1144,10,16,84,12,17
STRG.15821,128,50,175,109,71
Peve_00029202,0,0,0,0,0
Peve_00029200,0,0,73,0,0
Peve_00029207,0,0,0,0,0
STRG.15822,303,314,38,84,369
Peve_00029205,0,0,0,4,0
Peve_00029204,0,0,0,20,0
STRG.15823,137,245,21,149,403
STRG.19198,57,0,0,1,1
STRG.6800,23,18,57,0,25
Peve_00005292,0,0,0,0,0
STRG.6803,92,45,267,63,100
STRG.6802,18940,2300,14698,7698,16140
STRG.14535,133,38,309,37,112
STRG.14534,46,0,79,9,40
STRG.14537,17,0,69,5,16
Peve_00005291,0,0,0,0,0
Peve_00030609,0,0,0,0,11
STRG.14530,531,4163,54,4653,7468
STRG.14533,9,0,0,0,0
STRG.14532,10,0,0,9,19
Peve_00030605,0,0,0,0,0
STRG.14539,36,0,50,7,25
STRG.14538,73,8,50,9,167
Peve_00037469,0,0,0,0,0
Peve_00037463,0,0,0,0,0
Peve_00037464,0,0,0,0,0
Peve_00037465,0,0,0,0,18
Peve_00037466,0,0,85,0,53
Peve_00037467,0,0,0,0,0
Peve_00033558,0,0,0,0,0
STRG.4218,7,5,0,11,7
STRG.4219,9,0,21,0,18
STRG.4212,7,0,0,0,0
STRG.4213,7,3,19,17,16
STRG.4210,3,0,0,0,2
STRG.4211,8,0,0,0,0
STRG.4216,13,0,0,0,3
Peve_00033555,0,0,0,0,96
STRG.4214,1,0,0,0,0
STRG.4215,19,55,0,41,16
STRG.7547,185,184,607,289,443
STRG.7546,2628,1085,1658,793,3301
STRG.7545,11425,4005,7887,4447,15937
STRG.7544,86,0,0,0,15
STRG.7543,171,144,618,69,278
STRG.7542,276,98,262,119,289
STRG.7541,513,206,391,134,194
STRG.7540,682,2309,1882,829,1553
STRG.7549,65,58,590,114,126
STRG.7548,15794,7142,6208,6075,12673
Peve_00023564,0,171,0,0,40
Peve_00023565,0,0,0,0,0
STRG.3655,696,154,2037,229,1097
STRG.3654,108,52,269,60,278
Peve_00023560,0,4,0,0,4
Peve_00023561,0,0,0,0,0
STRG.3651,160,0,1448,188,276
STRG.3650,19,65,69,53,65
STRG.24778,26,0,202,6,31
STRG.3659,15,22,1292,102,111
STRG.3658,183,99,764,101,232
STRG.15668,846,469,1826,510,1358
STRG.15669,61,51,341,44,90
STRG.7899,157,51,193,72,150
STRG.7898,6791,4476,7307,3235,10998
STRG.8843,11,8,5,0,0
STRG.15663,5,0,0,0,0
STRG.15660,6,0,70,2,33
STRG.7896,1222,740,1100,479,1095
STRG.7891,1364,301,552,165,1543
STRG.15667,63,90,264,124,255
STRG.8845,1897,708,2844,1436,2031
STRG.15665,2486,379,2385,1365,6140
STRG.16009,202,0,0,5,432
STRG.16008,225,81,0,0,165
STRG.16007,2702,320,878,735,4553
STRG.16006,8,4,90,0,16
STRG.16005,51,10,409,34,87
STRG.16004,1389,0,3422,758,62
STRG.16003,1548,515,3801,976,1679
STRG.16002,14,0,0,0,0
STRG.16001,3,0,0,2,0
STRG.16000,2,3,2,1,3
Peve_00036732,0,0,0,0,0
Peve_00036734,0,0,0,10,0
Peve_00032609,0,0,0,0,0
Peve_00032600,0,0,0,0,34
Peve_00032606,0,0,0,32,0
Peve_00032605,0,0,43,13,0
Peve_00044880,0,0,0,0,0
Peve_00044881,0,0,0,0,0
Peve_00044882,0,0,0,0,13
Peve_00044886,0,0,23,0,0
STRG.17758,2164,535,1350,1505,2742
STRG.17759,5016,900,2789,1571,5736
STRG.2214,236,340,1702,223,392
STRG.17755,3,0,0,0,0
STRG.17756,992,310,1154,427,1168
STRG.17757,233,206,241,188,267
STRG.2210,157,37,352,83,142
STRG.17751,4033,2733,5316,3044,5146
STRG.17752,10,0,0,0,0
STRG.17753,61,0,179,22,43
STRG.1493,1086,428,1382,786,1326
STRG.1492,65,3,371,106,217
STRG.1491,22,0,0,10,64
STRG.1490,35,11,0,7,36
STRG.1497,27,0,46,0,3
STRG.1496,100,8,46,6,3154
STRG.1495,23,5,16,29,75
STRG.1494,78,21,39,33,104
STRG.1499,64,14,83,17,183
STRG.1498,16,0,1,43,60
STRG.19802,782,398,1990,608,788
STRG.19803,424,312,378,168,583
STRG.5972,1683,661,4609,1778,2047
STRG.19801,6772,8249,5591,7611,7357
STRG.5974,311,122,474,180,451
STRG.5975,744,194,615,301,1027
STRG.19804,486,46,261,149,706
STRG.5977,273,117,624,53,144
STRG.5978,82,32,148,0,95
STRG.5979,165,52,159,28,170
STRG.19808,32,11,67,22,39
STRG.19809,22877,15463,13733,10721,8772
Peve_00021236,0,2,0,0,0
Peve_00021235,0,0,0,0,0
Peve_00021239,0,0,0,140,0
Peve_00025927,0,0,26,0,0
Peve_00025924,0,0,0,0,0
STRG.2916,14,0,0,0,0
Peve_00025920,0,0,36,0,21
Peve_00025928,0,0,0,0,0
Peve_00025929,0,0,0,0,0
Peve_00027697,0,0,0,0,0
Peve_00037928,0,0,0,0,0
Peve_00037926,0,0,0,0,2
Peve_00027698,0,0,0,0,16
Peve_00024340,0,0,0,55,0
Peve_00024343,0,0,0,0,0
Peve_00024342,0,0,0,0,0
Peve_00024344,0,0,0,0,0
Peve_00024347,0,0,0,0,0
Peve_00024349,0,0,0,0,0
STRG.23968,25,26,71,12,15
STRG.23969,152,116,341,53,366
STRG.10409,335,82,175,105,378
STRG.10408,736,301,1403,367,1001
STRG.23960,12,5,49,0,5
STRG.23961,4,4,11,26,9
STRG.23962,12,1,0,3,17
STRG.23963,196,92,389,173,299
STRG.23964,2306,52,1494,1405,1959
STRG.23965,215,69,132,35,34
STRG.23966,86,63,2592,847,37
STRG.23967,15986,10538,10208,10041,8811
STRG.18179,59,37,105,71,158
STRG.18178,2722,1272,3232,927,2856
STRG.18171,58,0,256,3,177
STRG.18170,74,25,170,39,82
STRG.18173,462,676,738,331,795
STRG.18172,47,0,111,0,103
STRG.18175,8,48,19,11,69
STRG.18174,11,31,67,12,38
STRG.18177,5369,2585,6643,3290,6604
STRG.18176,2,2,0,0,2
Peve_00011498,0,0,0,0,0
Peve_00011491,0,0,0,0,0
STRG.21695,46,4,18,1,25
Peve_00016157,0,0,0,0,0
Peve_00013388,0,0,0,0,0
Peve_00016152,0,0,0,0,0
Peve_00016159,0,0,0,0,0
Peve_00016158,0,0,0,0,0
STRG.529,1365,6926,3242,1685,1663
STRG.528,26,9,0,11,41
STRG.525,196,150,733,170,345
STRG.524,1319,380,1113,647,1442
STRG.527,20295,2513,6598,1749,13793
STRG.526,1052,794,2491,620,1745
STRG.521,1210,816,4009,999,1163
STRG.520,250,84,757,132,162
STRG.523,1546,709,2244,781,1210
STRG.522,31642,19595,4923,20392,43882
STRG.16588,149,83,869,579,226
STRG.16589,507,101,1526,241,480
STRG.16582,11,0,37,0,0
STRG.16583,195,28,173,29,160
Peve_00011721,0,3,0,12,0
Peve_00011720,0,1,0,0,4
STRG.16586,28,12,340,13,15
STRG.16587,92,61,857,72,103
STRG.16584,43,0,0,0,138
STRG.16585,106,55,0,44,52
Peve_00013651,0,0,45,0,0
Peve_00013650,0,0,0,0,0
Peve_00013654,0,0,13,7,0
Peve_00026278,0,0,0,0,0
Peve_00026277,0,0,23,0,0
Peve_00026276,0,0,0,0,0
Peve_00026272,0,0,0,0,0
Peve_00026271,0,0,0,0,0
Peve_00001978,0,0,0,0,0
STRG.11752,100,49,311,48,109
STRG.11753,31,3,0,7,19
STRG.11750,88,21,237,215,226
STRG.11751,4349,3144,3979,1366,4035
STRG.11756,16,0,0,0,0
STRG.11757,1463,417,2694,1222,1650
STRG.11754,324,14,207,40,104
STRG.11755,1273,99,421,358,547
STRG.22611,90,22,235,35,150
STRG.22610,360,204,1176,337,729
STRG.22613,1,4,1,0,2
STRG.22612,354,100,922,223,390
STRG.22615,104,53,101,75,99
STRG.22614,1497,5412,95,354,98
STRG.22617,127,80,211,19,198
STRG.22616,666,373,872,592,1608
Peve_00017670,0,0,0,0,0
STRG.20613,6,0,61,7,19
STRG.20612,4,0,0,0,0
STRG.20611,502,171,298,74,988
STRG.20610,18,0,159,158,0
STRG.20617,322,109,402,179,315
STRG.20616,2452,648,202,685,3862
STRG.20615,81,15,321,19,121
STRG.20614,18,38,56,16,7
STRG.20619,4,0,82,0,13
STRG.20618,226,18,0,42,81
STRG.25069,5055,1659,249,2205,23342
STRG.25068,31,0,30,30,84
STRG.25063,3,0,0,0,0
STRG.25062,142,24,113,34,94
STRG.25061,143,15,580,123,255
STRG.25060,111,13,179,23,82
STRG.25067,1162,733,2002,759,1676
STRG.25066,224,43,1,0,482
STRG.25065,1877,524,3642,1150,3105
STRG.25064,181,21,311,95,36
Peve_00040997,0,0,0,0,0
Peve_00040992,0,0,20,0,0
Peve_00040993,0,3,0,0,0
STRG.9429,2076,1241,1747,1289,2359
Peve_00003407,0,0,0,2,0
STRG.25399,34,31,0,29,173
Peve_00015717,0,0,0,0,0
Peve_00002401,0,0,0,0,0
STRG.25395,52,9,61,10,80
STRG.25394,9,20,0,2,1
STRG.25397,148,47,3,0,185
STRG.25396,12,0,79,13,0
STRG.25391,267,35,0,0,239
STRG.25390,271,41,338,112,371
STRG.25393,25,32,39,3,2
STRG.25392,34,11,161,13,30
Peve_00021593,0,0,0,0,0
Peve_00021592,0,0,0,0,0
Peve_00021591,0,0,0,0,0
Peve_00021590,0,0,0,0,0
Peve_00021594,0,0,0,0,0
STRG.4618,50,45,282,28,51
STRG.4616,2730,681,2090,1056,2897
STRG.4617,654,139,338,305,1236
STRG.4612,28,109,701,42,64
STRG.4613,3023,1181,3924,1200,2870
STRG.25939,32,0,0,0,10
STRG.25938,7,67,136,14,22
Peve_00041643,0,0,0,0,0
Peve_00041645,0,0,0,0,0
STRG.4610,57,21,80,22,72
Peve_00041647,0,0,0,0,0
Peve_00041646,0,0,0,0,0
STRG.25931,63,9,66,54,68
Peve_00041648,0,0,0,0,0
STRG.25933,683,337,487,488,981
STRG.25932,687,212,57,146,407
STRG.25935,51,45,0,30,55
STRG.25934,585,31,401,212,1061
STRG.25937,25,0,12,14,12
STRG.25936,88,84,576,49,9
Peve_00014449,0,7,0,2,0
Peve_00014448,0,0,0,0,0
Peve_00042595,0,0,0,0,4
Peve_00014447,0,0,0,0,0
Peve_00014446,0,0,0,0,0
Peve_00014441,0,0,0,1,2
Peve_00042591,0,0,0,0,0
Peve_00014443,0,0,0,0,0
Peve_00008163,0,0,0,26,15
Peve_00008162,0,0,0,0,0
Peve_00008161,0,0,0,0,4
Peve_00008160,0,2,0,0,0
Peve_00008167,0,0,0,0,0
Peve_00000319,0,0,0,0,0
Peve_00008165,0,0,0,0,0
Peve_00000314,0,0,0,0,0
Peve_00000315,0,0,0,0,0
Peve_00008169,0,0,0,0,0
Peve_00000317,0,0,0,0,0
Peve_00000310,0,0,0,0,0
Peve_00000311,0,0,0,0,0
Peve_00000313,0,0,0,0,0
STRG.23573,125,292,366,316,601
Peve_00001010,0,0,0,0,0
STRG.23571,21,0,0,0,7
STRG.23570,1457,492,1527,459,1044
STRG.23577,107,120,146,44,191
STRG.23576,38,71,182,26,142
STRG.23575,21610,227,32211,17261,21738
STRG.23574,4,0,0,0,0
STRG.17434,265,331,397,133,511
STRG.23579,10,0,0,13,25
STRG.23578,87,7,31,86,26
Peve_00001012,0,0,0,0,0
Peve_00006417,0,0,53,0,18
STRG.1652,2126,1058,3436,1196,2207
STRG.16898,25,0,0,0,142
STRG.18253,365,35,1558,0,22
STRG.1657,56,24,111,24,71
Peve_00003465,0,0,0,0,0
STRG.1656,399,341,304,278,859
Peve_00016964,0,0,0,0,0
Peve_00016965,0,0,0,0,0
Peve_00016966,0,0,0,0,0
Peve_00016967,0,0,0,0,0
Peve_00016960,0,0,0,0,0
Peve_00019710,0,0,0,0,0
Peve_00016963,0,0,0,0,0
Peve_00016969,0,0,0,0,0
STRG.18818,454,574,12083,2219,14289
STRG.18819,111,54,91,50,187
STRG.18812,130,78,334,72,189
STRG.18813,43,18,85,6,58
STRG.18810,78,0,45,48,36
Peve_00028311,0,0,0,0,21
STRG.18816,2,18,215,15,20
STRG.18817,0,0,0,0,0
STRG.18814,68,6,87,4,39
STRG.18815,5,34,54,15,59
Peve_00022693,0,0,0,0,0
Peve_00043649,0,0,0,0,0
Peve_00043645,0,0,0,0,0
Peve_00043644,0,0,0,0,17
Peve_00043643,0,0,0,18,5
Peve_00043642,0,0,0,0,0
STRG.7042,109,77,110,44,232
STRG.7043,351,233,596,248,502
STRG.8092,156,24,98,53,160
Peve_00035658,0,0,0,0,0
STRG.8093,182,120,413,129,41
Peve_00035650,0,0,0,0,0
Peve_00035653,0,0,0,0,0
Peve_00035656,0,0,0,0,0
STRG.7044,3014,919,2824,1522,3853
Peve_00024119,0,0,96,0,216
STRG.7045,147,46,403,235,158
STRG.8098,2882,188,2402,1723,2735
STRG.8099,1496,419,1252,673,1096
Peve_00009340,0,4,0,0,38
Peve_00009341,0,0,0,0,0
Peve_00009342,0,0,0,0,0
Peve_00004112,0,0,0,0,0
Peve_00009345,0,0,0,0,0
Peve_00004111,0,0,0,0,0
STRG.7049,720,429,2547,3066,934
Peve_00023449,0,0,0,0,0
Peve_00005443,0,0,0,0,0
Peve_00005442,0,0,20,0,0
Peve_00005441,0,3,37,35,41
Peve_00005445,0,0,0,0,0
Peve_00005444,0,0,417,90,301
Peve_00024114,0,5,0,19,0
Peve_00005449,0,0,120,0,0
Peve_00024115,0,8,0,8,0
Peve_00024116,0,4,0,0,26
Peve_00023321,0,32,6,6,0
Peve_00005999,0,0,0,0,0
Peve_00029592,0,0,0,0,0
Peve_00029591,0,0,0,0,0
Peve_00029590,0,0,0,0,0
Peve_00029594,0,0,0,0,0
Peve_00005995,0,0,0,0,0
Peve_00033718,0,0,0,0,0
Peve_00033712,0,0,0,0,0
STRG.5391,354,153,809,186,492
Peve_00025243,0,0,0,0,0
STRG.12598,171,16,78,55,151
STRG.12660,2119,751,1567,1236,2159
Peve_00016073,0,0,0,0,0
