gene_id,RNA-ACR-140,RNA-ACR-145,RNA-ACR-150,RNA-ACR-173,RNA-ACR-178
FUN_012746,0,0,9,0,0
FUN_029464,744,1231,363,640,339
FUN_012740,745,450,247,378,558
FUN_012741,1040,760,636,1258,700
FUN_032908,1237,1310,958,878,897
FUN_032909,91,38,36,133,169
FUN_032904,118,79,96,122,125
FUN_032905,61,51,65,74,121
FUN_032906,3183,1944,1807,3051,2469
FUN_012743,0,0,7,10,44
FUN_032900,0,0,0,0,0
FUN_032901,0,0,0,0,0
FUN_032902,9,198,75,160,121
FUN_032903,1409,506,713,1111,1309
FUN_006976,155,103,1502,3869,457
FUN_012749,68,78,41,47,57
FUN_006974,0,0,10,0,13
FUN_006975,370,653,1124,3372,639
FUN_000200,109,0,0,20,61
FUN_040071,1253,896,925,1385,1174
FUN_003624,104,28,67,42,51
FUN_010353,0,0,0,0,0
FUN_003626,0,0,0,0,0
FUN_010355,0,0,0,0,0
FUN_010354,0,0,0,0,0
FUN_010357,0,0,0,0,0
FUN_003622,126,51,98,100,8
FUN_010359,0,0,0,0,0
FUN_040078,61,45,51,182,164
FUN_003629,18,131,15,0,31
FUN_003628,16,23,0,4,4
FUN_028338,0,0,0,0,0
FUN_004761,10960,2129,622,2542,2449
FUN_010689,3187,3742,1056,2310,1477
FUN_010688,1798,2405,1237,1488,956
FUN_004760,8290,1668,623,2843,1881
FUN_010683,1026,1024,813,933,1049
FUN_010682,7195,7221,3882,8359,6304
FUN_010681,2495,1850,1440,3407,2871
FUN_010680,779,231,263,453,307
FUN_028334,0,0,0,68,0
FUN_004763,0,0,0,0,0
FUN_010685,553,410,783,502,359
FUN_010684,0,0,0,0,0
FUN_004762,113,21,16,61,74
FUN_010247,0,0,0,0,0
FUN_010246,0,0,0,0,0
FUN_034506,0,0,0,0,0
FUN_034507,0,0,0,0,0
FUN_034504,0,0,0,0,0
FUN_034505,0,0,0,0,0
FUN_034502,0,0,0,0,1
FUN_004767,1659,893,759,1476,992
FUN_034500,0,0,0,0,0
FUN_034501,0,0,0,0,1
FUN_010244,0,0,0,0,0
FUN_034508,0,0,0,0,0
FUN_034509,0,0,0,0,0
FUN_002578,287,74,102,85,404
FUN_002579,387,49,104,241,388
FUN_002572,426,23,23,63,60
FUN_002573,273,194,22,68,57
FUN_002570,0,6,3,54,5
FUN_002571,0,0,0,0,0
FUN_002576,4813,4680,4675,7603,8953
FUN_002577,3015,1514,950,1260,768
FUN_002574,937,727,123,1476,862
FUN_002575,7,0,0,167,51
FUN_011086,63,5,8,88,3
FUN_011087,52,4,12,75,6
FUN_011084,0,0,0,0,0
FUN_011085,0,0,0,0,3
FUN_011082,0,0,0,0,33
FUN_011083,0,0,3,8,38
FUN_011080,0,0,0,0,0
FUN_011081,0,0,0,0,0
FUN_012263,7455,5041,4477,9847,4193
FUN_012262,871,540,479,496,520
FUN_012261,1791,1098,1035,2516,2050
FUN_012260,0,0,0,0,16
FUN_012267,0,0,0,0,0
FUN_012266,4476,3325,2421,4953,3172
FUN_011088,0,0,0,0,19
FUN_011089,0,0,0,0,0
FUN_026827,2,0,4,0,0
FUN_010920,9422,12895,6111,13306,13623
FUN_011558,0,0,0,0,0
FUN_043039,0,10,0,0,16
FUN_011550,0,0,0,0,0
FUN_043031,900,447,227,779,765
FUN_011552,0,0,0,0,0
FUN_011553,0,0,0,0,0
FUN_011554,0,0,0,0,0
FUN_011555,0,0,0,0,5
FUN_011556,0,0,0,0,0
FUN_043037,413,151,315,315,278
FUN_012199,63,0,194,296,14
FUN_012198,0,0,0,0,0
FUN_012195,52,836,155,298,11
FUN_012194,3305,1604,1336,2072,825
FUN_012197,213,328,41,169,231
FUN_012196,0,219,10,91,0
FUN_012191,172,174,95,136,282
FUN_012190,905,473,456,958,906
FUN_012193,606,2271,526,689,460
FUN_012192,6404,5068,4748,7194,5915
FUN_014690,4421,2413,2654,4532,5319
FUN_014691,9,0,16,0,159
FUN_014692,0,8,3,0,0
FUN_014693,1732,1154,795,1535,1316
FUN_014694,441,567,377,481,459
FUN_014695,206,74,57,117,144
FUN_014696,3830,2085,68,142,1052
FUN_014697,3,2,2,2,7
FUN_014698,460,767,254,274,109
FUN_014699,12,79,78,181,111
FUN_010926,118,29,56,203,128
FUN_041555,3313,1439,1377,2672,2706
FUN_009669,0,0,0,0,0
FUN_009668,880,500,603,524,559
FUN_009663,35,0,19,4,81
FUN_009662,5,0,42,0,71
FUN_009661,2906,2764,2006,2958,2312
FUN_009660,1174,693,497,801,752
FUN_009667,194,263,153,70,29
FUN_009666,1769,2942,676,87,710
FUN_009665,0,0,0,0,0
FUN_009664,0,0,0,0,3
FUN_010927,32,35,24,1,6
FUN_041554,1290,716,381,1098,770
FUN_029526,0,1,0,0,0
FUN_029527,10,0,2,8,10
FUN_029524,5677,3062,1794,2305,2061
FUN_029525,719,442,260,485,377
FUN_029522,0,0,0,0,0
FUN_029523,0,0,39,17,44
FUN_029520,536,1136,547,531,360
FUN_029521,1028,272,156,660,672
FUN_029528,45,7,14,75,9
FUN_029529,0,0,0,11,9
FUN_000525,0,0,0,0,0
FUN_009599,0,0,0,0,0
FUN_009598,357,0,7,85,211
FUN_009595,0,0,0,0,0
FUN_009594,38,0,39,40,13
FUN_009597,15,10,2,2,3
FUN_009596,0,0,0,0,0
FUN_009591,15,0,0,13,8
FUN_009590,179,110,81,40,74
FUN_009593,0,0,0,0,0
FUN_009592,0,0,7,3,0
FUN_038994,0,8,6,0,0
FUN_016029,85,19,0,124,33
FUN_042348,6,0,0,0,0
FUN_042341,0,0,17,0,10
FUN_042340,0,0,0,0,5
FUN_016023,6382,2769,2005,5924,3717
FUN_016022,32,42,32,332,169
FUN_042345,0,0,0,0,0
FUN_016024,166,416,173,178,101
FUN_042347,0,0,0,0,0
FUN_016026,0,0,0,0,0
FUN_038992,0,0,0,0,0
FUN_016585,2599,1300,1435,1958,1415
FUN_013253,0,0,0,0,0
FUN_026279,0,1,1,0,1
FUN_026278,78,92,53,69,21
FUN_026273,304,60,134,170,69
FUN_026272,6,21,9,310,0
FUN_026271,12,20,0,65,0
FUN_026270,148,0,93,0,87
FUN_026277,57,6,44,26,28
FUN_026276,3,59,0,98,10
FUN_026275,164,18,24,109,29
FUN_026274,558,55,105,166,0
FUN_022198,352,145,333,168,326
FUN_022199,61955,21400,26140,102912,84048
FUN_022192,213,323,95,1013,166
FUN_022193,238,350,84,1077,155
FUN_022190,319,670,214,686,411
FUN_022191,204,195,97,125,118
FUN_022196,326,53,88,203,139
FUN_022197,2773,2026,1569,2237,1955
FUN_022194,552,671,243,2457,304
FUN_022195,21037,23788,12416,14052,9025
FUN_040255,0,0,106,13,13
FUN_017648,0,0,0,0,0
FUN_017649,0,0,0,0,0
FUN_017646,0,0,0,9,8
FUN_017647,0,0,0,0,0
FUN_017644,0,0,0,0,0
FUN_017645,0,0,0,3,0
FUN_017642,0,0,0,0,0
FUN_017643,0,0,0,0,0
FUN_017640,0,0,0,0,0
FUN_017641,0,0,0,0,0
FUN_041552,1552,585,374,772,671
FUN_010447,0,0,0,0,0
FUN_005626,0,0,1,2,3
FUN_023579,1894,2327,1271,3319,2449
FUN_023578,2347,2447,2740,6455,2091
FUN_023577,432,355,266,380,342
FUN_023576,409,634,518,380,419
FUN_023575,103,235,122,131,122
FUN_023574,27,0,13,0,69
FUN_023573,27,0,0,0,31
FUN_023572,0,0,8,0,0
FUN_023571,18,0,0,57,20
FUN_023570,0,16,11,33,62
FUN_022228,0,13,17,67,39
FUN_022229,0,15,19,62,39
FUN_022224,827,875,202,497,546
FUN_022225,257,202,114,506,318
FUN_022226,49,10,18,0,0
FUN_020535,0,0,0,0,0
FUN_022220,211,86,59,102,185
FUN_022221,22,28,31,37,29
FUN_022222,51,52,59,66,21
FUN_022223,335,243,136,200,281
FUN_039684,27,0,0,0,40
FUN_020539,0,0,0,0,0
FUN_018144,0,0,0,0,0
FUN_018145,85,33,86,251,93
FUN_018148,215,72,309,528,173
FUN_027925,18,6,34,2,40
FUN_019569,0,0,0,0,0
FUN_019568,0,0,4,0,0
FUN_019565,0,0,0,0,0
FUN_019564,0,0,0,0,0
FUN_019567,0,0,0,0,0
FUN_019566,0,0,0,0,6
FUN_019561,116,66,134,306,221
FUN_019560,1381,827,1197,1970,1937
FUN_019563,247,213,313,459,282
FUN_019562,0,0,0,0,0
FUN_005629,0,0,1,2,0
FUN_034729,0,0,0,0,26
FUN_024103,29,19,9,14,14
FUN_024102,4,19,40,0,36
FUN_024101,41,16,33,18,27
FUN_024100,0,0,0,0,0
FUN_024107,7572,7014,6192,5115,5594
FUN_024106,20,18,8,67,19
FUN_024105,173,561,81,296,138
FUN_024104,49,74,19,66,22
FUN_024109,268,242,159,944,451
FUN_024108,733,942,867,960,513
FUN_005628,0,0,0,2,2
FUN_030670,412,468,265,498,481
FUN_030671,858,396,300,603,541
FUN_021559,0,0,0,0,0
FUN_021558,0,0,1,0,0
FUN_030674,5698,3650,3895,5525,5429
FUN_030675,0,0,0,0,0
FUN_030676,0,0,0,0,0
FUN_030677,238,96,182,135,109
FUN_030678,194,247,129,124,117
FUN_030679,4093,4135,1747,3124,2422
FUN_021551,0,0,0,0,0
FUN_021550,0,0,1,0,0
FUN_021557,0,0,0,0,0
FUN_021556,0,0,1,0,0
FUN_021555,0,0,0,0,0
FUN_021554,0,0,0,0,0
FUN_038087,563,675,766,415,459
FUN_038086,596,317,217,501,438
FUN_038085,20,43,29,36,33
FUN_038084,35,9,16,26,52
FUN_038083,0,0,0,135,0
FUN_038082,393,265,308,803,814
FUN_038081,1710,1179,912,1679,822
FUN_038080,1477,767,531,889,786
FUN_038089,1153,188,300,669,434
FUN_038088,674,177,155,405,225
FUN_032201,597,393,411,371,460
FUN_021889,0,0,0,0,0
FUN_021888,0,0,0,0,1
FUN_021885,0,0,0,0,2
FUN_021884,0,0,0,0,0
FUN_021887,0,0,1,0,4
FUN_021886,0,0,1,0,4
FUN_021881,1,0,0,0,1
FUN_021880,0,0,0,0,0
FUN_021883,0,0,0,0,1
FUN_021882,0,0,0,0,0
FUN_027487,0,0,0,0,0
FUN_027486,125,654,23,137,49
FUN_027485,0,0,27,0,8
FUN_027484,0,0,0,0,0
FUN_027483,0,0,0,229,0
FUN_027482,0,0,0,0,0
FUN_027481,0,0,0,0,0
FUN_027480,0,0,0,0,0
FUN_027489,0,0,0,0,2
FUN_028731,3,5,26,11,20
FUN_031101,0,0,0,0,0
FUN_020689,0,0,0,0,0
FUN_036735,0,0,0,0,0
FUN_036734,0,0,0,0,0
FUN_031105,0,0,0,0,2
FUN_036732,0,0,0,0,0
FUN_031107,0,0,0,0,0
FUN_036730,0,0,0,0,0
FUN_020680,0,0,0,0,0
FUN_031108,0,0,0,0,5
FUN_020682,0,0,0,0,1
FUN_020683,0,0,1,0,0
FUN_020684,0,0,0,0,0
FUN_020685,0,0,0,0,0
FUN_020686,0,0,0,0,1
FUN_036738,0,0,22,7,9
FUN_037464,293,224,95,144,250
FUN_037465,281,248,208,298,140
FUN_037466,284,163,57,146,93
FUN_037467,673,204,110,792,533
FUN_037460,12,9,5,12,12
FUN_037461,4639,3996,2111,4002,3130
FUN_037462,445,161,152,649,280
FUN_037463,226,62,88,185,152
FUN_037468,201,128,111,204,110
FUN_037469,235,802,9,480,263
FUN_006107,1477,1310,924,1614,1161
FUN_006106,21,50,30,112,102
FUN_006105,296,296,137,248,190
FUN_006104,708,552,291,678,526
FUN_006103,5,24,6,0,17
FUN_006102,1,0,0,1,10
FUN_006101,0,0,0,0,9
FUN_006100,0,0,0,0,5
FUN_006109,0,0,0,0,0
FUN_006108,338,244,301,489,368
FUN_001554,1575,756,428,1697,1416
FUN_001557,170,3,36,6,38
FUN_011190,0,0,0,0,7
FUN_011191,0,0,0,0,0
FUN_011192,0,0,0,0,0
FUN_002687,0,0,0,0,0
FUN_002680,74,16,0,224,104
FUN_002681,55,0,16,229,93
FUN_005744,0,0,0,0,0
FUN_005745,0,0,0,0,0
FUN_005746,0,0,0,0,86
FUN_005747,0,0,0,0,0
FUN_005740,713,1781,809,273,113
FUN_011196,0,0,0,0,2
FUN_005742,256,735,332,206,101
FUN_005743,0,0,0,0,7
FUN_011197,0,0,0,0,0
FUN_005748,1981,1415,923,1748,1242
FUN_005749,1215,833,685,1167,894
FUN_001454,107,34,39,42,134
FUN_001455,949,617,703,1137,1245
FUN_001456,488,452,180,264,248
FUN_001457,240,109,118,27,14
FUN_001450,5,33,6,56,21
FUN_001451,681,311,231,649,608
FUN_001452,1858,1088,835,1428,1096
FUN_001453,69247,53932,23549,53680,23140
FUN_001458,414,356,304,467,224
FUN_001459,1371,964,794,947,642
FUN_031943,1453,906,1461,1147,797
FUN_031942,1786,651,782,1088,1121
FUN_033617,0,0,0,0,1
FUN_033616,0,259,3,0,98
FUN_033615,0,0,0,1,0
FUN_033614,0,0,0,0,0
FUN_033613,3061,1841,535,1650,1828
FUN_033612,0,0,0,0,0
FUN_033611,3571,1594,158,419,2817
FUN_033610,0,0,0,0,0
FUN_001213,5045,3835,2070,4622,3534
FUN_033619,52,0,0,0,0
FUN_033618,16,63,15,34,41
FUN_040878,1743,1262,827,1145,1167
FUN_001210,423,502,333,584,702
FUN_031331,11,0,0,6,4
FUN_031923,22,18,0,16,39
FUN_031922,343,118,62,313,107
FUN_031921,168,201,226,211,121
FUN_031920,111,57,38,66,87
FUN_031927,31,22,26,7,33
FUN_031926,194,144,155,139,470
FUN_031925,65,32,27,90,134
FUN_031924,4,5,6,30,4
FUN_031929,460,369,287,256,366
FUN_031928,0,23,19,6,27
FUN_028942,779,644,315,177,417
FUN_034344,0,0,0,0,2
FUN_018314,186,50,47,102,112
FUN_018317,132,14,30,79,43
FUN_034347,6,0,4,0,0
FUN_034340,720,525,510,557,531
FUN_034341,337,150,101,243,143
FUN_034342,0,0,2,0,5
FUN_034343,25,26,11,38,53
FUN_001810,0,0,0,0,0
FUN_034348,0,0,0,0,3
FUN_018318,274,25,86,144,145
FUN_001811,3658,4379,1658,3095,1241
FUN_004580,619,318,503,573,964
FUN_031948,0,1,0,20,15
FUN_004839,0,0,0,12,0
FUN_001818,0,0,0,0,0
FUN_001819,0,0,0,0,0
FUN_007867,174,82,72,160,23
FUN_007078,109,35,76,141,73
FUN_006384,6,0,43,0,64
FUN_043238,1118,708,374,842,400
FUN_043239,3425,2718,1344,2199,601
FUN_043236,16376,6798,6603,29371,17456
FUN_007075,410,291,100,180,122
FUN_043234,2429,2109,1210,1875,1882
FUN_007077,131,48,40,33,140
FUN_043232,497,277,255,424,482
FUN_043233,2470,875,1000,1648,1441
FUN_043230,11531,13113,5534,14253,8599
FUN_007073,196,66,90,316,295
FUN_019048,0,2,44,9,17
FUN_019049,0,0,0,0,0
FUN_019042,0,0,1,1,1
FUN_019043,168,63,0,0,27
FUN_019040,0,0,10,0,0
FUN_019041,1,1,1,0,2
FUN_019046,7,0,0,0,13
FUN_019047,0,0,0,0,0
FUN_019044,3,0,0,0,0
FUN_019045,0,0,0,0,0
FUN_013000,0,0,0,0,0
FUN_013001,0,0,0,0,0
FUN_013002,0,0,0,0,3
FUN_013003,0,0,0,0,0
FUN_013004,1,0,0,1,1
FUN_013005,1,1,0,1,1
FUN_013006,0,0,0,0,0
FUN_013007,1,1,0,2,0
FUN_013008,1,0,1,1,2
FUN_013009,2,1,0,1,1
FUN_034838,26,25,6,18,18
FUN_034839,397,324,181,441,232
FUN_026984,2227,1490,1294,2869,2679
FUN_034832,1692,698,981,1234,1505
FUN_034833,10374,7815,6678,13654,11880
FUN_034830,2414,4579,1643,2134,1887
FUN_034831,216,119,107,114,103
FUN_034836,4582,2115,1490,3536,3277
FUN_034837,1659,842,1500,1798,1454
FUN_034834,3086,2273,1775,3484,3187
FUN_034835,7708,6532,4472,7880,6014
FUN_043580,1971,876,1295,1772,2111
FUN_043581,392,263,183,287,259
FUN_043582,626,843,552,615,458
FUN_043583,1631,1157,447,1603,1276
FUN_043584,1396,567,203,916,966
FUN_043585,6762,6129,3566,7094,3153
FUN_043586,3038,1836,2238,3931,990
FUN_043587,588,439,327,633,360
FUN_043588,203,217,98,26,53
FUN_043589,0,0,0,0,8
FUN_044269,3,0,3,6,12
FUN_030339,6,1,10,1,25
FUN_030338,0,0,0,0,0
FUN_035129,6379,6316,2752,4194,1407
FUN_035128,160,103,7,115,109
FUN_030331,6,0,8,0,26
FUN_030330,0,0,0,0,1
FUN_030333,5,0,6,0,22
FUN_030332,0,0,0,0,0
FUN_030335,6,0,7,0,23
FUN_035122,667,362,503,728,449
FUN_035121,669,421,380,555,520
FUN_030336,0,0,0,0,0
FUN_000545,1300,1096,767,1181,607
FUN_036478,797,449,338,874,794
FUN_036479,50,51,37,98,119
FUN_000544,367,275,210,350,140
FUN_036474,81,211,133,40,198
FUN_036475,21,841,0,4,6
FUN_036476,0,0,0,0,0
FUN_036477,0,0,0,0,0
FUN_036470,29,14,0,0,0
FUN_041513,1279,794,591,1288,942
FUN_036472,189,109,111,159,63
FUN_036473,32,289,341,60,172
FUN_035545,0,0,0,0,0
FUN_041512,2039,1413,901,1618,1479
FUN_002169,0,0,0,0,11
FUN_002168,0,0,0,0,0
FUN_035544,1639,1234,1517,923,779
FUN_002165,17,5,6,13,3
FUN_041515,762,628,303,391,296
FUN_002167,9,12,11,0,87
FUN_002166,9,0,0,0,7
FUN_002161,0,0,0,0,0
FUN_030715,0,0,0,0,0
FUN_002163,0,0,1,0,3
FUN_002162,10,0,21,3,112
FUN_035546,0,0,0,0,0
FUN_000543,0,19,9,25,10
FUN_030713,0,0,0,0,0
FUN_000542,78,44,121,44,29
FUN_019039,0,0,0,0,0
FUN_030712,0,0,0,0,0
FUN_030711,0,0,0,0,0
FUN_042189,0,0,0,0,0
FUN_042188,0,0,0,0,0
FUN_042187,0,2,23,21,0
FUN_042186,0,0,0,0,0
FUN_042185,155,105,0,71,189
FUN_035542,43,9,1,17,0
FUN_042183,30,108,3,15,15
FUN_042182,0,0,0,0,0
FUN_042181,85,0,40,14,300
FUN_042180,30,0,10,11,117
FUN_011714,124,38,76,102,110
FUN_001507,265,177,218,174,123
FUN_031048,9,10,14,26,5
FUN_036017,49,41,0,63,34
FUN_040039,4171,2442,1195,2511,1748
FUN_004868,0,0,0,0,0
FUN_004869,642,130,88,490,393
FUN_004862,252,286,251,142,317
FUN_004863,1,1,0,1,0
FUN_004860,2411,1927,676,762,1100
FUN_004861,2242,1679,581,1235,1129
FUN_004866,5531,11099,6430,4485,3006
FUN_004867,299,384,249,87,34
FUN_004864,4569,3395,1303,2838,2517
FUN_004865,181,154,104,81,140
FUN_031047,14,2,15,7,8
FUN_015343,0,0,22,10,51
FUN_012838,0,0,0,0,0
FUN_012839,0,0,0,0,0
FUN_012836,1,1,1,1,2
FUN_012837,0,0,0,0,0
FUN_012834,0,0,0,0,0
FUN_012835,0,0,0,0,0
FUN_012832,0,0,0,0,0
FUN_012833,0,0,0,0,0
FUN_012830,0,3,25,195,123
FUN_012831,0,0,0,0,0
FUN_007319,0,0,0,0,0
FUN_007318,0,0,0,0,0
FUN_002833,0,0,0,0,0
FUN_002832,0,0,0,0,0
FUN_002831,7,0,0,2,36
FUN_002830,0,23,0,0,0
FUN_002837,0,0,0,0,0
FUN_002836,126,43,57,31,215
FUN_002835,0,0,0,0,0
FUN_002834,0,0,0,0,0
FUN_002839,2,0,0,0,0
FUN_002838,30,0,30,0,104
FUN_007317,0,0,0,0,0
FUN_039678,0,0,0,0,0
FUN_032209,1,0,0,0,18
FUN_032208,0,2,9,34,0
FUN_032207,28,13,19,69,0
FUN_032206,76,106,141,181,65
FUN_032205,1767,1979,739,1163,678
FUN_032204,1006,1133,552,631,651
FUN_032203,1072,1174,569,1324,986
FUN_032202,1356,1152,625,1054,1063
FUN_023380,513,206,113,477,362
FUN_032200,1360,999,733,1368,896
FUN_011338,0,0,0,0,0
FUN_011339,0,0,0,5,0
FUN_040037,47003,29995,34127,47022,11095
FUN_011330,0,0,0,0,0
FUN_011331,0,0,0,0,0
FUN_011332,0,0,0,0,6
FUN_011333,0,0,0,0,0
FUN_011334,0,0,0,0,0
FUN_011335,0,0,0,0,0
FUN_011336,0,0,0,0,0
FUN_011337,0,0,0,0,0
FUN_000093,0,0,0,0,1
FUN_000092,6,0,8,0,20
FUN_000091,0,0,0,0,1
FUN_000090,6,1,10,1,18
FUN_000097,0,0,0,0,1
FUN_000096,5,0,11,2,16
FUN_000095,0,0,0,0,1
FUN_000094,4,1,11,1,22
FUN_000099,0,0,0,0,0
FUN_000098,5,0,12,1,17
FUN_040036,909,858,609,729,364
FUN_008776,193,18,162,142,146
FUN_008777,0,0,0,44,0
FUN_008774,0,7,0,39,44
FUN_008775,37,0,11,0,0
FUN_008772,157,0,62,93,99
FUN_008773,23,6,12,2,70
FUN_008770,57,29,17,24,61
FUN_008771,2161,2278,1762,1893,1856
FUN_008778,213,134,183,343,211
FUN_008779,5,101,0,0,0
FUN_041511,22,16,32,53,31
FUN_014866,0,0,0,27,0
FUN_014865,2005,2200,1163,1914,1963
FUN_000546,0,0,0,0,0
FUN_000541,107,61,53,100,239
FUN_014862,85,78,130,311,78
FUN_041517,0,0,0,0,0
FUN_041516,2092,2036,1113,1645,1306
FUN_041519,3098,1656,2269,4430,3390
FUN_041518,718,589,356,704,638
FUN_000549,2,0,0,161,12
FUN_000548,46,43,9,22,34
FUN_014869,225,246,217,274,425
FUN_014868,937,386,338,594,685
FUN_033158,0,0,0,1,0
FUN_033159,2,7,18,2,0
FUN_033154,0,3,0,0,0
FUN_033155,0,0,0,0,0
FUN_033156,0,8,2,12,6
FUN_033157,651,344,172,315,538
FUN_033150,0,0,0,0,0
FUN_033151,1,0,0,0,1
FUN_033152,0,0,0,0,0
FUN_033153,0,0,2,2,0
FUN_016649,357,318,378,337,308
FUN_016648,1246,983,642,1111,968
FUN_004747,1044,510,298,751,678
FUN_019937,0,0,0,0,4
FUN_042969,1125,844,700,649,747
FUN_042968,2452,2646,1921,1329,1182
FUN_042961,1806,1165,867,1523,1222
FUN_016640,547,307,209,633,692
FUN_016643,127,129,95,220,238
FUN_016642,53,186,60,93,206
FUN_042965,1411,615,775,1479,1424
FUN_042964,97,71,37,86,52
FUN_016647,1131,626,497,995,1088
FUN_016646,2545,1043,1465,2772,1945
FUN_016641,5,6,4,2,0
FUN_042960,574,90,105,477,532
FUN_042963,17181,12524,7371,15084,12014
FUN_042962,4052,2469,1965,3841,3248
FUN_016645,1390,875,768,1171,1046
FUN_016644,4003,2879,2310,4080,2914
FUN_042967,0,0,0,0,0
FUN_042966,6,38,2,0,0
FUN_003018,0,0,0,0,0
FUN_003019,0,0,0,0,0
FUN_003012,0,0,0,0,0
FUN_003013,0,0,0,0,0
FUN_003010,0,0,0,0,0
FUN_003011,0,0,0,0,0
FUN_003016,0,0,0,0,0
FUN_003017,0,0,0,0,0
FUN_003014,0,0,0,0,0
FUN_003015,0,0,0,0,0
FUN_010526,44,0,0,0,25
FUN_010527,104,64,0,0,63
FUN_010524,0,0,0,0,47
FUN_010525,0,0,0,0,0
FUN_010522,0,0,0,0,0
FUN_010523,0,0,0,0,0
FUN_010520,22,28,24,43,29
FUN_010521,0,0,0,0,0
FUN_018327,55,0,25,27,20
FUN_010528,21,8,0,0,9
FUN_010529,0,0,0,0,0
FUN_012018,30,0,0,47,96
FUN_012019,3,0,0,0,0
FUN_017068,0,0,0,0,1
FUN_017069,0,0,1,0,0
FUN_012010,351,71,78,56,88
FUN_012011,45,0,39,78,52
FUN_012012,772,1407,691,1455,1136
FUN_012013,0,0,0,0,12
FUN_012014,46,17,49,20,21
FUN_017063,0,0,0,0,0
FUN_012016,32,29,27,135,228
FUN_012017,28,9,16,54,58
FUN_040758,0,0,0,0,0
FUN_010079,0,0,0,0,0
FUN_022800,30,17,86,131,215
FUN_011559,0,1,0,1,0
FUN_022801,3,0,28,0,54
FUN_022802,0,0,0,0,0
FUN_020910,0,0,0,0,0
FUN_010074,98,64,0,132,97
FUN_020912,0,0,0,0,24
FUN_022803,1711,1602,994,1195,1426
FUN_020914,2,0,1,40,6
FUN_020915,6,10,0,0,33
FUN_020916,0,0,0,0,0
FUN_040755,0,0,0,0,0
FUN_020918,0,0,0,0,0
FUN_009483,0,33,12,0,0
FUN_010076,0,0,13,17,23
FUN_022805,5050,1947,2381,3013,1931
FUN_010077,0,0,0,0,0
FUN_022806,360,243,111,276,124
FUN_040750,0,0,0,0,0
FUN_022807,38,16,30,0,75
FUN_040374,1,1,0,1,2
FUN_010071,0,0,0,0,10
FUN_040752,0,0,1,0,0
FUN_040753,0,0,0,0,0
FUN_040375,0,0,0,1,1
FUN_040372,0,0,0,1,1
FUN_013769,0,16,13,0,27
FUN_013768,1,3,2,4,31
FUN_023298,892,910,838,1360,1432
FUN_023299,390,469,128,138,337
FUN_023296,339,198,80,227,82
FUN_023297,548,289,131,246,267
FUN_023294,2545,3152,383,1070,1140
FUN_013762,0,0,0,0,0
FUN_023292,0,10,0,0,0
FUN_013764,0,0,0,0,0
FUN_013767,0,0,0,0,0
FUN_023291,0,0,10,8,3
FUN_008562,141,90,102,186,133
FUN_040373,1,1,1,0,1
FUN_014081,0,0,0,0,0
FUN_014080,0,0,0,0,0
FUN_014083,0,0,0,0,0
FUN_014082,0,0,0,0,0
FUN_014085,0,0,0,0,0
FUN_014084,0,0,0,0,0
FUN_014087,0,0,0,0,0
FUN_014086,0,0,0,0,0
FUN_014089,2387,1444,752,1259,2522
FUN_014088,0,0,0,0,0
FUN_009418,0,11,0,6,0
FUN_009419,0,0,0,0,0
FUN_040371,41,226,37,137,211
FUN_009410,0,0,5,0,41
FUN_009411,24,0,19,152,29
FUN_009412,0,0,0,0,0
FUN_009413,37,0,87,0,68
FUN_009414,54,0,39,90,111
FUN_009415,356,0,314,517,891
FUN_009416,0,0,3,0,0
FUN_009417,0,0,0,0,0
FUN_012044,1908,1538,1064,1266,1362
FUN_026408,1185,727,945,1120,577
FUN_026409,274,14,572,803,351
FUN_023438,1139,1333,490,1045,421
FUN_023439,676,895,438,1008,588
FUN_023432,103,70,23,74,104
FUN_026401,166,115,38,113,254
FUN_026402,224,163,15,71,118
FUN_026403,101,12,8,11,0
FUN_026404,150,0,5,7,24
FUN_026405,0,0,0,0,0
FUN_023434,504,432,227,593,286
FUN_023435,677,248,338,698,475
FUN_039929,5588,3500,3764,7849,6079
FUN_039928,1279,424,658,957,310
FUN_011551,0,0,0,0,0
FUN_039923,75556,53558,24689,41060,18055
FUN_039922,182,181,106,89,27
FUN_039921,1584,1775,892,2063,1071
FUN_039920,0,1,0,0,0
FUN_039927,158,120,667,405,53
FUN_039926,59,15,38,29,14
FUN_039925,128,101,127,191,231
FUN_039924,4023,4041,1677,3140,2232
FUN_015688,0,0,0,0,0
FUN_015689,0,0,0,0,0
FUN_022529,1004,1000,695,1276,449
FUN_022528,990,1765,511,383,91
FUN_015684,0,0,0,0,0
FUN_015685,12,21,0,126,24
FUN_015686,0,0,0,0,0
FUN_015687,0,0,0,0,0
FUN_022523,0,4,2,43,7
FUN_022522,6,17,2,7,9
FUN_022521,63,34,148,82,51
FUN_015683,0,0,0,0,0
FUN_017269,119,8,72,2,79
FUN_037542,0,0,13,0,49
FUN_015356,50,123,93,48,28
FUN_015357,0,0,50,0,198
FUN_018559,14,0,0,0,4
FUN_018558,14,0,0,0,3
FUN_004665,0,0,0,0,0
FUN_015353,25,0,0,5,0
FUN_015350,545,408,129,288,308
FUN_015351,0,0,3,0,6
FUN_018553,11796,4295,4831,11202,7877
FUN_018552,6235,3212,3343,7892,7256
FUN_018551,96,506,42,243,191
FUN_018550,153,131,52,45,44
FUN_018557,11,0,0,0,3
FUN_018556,0,0,0,0,0
