# Program:featureCounts v2.0.5; Command:"/home/shared/subread-2.0.5-Linux-x86_64/bin/featureCounts" "-T" "42" "-a" "../output/08-Ptuh-lncRNA-matrix/Peve-lncRNAs.gtf" "-o" "../output/08-Ptuh-lncRNA-matrix/Peve-lncRNA-counts.txt" "-t" "lncRNA" "-g" "gene_id" "-p" "../output/06-Ptuh-Hisat/RNA-POC-47.sorted.bam" "../output/06-Ptuh-Hisat/RNA-POC-48.sorted.bam" "../output/06-Ptuh-Hisat/RNA-POC-50.sorted.bam" "../output/06-Ptuh-Hisat/RNA-POC-53.sorted.bam" "../output/06-Ptuh-Hisat/RNA-POC-57.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../output/06-Ptuh-Hisat/RNA-POC-47.sorted.bam	../output/06-Ptuh-Hisat/RNA-POC-48.sorted.bam	../output/06-Ptuh-Hisat/RNA-POC-50.sorted.bam	../output/06-Ptuh-Hisat/RNA-POC-53.sorted.bam	../output/06-Ptuh-Hisat/RNA-POC-57.sorted.bam
lncRNA_2555	Pocillopora_meandrina_HIv1___Sc1111114	641628	659287	+	17660	0	0	0	0	0
lncRNA_2556	Pocillopora_meandrina_HIv1___Sc1111114	926958	927185	+	228	0	0	0	0	0
lncRNA_2557	Pocillopora_meandrina_HIv1___Sc1111114	936119	936436	+	318	0	0	0	0	0
lncRNA_2558	Pocillopora_meandrina_HIv1___Sc1111114	936779	937148	+	370	0	0	0	0	0
lncRNA_2559	Pocillopora_meandrina_HIv1___Sc1111114	951869	951984	+	116	0	0	0	0	0
lncRNA_2561	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	1148813;1196761	1149313;1197643	+;+	1384	0	0	0	0	0
lncRNA_2562	Pocillopora_meandrina_HIv1___Sc1111114	1845238	1846213	+	976	0	0	0	0	0
lncRNA_2563	Pocillopora_meandrina_HIv1___Sc1111114	1869671	1878996	+	9326	0	0	0	0	0
lncRNA_2564	Pocillopora_meandrina_HIv1___Sc1111114	1953364	1954969	+	1606	0	0	0	0	0
lncRNA_2565	Pocillopora_meandrina_HIv1___Sc1111114	2132599	2198677	+	66079	0	0	0	0	0
lncRNA_2566	Pocillopora_meandrina_HIv1___Sc1111114	2123959	2124388	+	430	0	0	0	0	0
lncRNA_2567	Pocillopora_meandrina_HIv1___Sc1111114	2461711	2462423	+	713	0	0	0	0	0
lncRNA_2568	Pocillopora_meandrina_HIv1___Sc1111114	2461778	2462423	+	646	0	0	0	0	0
lncRNA_2569	Pocillopora_meandrina_HIv1___Sc1111114	2839115	2848481	+	9367	0	0	0	0	0
lncRNA_2571	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	2861271;2881194	2878412;2881596	+;+	17545	0	0	0	0	0
lncRNA_2572	Pocillopora_meandrina_HIv1___Sc1111114	2986196	2987782	+	1587	0	0	0	0	0
lncRNA_2573	Pocillopora_meandrina_HIv1___Sc1111114	2988427	2991444	+	3018	0	0	0	0	0
lncRNA_2574	Pocillopora_meandrina_HIv1___Sc1111114	3149212	3153611	+	4400	0	0	0	0	0
lncRNA_2575	Pocillopora_meandrina_HIv1___Sc1111114	3149663	3153611	+	3949	0	0	0	0	0
lncRNA_2576	Pocillopora_meandrina_HIv1___Sc1111114	3123742	3124959	+	1218	0	0	0	0	0
lncRNA_2577	Pocillopora_meandrina_HIv1___Sc1111114	3158575	3161187	+	2613	0	0	0	0	0
lncRNA_2578	Pocillopora_meandrina_HIv1___Sc1111114	3277357	3298556	+	21200	0	0	0	0	0
lncRNA_2579	Pocillopora_meandrina_HIv1___Sc1111114	3273961	3274487	+	527	0	0	0	0	0
lncRNA_2581	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	3737859;3737859	3738764;3739236	+;+	1378	0	0	0	0	0
lncRNA_2582	Pocillopora_meandrina_HIv1___Sc1111114	4154436	4163431	+	8996	0	0	0	0	0
lncRNA_2583	Pocillopora_meandrina_HIv1___Sc1111114	4134113	4137717	+	3605	0	0	0	0	0
lncRNA_2584	Pocillopora_meandrina_HIv1___Sc1111114	4134161	4137717	+	3557	0	0	0	0	0
lncRNA_2585	Pocillopora_meandrina_HIv1___Sc1111114	4134848	4137717	+	2870	0	0	0	0	0
lncRNA_2586	Pocillopora_meandrina_HIv1___Sc1111114	4161118	4164399	+	3282	0	0	0	0	0
lncRNA_2587	Pocillopora_meandrina_HIv1___Sc1111114	4162532	4164399	+	1868	0	0	0	0	0
lncRNA_2588	Pocillopora_meandrina_HIv1___Sc1111114	4293952	4294489	+	538	0	0	0	0	0
lncRNA_2589	Pocillopora_meandrina_HIv1___Sc1111114	4322721	4351838	+	29118	0	0	0	0	0
lncRNA_2591	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	4352844;4396137	4354836;4432484	+;+	38341	0	0	0	0	0
lncRNA_2593	Pocillopora_meandrina_HIv1___Sc1111114	4524435	4578167	+	53733	0	0	0	0	0
lncRNA_2594	Pocillopora_meandrina_HIv1___Sc1111114	4524652	4526395	+	1744	0	0	0	0	0
lncRNA_2595	Pocillopora_meandrina_HIv1___Sc1111114	4524652	4563493	+	38842	0	0	0	0	0
lncRNA_2596	Pocillopora_meandrina_HIv1___Sc1111114	4524671	4561929	+	37259	0	0	0	0	0
lncRNA_2597	Pocillopora_meandrina_HIv1___Sc1111114	4524671	4581621	+	56951	0	0	0	0	0
lncRNA_2598	Pocillopora_meandrina_HIv1___Sc1111114	4524688	4548331	+	23644	0	0	0	0	0
lncRNA_2599	Pocillopora_meandrina_HIv1___Sc1111114	4524688	4563493	+	38806	0	0	0	0	0
lncRNA_2611	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	4524717;4524717;6627169;6693689	4582561;4581621;6628858;6696161	+;+;+;+	62008	0	0	0	0	0
lncRNA_2613	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	5633991;7119133	5635188;7119615	+;+	1681	0	0	0	0	0
lncRNA_2614	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	5633991;7288678	5635188;7291664	+;+	4185	0	0	0	0	0
lncRNA_2615	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	6195784;7452553	6196814;7453558	+;+	2037	0	0	0	0	0
lncRNA_2616	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	6112678;7452816	6113145;7453558	+;+	1211	0	0	0	0	0
lncRNA_2617	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	6347369;7573158	6354153;7573545	+;+	7173	0	0	0	0	0
lncRNA_2618	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	6354626;7946351	6355274;7952853	+;+	7152	0	0	0	0	0
lncRNA_2619	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	6517946;7957319	6519975;7959534	+;+	4246	0	0	0	0	0
lncRNA_2612	Pocillopora_meandrina_HIv1___Sc1111114	6844642	6852117	+	7476	0	0	0	0	0
lncRNA_2621	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	7962114;7962159	7966992;7966295	+;+	4879	0	0	0	0	0
lncRNA_2622	Pocillopora_meandrina_HIv1___Sc1111114	8258993	8261299	+	2307	0	0	0	0	0
lncRNA_2623	Pocillopora_meandrina_HIv1___Sc1111114	8348931	8414612	+	65682	0	0	0	0	0
lncRNA_2624	Pocillopora_meandrina_HIv1___Sc1111114	8389169	8414612	+	25444	0	0	0	0	0
lncRNA_2625	Pocillopora_meandrina_HIv1___Sc1111114	8399751	8414612	+	14862	0	0	0	0	0
lncRNA_2626	Pocillopora_meandrina_HIv1___Sc1111114	8372656	8436662	+	64007	0	0	0	0	0
lncRNA_2627	Pocillopora_meandrina_HIv1___Sc1111114	8433846	8436662	+	2817	0	0	0	0	0
lncRNA_2628	Pocillopora_meandrina_HIv1___Sc1111114	8927385	8928158	+	774	0	0	0	0	0
lncRNA_2629	Pocillopora_meandrina_HIv1___Sc1111114	9172131	9189461	+	17331	0	0	0	0	0
lncRNA_2631	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	9172461;9173186	9188663;9188937	+;+	16477	0	0	0	0	0
lncRNA_2632	Pocillopora_meandrina_HIv1___Sc1111114	9173257	9189219	+	15963	0	0	0	0	0
lncRNA_2633	Pocillopora_meandrina_HIv1___Sc1111114	9189618	9191138	+	1521	0	0	0	0	0
lncRNA_2634	Pocillopora_meandrina_HIv1___Sc1111114	9111125	9114228	+	3104	0	0	0	0	0
lncRNA_2635	Pocillopora_meandrina_HIv1___Sc1111114	9115498	9117191	+	1694	0	0	0	0	0
lncRNA_2636	Pocillopora_meandrina_HIv1___Sc1111114	9161317	9162114	+	798	0	0	0	0	0
lncRNA_2637	Pocillopora_meandrina_HIv1___Sc1111114	9241221	9241516	+	296	0	0	0	0	0
lncRNA_2638	Pocillopora_meandrina_HIv1___Sc1111114	9541669	9547581	+	5913	0	0	0	0	0
lncRNA_2639	Pocillopora_meandrina_HIv1___Sc1111114	9541366	9547581	+	6216	0	0	0	0	0
lncRNA_2641	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	9543328;9718812	9547581;9721824	+;+	7267	0	0	0	0	0
lncRNA_2642	Pocillopora_meandrina_HIv1___Sc1111114	9976133	11111113	+	1134981	0	0	0	0	0
lncRNA_2643	Pocillopora_meandrina_HIv1___Sc1111114	11141143	11146425	+	5283	0	0	0	0	0
lncRNA_2644	Pocillopora_meandrina_HIv1___Sc1111114	11795225	11796599	+	1375	0	0	0	0	0
lncRNA_2645	Pocillopora_meandrina_HIv1___Sc1111114	11891923	11892544	+	622	0	0	0	0	0
lncRNA_2646	Pocillopora_meandrina_HIv1___Sc1111114	11133622	11135981	+	2360	0	0	0	0	0
lncRNA_2647	Pocillopora_meandrina_HIv1___Sc1111114	11286163	11318532	+	32370	0	0	0	0	0
lncRNA_2648	Pocillopora_meandrina_HIv1___Sc1111114	11314853	11318532	+	3680	0	0	0	0	0
lncRNA_2649	Pocillopora_meandrina_HIv1___Sc1111114	11292191	11292737	+	547	0	0	0	0	0
lncRNA_2651	Pocillopora_meandrina_HIv1___Sc1111114	11323199	11323625	+	427	0	0	0	0	0
lncRNA_2652	Pocillopora_meandrina_HIv1___Sc1111114	11413653	11418121	+	4469	0	0	0	0	0
lncRNA_2653	Pocillopora_meandrina_HIv1___Sc1111114	11418178	11419111	+	934	0	0	0	0	0
lncRNA_2654	Pocillopora_meandrina_HIv1___Sc1111114	11736315	11736848	+	534	0	0	0	0	0
lncRNA_2655	Pocillopora_meandrina_HIv1___Sc1111114	11771864	11795661	+	23798	0	0	0	0	0
lncRNA_2656	Pocillopora_meandrina_HIv1___Sc1111114	11983265	11983532	+	268	0	0	0	0	0
lncRNA_2657	Pocillopora_meandrina_HIv1___Sc1111114	12193691	12197241	+	3551	0	0	0	0	0
lncRNA_2658	Pocillopora_meandrina_HIv1___Sc1111114	12194789	12228655	+	33867	0	0	0	0	0
lncRNA_2659	Pocillopora_meandrina_HIv1___Sc1111114	12196196	12212634	+	16439	0	0	0	0	0
lncRNA_2661	Pocillopora_meandrina_HIv1___Sc1111114	12247832	12253485	+	5654	0	0	0	0	0
lncRNA_2662	Pocillopora_meandrina_HIv1___Sc1111114	12265969	12268415	+	2447	0	0	0	0	0
lncRNA_2663	Pocillopora_meandrina_HIv1___Sc1111114	12366311	12368392	+	2082	0	0	0	0	0
lncRNA_2664	Pocillopora_meandrina_HIv1___Sc1111114	12455582	12456142	+	561	0	0	0	0	0
lncRNA_2665	Pocillopora_meandrina_HIv1___Sc1111114	12491781	12524171	+	32391	0	0	0	0	0
lncRNA_2666	Pocillopora_meandrina_HIv1___Sc1111114	12496636	12497119	+	484	0	0	0	0	0
lncRNA_2667	Pocillopora_meandrina_HIv1___Sc1111114	12571566	12571954	+	389	0	0	0	0	0
lncRNA_2668	Pocillopora_meandrina_HIv1___Sc1111114	12612723	12613111	+	389	0	0	0	0	0
lncRNA_2669	Pocillopora_meandrina_HIv1___Sc1111114	12629948	12633118	+	3171	0	0	0	0	0
lncRNA_2671	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	12687364;12925115	12692297;12925332	+;+	5152	0	0	0	0	0
lncRNA_2672	Pocillopora_meandrina_HIv1___Sc1111114	13123162	13147628	+	24467	0	0	0	0	0
lncRNA_2673	Pocillopora_meandrina_HIv1___Sc1111114	13146198	13146775	+	578	0	0	0	0	0
lncRNA_2674	Pocillopora_meandrina_HIv1___Sc1111114	13169915	13171247	+	1333	0	0	0	0	0
lncRNA_2675	Pocillopora_meandrina_HIv1___Sc1111114	13171379	13174127	+	2749	0	0	0	0	0
lncRNA_2676	Pocillopora_meandrina_HIv1___Sc1111114	13458456	13464911	+	6456	0	0	0	0	0
lncRNA_2677	Pocillopora_meandrina_HIv1___Sc1111114	13471812	13475471	+	3660	0	0	0	0	0
lncRNA_2678	Pocillopora_meandrina_HIv1___Sc1111114	14176541	14177478	+	938	0	0	0	0	0
lncRNA_2679	Pocillopora_meandrina_HIv1___Sc1111114	14388926	14391589	+	2664	0	0	0	0	0
lncRNA_2681	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	15243;17145	16496;21614	+;+	5724	0	0	0	0	0
lncRNA_2682	Pocillopora_meandrina_HIv1___Sc1111114	57595	58979	+	1385	0	0	0	0	0
lncRNA_2683	Pocillopora_meandrina_HIv1___Sc1111114	169812	171135	+	1324	0	0	0	0	0
lncRNA_2685	Pocillopora_meandrina_HIv1___Sc1111114	171496	171828	+	333	0	0	0	0	0
lncRNA_2686	Pocillopora_meandrina_HIv1___Sc1111114	221538	221761	+	224	0	0	0	0	0
lncRNA_2687	Pocillopora_meandrina_HIv1___Sc1111114	223362	223571	+	210	0	0	0	0	0
lncRNA_2688	Pocillopora_meandrina_HIv1___Sc1111114	315327	315536	+	210	0	0	0	0	0
lncRNA_2689	Pocillopora_meandrina_HIv1___Sc1111114	444813	445141	+	329	0	0	0	0	0
lncRNA_2691	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	447681;675411	448181;675625	+;+	716	0	0	0	0	0
lncRNA_2692	Pocillopora_meandrina_HIv1___Sc1111114	675942	676531	+	590	0	0	0	0	0
lncRNA_2693	Pocillopora_meandrina_HIv1___Sc1111114	679134	679559	+	426	0	0	0	0	0
lncRNA_2694	Pocillopora_meandrina_HIv1___Sc1111114	691612	692186	+	575	0	0	0	0	0
lncRNA_2695	Pocillopora_meandrina_HIv1___Sc1111114	832376	833842	+	1467	0	0	0	0	0
lncRNA_2696	Pocillopora_meandrina_HIv1___Sc1111114	843573	843956	+	384	0	0	0	0	0
lncRNA_2697	Pocillopora_meandrina_HIv1___Sc1111114	866231	867119	+	889	0	0	0	0	0
lncRNA_2698	Pocillopora_meandrina_HIv1___Sc1111114	1295496	1295829	+	334	0	0	0	0	0
lncRNA_2699	Pocillopora_meandrina_HIv1___Sc1111114	1373231	1373561	+	331	0	0	0	0	0
lncRNA_2711	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	1412168;1598871;2936317;2964996	1412719;1599114;2936677;2965241	+;+;+;+	1403	0	0	0	0	0
lncRNA_2712	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	1637168;2969234	1637432;2971342	+;+	2374	0	0	0	0	0
lncRNA_2713	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	2142168;3122137	2142644;3122511	+;+	852	0	0	0	0	0
lncRNA_2714	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	2456815;3123691	2457166;3124348	+;+	1010	0	0	0	0	0
lncRNA_2715	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	2577112;3136416	2577252;3137115	+;+	841	0	0	0	0	0
lncRNA_2716	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	2612572;3138524	2613155;3138816	+;+	877	0	0	0	0	0
lncRNA_2717	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	2636249;3141746	2637356;3141954	+;+	1317	0	0	0	0	0
lncRNA_2718	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	2838142;3154995	2838383;3155935	+;+	1183	0	0	0	0	0
lncRNA_2719	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	2851631;3163485	2852318;3163755	+;+	959	0	0	0	0	0
lncRNA_2721	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	3171578;3174568	3172113;3178331	+;+	4300	0	0	0	0	0
lncRNA_2722	Pocillopora_meandrina_HIv1___Sc1111114	3186115	3187266	+	1152	0	0	0	0	0
lncRNA_2723	Pocillopora_meandrina_HIv1___Sc1111114	3121672	3121944	+	273	0	0	0	0	0
lncRNA_2724	Pocillopora_meandrina_HIv1___Sc1111114	3125899	3126177	+	279	0	0	0	0	0
lncRNA_2725	Pocillopora_meandrina_HIv1___Sc1111114	3169176	3169661	+	486	0	0	0	0	0
lncRNA_2726	Pocillopora_meandrina_HIv1___Sc1111114	3195119	3195742	+	624	0	0	0	0	0
lncRNA_2727	Pocillopora_meandrina_HIv1___Sc1111114	3197181	3197731	+	551	0	0	0	0	0
lncRNA_2728	Pocillopora_meandrina_HIv1___Sc1111114	3572414	3572819	+	406	0	0	0	0	0
lncRNA_2729	Pocillopora_meandrina_HIv1___Sc1111114	3634861	3635175	+	315	0	0	0	0	0
lncRNA_2731	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	3881579;4122886	3881914;4123251	+;+	702	0	0	0	0	0
lncRNA_2732	Pocillopora_meandrina_HIv1___Sc1111114	4138488	4139181	+	694	0	0	0	0	0
lncRNA_2733	Pocillopora_meandrina_HIv1___Sc1111114	4166518	4168156	+	1639	0	0	0	0	0
lncRNA_2734	Pocillopora_meandrina_HIv1___Sc1111114	4168527	4169465	+	939	0	0	0	0	0
lncRNA_2735	Pocillopora_meandrina_HIv1___Sc1111114	4177451	4177818	+	368	0	0	0	0	0
lncRNA_2736	Pocillopora_meandrina_HIv1___Sc1111114	4212131	4212445	+	315	0	0	0	0	0
lncRNA_2737	Pocillopora_meandrina_HIv1___Sc1111114	4295868	4296187	+	320	0	0	0	0	0
lncRNA_2738	Pocillopora_meandrina_HIv1___Sc1111114	4397252	4397613	+	362	0	0	0	0	0
lncRNA_2739	Pocillopora_meandrina_HIv1___Sc1111114	4413559	4413829	+	271	0	0	0	0	0
lncRNA_2741	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	4442618;4584681	4443124;4584986	+;+	813	0	0	0	0	0
lncRNA_2742	Pocillopora_meandrina_HIv1___Sc1111114	4588214	4588544	+	331	0	0	0	0	0
lncRNA_2743	Pocillopora_meandrina_HIv1___Sc1111114	4589511	4591113	+	1603	0	0	0	0	0
lncRNA_2744	Pocillopora_meandrina_HIv1___Sc1111114	4756188	4756719	+	532	0	0	0	0	0
lncRNA_2745	Pocillopora_meandrina_HIv1___Sc1111114	4756961	4757311	+	351	0	0	0	0	0
lncRNA_2746	Pocillopora_meandrina_HIv1___Sc1111114	4796644	4797158	+	515	0	0	0	0	0
lncRNA_2747	Pocillopora_meandrina_HIv1___Sc1111114	4799143	4799768	+	626	0	0	0	0	0
lncRNA_2748	Pocillopora_meandrina_HIv1___Sc1111114	4811554	4811928	+	375	0	0	0	0	0
lncRNA_2749	Pocillopora_meandrina_HIv1___Sc1111114	4815613	4816186	+	574	0	0	0	0	0
lncRNA_2751	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	4816997;4887331	4817276;4887533	+;+	483	0	0	0	0	0
lncRNA_2752	Pocillopora_meandrina_HIv1___Sc1111114	4888251	4889581	+	1331	0	0	0	0	0
lncRNA_2753	Pocillopora_meandrina_HIv1___Sc1111114	4919839	4921117	+	1279	0	0	0	0	0
lncRNA_2754	Pocillopora_meandrina_HIv1___Sc1111114	4952898	4953229	+	332	0	0	0	0	0
lncRNA_2755	Pocillopora_meandrina_HIv1___Sc1111114	5139466	5139759	+	294	0	0	0	0	0
lncRNA_2756	Pocillopora_meandrina_HIv1___Sc1111114	5148819	5149157	+	339	0	0	0	0	0
lncRNA_2757	Pocillopora_meandrina_HIv1___Sc1111114	5154774	5155111	+	338	0	0	0	0	0
lncRNA_2758	Pocillopora_meandrina_HIv1___Sc1111114	5155442	5155813	+	372	0	0	0	0	0
lncRNA_2759	Pocillopora_meandrina_HIv1___Sc1111114	5123172	5123833	+	662	0	0	0	0	0
lncRNA_2761	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	5223966;5225281	5224765;5226354	+;+	1874	0	0	0	0	0
lncRNA_2762	Pocillopora_meandrina_HIv1___Sc1111114	5293758	5295195	+	1438	0	0	0	0	0
lncRNA_2763	Pocillopora_meandrina_HIv1___Sc1111114	5323277	5323525	+	249	0	0	0	0	0
lncRNA_2764	Pocillopora_meandrina_HIv1___Sc1111114	5355716	5356189	+	474	0	0	0	0	0
lncRNA_2765	Pocillopora_meandrina_HIv1___Sc1111114	5415931	5416461	+	531	0	0	0	0	0
lncRNA_2766	Pocillopora_meandrina_HIv1___Sc1111114	5525752	5526423	+	672	0	0	0	0	0
lncRNA_2767	Pocillopora_meandrina_HIv1___Sc1111114	5546937	5547336	+	400	0	0	0	0	0
lncRNA_2768	Pocillopora_meandrina_HIv1___Sc1111114	5679151	5679493	+	343	0	0	0	0	0
lncRNA_2769	Pocillopora_meandrina_HIv1___Sc1111114	5696211	5696535	+	325	0	0	0	0	0
lncRNA_2771	Pocillopora_meandrina_HIv1___Sc1111114	5768171	5768273	+	103	0	0	0	0	0
lncRNA_2772	Pocillopora_meandrina_HIv1___Sc1111114	5812749	5813182	+	434	0	0	0	0	0
lncRNA_2773	Pocillopora_meandrina_HIv1___Sc1111114	5823592	5824216	+	625	0	0	0	0	0
lncRNA_2774	Pocillopora_meandrina_HIv1___Sc1111114	5824611	5825317	+	707	0	0	0	0	0
lncRNA_2775	Pocillopora_meandrina_HIv1___Sc1111114	5894734	5895188	+	455	0	0	0	0	0
lncRNA_2776	Pocillopora_meandrina_HIv1___Sc1111114	5965515	5965835	+	321	0	0	0	0	0
lncRNA_2777	Pocillopora_meandrina_HIv1___Sc1111114	6119717	6119996	+	280	0	0	0	0	0
lncRNA_2781	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	6356591;6413161	6357181;6413326	+;+	757	0	0	0	0	0
lncRNA_2782	Pocillopora_meandrina_HIv1___Sc1111114	6585161	6586419	+	1259	0	0	0	0	0
lncRNA_2783	Pocillopora_meandrina_HIv1___Sc1111114	6596311	6596551	+	241	0	0	0	0	0
lncRNA_2784	Pocillopora_meandrina_HIv1___Sc1111114	6622187	6622342	+	156	0	0	0	0	0
lncRNA_2785	Pocillopora_meandrina_HIv1___Sc1111114	6634747	6635612	+	866	0	0	0	0	0
lncRNA_2786	Pocillopora_meandrina_HIv1___Sc1111114	6641321	6641679	+	359	0	0	0	0	0
lncRNA_2787	Pocillopora_meandrina_HIv1___Sc1111114	6688554	6689721	+	1168	0	0	0	0	0
lncRNA_2788	Pocillopora_meandrina_HIv1___Sc1111114	6766127	6766465	+	339	0	0	0	0	0
lncRNA_2789	Pocillopora_meandrina_HIv1___Sc1111114	6783798	6784119	+	322	0	0	0	0	0
lncRNA_2791	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	6792771;6813317	6793345;6813691	+;+	950	0	0	0	0	0
lncRNA_2792	Pocillopora_meandrina_HIv1___Sc1111114	6817531	6818954	+	1424	0	0	0	0	0
lncRNA_2793	Pocillopora_meandrina_HIv1___Sc1111114	6896913	6897516	+	604	0	0	0	0	0
lncRNA_2794	Pocillopora_meandrina_HIv1___Sc1111114	6929689	6929914	+	226	0	0	0	0	0
lncRNA_2795	Pocillopora_meandrina_HIv1___Sc1111114	6931128	6931821	+	694	0	0	0	0	0
lncRNA_2796	Pocillopora_meandrina_HIv1___Sc1111114	6949474	6949721	+	248	0	0	0	0	0
lncRNA_2797	Pocillopora_meandrina_HIv1___Sc1111114	6961148	6961628	+	481	0	0	0	0	0
lncRNA_2798	Pocillopora_meandrina_HIv1___Sc1111114	6969568	6969861	+	294	0	0	0	0	0
lncRNA_2799	Pocillopora_meandrina_HIv1___Sc1111114	7149463	7149711	+	249	0	0	0	0	0
lncRNA_2811	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	7323967;7326418;7459464;7464494	7324281;7326716;7459723;7464811	+;+;+;+	1192	0	0	0	0	0
lncRNA_2812	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	7354461;7481521	7355623;7482715	+;+	2358	0	0	0	0	0
lncRNA_2813	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	7386519;7483168	7386816;7483361	+;+	492	0	0	0	0	0
lncRNA_2815	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	7419948;7547912	7421179;7548272	+;+	1593	0	0	0	0	0
lncRNA_2816	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	7421487;7571883	7421716;7572173	+;+	521	0	0	0	0	0
lncRNA_2817	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	7421312;7658549	7422411;7658811	+;+	1363	0	0	0	0	0
lncRNA_2818	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	7444936;7685139	7445312;7685618	+;+	857	0	0	0	0	0
lncRNA_2819	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	7458741;7766125	7459192;7766495	+;+	823	0	0	0	0	0
lncRNA_2814	Pocillopora_meandrina_HIv1___Sc1111114	7529394	7529751	+	358	0	0	0	0	0
lncRNA_2821	Pocillopora_meandrina_HIv1___Sc1111114;Pocillopora_meandrina_HIv1___Sc1111114	7821755;7953628	7822111;7954118	+;+	848	0	0	0	0	0
lncRNA_2822	Pocillopora_meandrina_HIv1___Sc1111114	7968678	7969567	+	890	0	0	0	0	0
lncRNA_2823	Pocillopora_meandrina_HIv1___Sc1111114	7992162	7992515	+	354	0	0	0	0	0
lncRNA_2824	Pocillopora_meandrina_HIv1___Sc1111114	8181155	8181721	+	567	0	0	0	0	0
lncRNA_2825	Pocillopora_meandrina_HIv1___Sc1111114	8253246	8253467	+	222	0	0	0	0	0
