gene_id,RNA-POC-47,RNA-POC-48,RNA-POC-50,RNA-POC-53,RNA-POC-57
STRG.13516,615,237,658,531,254
STRG.13517,264,1132,624,556,312
STRG.13514,154,72,127,90,43
STRG.14088,10,58,27,4,58
STRG.14085,717,334,870,528,180
STRG.14084,97,253,375,238,97
Pocillopora_meandrina_HIv1___TS.g9825.t1,0,11,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g2588.t1,0,57,34,35,26
Pocillopora_meandrina_HIv1___TS.g28413.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g7184.t1,0,0,2,0,0
Pocillopora_meandrina_HIv1___RNAseq.g7605.t1,0,0,0,0,0
STRG.19442,39,0,0,8,13
Pocillopora_meandrina_HIv1___TS.g1616.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g16329.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g11594.t1,0,8,16,0,13
Pocillopora_meandrina_HIv1___RNAseq.g26842.t1,0,0,0,0,0
STRG.1036,325,314,666,412,346
Pocillopora_meandrina_HIv1___TS.g26467.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g4132.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g26762.t1,0,17,0,0,0
Pocillopora_meandrina_HIv1___TS.g1614.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g19118.t1,0,0,7,0,0
Pocillopora_meandrina_HIv1___TS.g1253.t1,0,0,14,8,0
Pocillopora_meandrina_HIv1___RNAseq.g28875.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g19265.t1,0,89,0,21,0
STRG.19219,4,3,66,19,8
Pocillopora_meandrina_HIv1___RNAseq.g20261.t1,0,19,34,35,6
Pocillopora_meandrina_HIv1___RNAseq.g14467.t1,0,0,0,0,31
Pocillopora_meandrina_HIv1___RNAseq.g479.t1,0,0,7,0,0
Pocillopora_meandrina_HIv1___TS.g4477.t1,0,5,16,33,0
Pocillopora_meandrina_HIv1___TS.g24903.t1,0,4,1,0,0
Pocillopora_meandrina_HIv1___RNAseq.g20200.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g26760.t1,0,5,0,0,0
Pocillopora_meandrina_HIv1___TS.g18030.t1,0,0,0,7,7
STRG.2467,226,1873,894,398,298
Pocillopora_meandrina_HIv1___RNAseq.g17617.t1,0,0,22,42,41
STRG.2466,1837,5072,7103,1444,2321
STRG.19216,1713,1361,1920,2921,408
STRG.2465,24,0,64,23,0
Pocillopora_meandrina_HIv1___RNAseq.g5403.t1,0,0,0,13,18
STRG.2464,439,54,788,13,193
STRG.2463,535,15,28,110,59
Pocillopora_meandrina_HIv1___TS.g13636.t1,0,2,14,0,0
STRG.16829,36,275,357,176,38
STRG.16828,2943,1253,3287,2414,753
STRG.19215,535,405,444,578,62
STRG.9689,2,0,0,2,0
STRG.16825,248,144,311,123,141
STRG.16824,19100,38465,19353,40855,14750
STRG.9684,128,51,212,116,17
STRG.16826,150,393,43,163,178
STRG.16821,88,0,39,0,34
STRG.16820,33,54,108,53,62
STRG.9680,1083,1222,1769,1854,437
STRG.9681,369,345,413,465,702
Pocillopora_meandrina_HIv1___RNAseq.g21919.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g4430.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g29068.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g24370.t1,0,303,43,462,66
Pocillopora_meandrina_HIv1___RNAseq.g24196.t1,0,9,0,0,0
STRG.17588,67,186,75,117,45
Pocillopora_meandrina_HIv1___RNAseq.g932.t1,0,11,60,0,0
Pocillopora_meandrina_HIv1___TS.g3166.t1,0,0,15,28,0
STRG.5569,2951,3766,2925,6403,4394
STRG.5568,2577,2923,2788,3461,1092
STRG.5563,136,32,130,164,94
STRG.5562,9,0,0,0,0
STRG.5561,1,0,0,0,0
STRG.5560,7,1,2,4,6
STRG.9026,9,87,68,60,70
STRG.5566,285,100,296,76,189
STRG.9024,811,1669,1771,1182,3824
STRG.5564,313,741,546,1125,434
STRG.15828,52,113,191,123,134
Pocillopora_meandrina_HIv1___RNAseq.g8679.t1,0,0,20,0,0
STRG.19195,325,521,645,692,539
Pocillopora_meandrina_HIv1___RNAseq.g24194.t1,0,0,0,0,0
STRG.19197,60,161,81,155,211
Pocillopora_meandrina_HIv1___RNAseq.g17048.t1,0,0,0,0,0
STRG.6809,1089,990,2076,1584,2322
Pocillopora_meandrina_HIv1___RNAseq.g12481.t1,0,0,4,9,10
Pocillopora_meandrina_HIv1___TS.g21867.t1,0,0,111,84,0
Pocillopora_meandrina_HIv1___RNAseq.g16691.t1,0,0,0,0,0
STRG.15820,575,931,579,662,934
Pocillopora_meandrina_HIv1___RNAseq.g1528.t1,0,0,13,0,0
Pocillopora_meandrina_HIv1___RNAseq.g16056.t1,0,0,0,0,0
STRG.6804,28,0,26,0,0
STRG.17629,699,10316,7154,48609,7189
STRG.6807,1110,1222,877,1071,312
STRG.15823,20,0,20,0,0
STRG.6801,3346,3577,2706,2187,2518
Pocillopora_meandrina_HIv1___RNAseq.g5973.t1,0,0,2,0,0
STRG.19199,131,50,55,70,49
STRG.6803,4460,3415,5536,3721,5147
Pocillopora_meandrina_HIv1___RNAseq.g3633.t1,0,0,0,0,0
STRG.15827,448,544,991,780,179
STRG.14535,314,56,810,20,331
STRG.14534,2536,1065,2787,1542,1619
STRG.14537,229,390,384,393,482
STRG.14536,3015,8689,6234,4831,3493
STRG.14531,4726,2561,5258,3223,1343
STRG.14530,3700,861,2985,1975,1111
STRG.14533,12,183,66,56,80
STRG.14532,34,8,42,0,7
STRG.14539,924,1131,769,944,460
STRG.14538,2566,2278,2565,2442,2169
Pocillopora_meandrina_HIv1___TS.g29153.t1,0,113,39,67,0
Pocillopora_meandrina_HIv1___RNAseq.g3626.t1,0,39,0,12,0
Pocillopora_meandrina_HIv1___RNAseq.g24478.t1,0,0,0,0,0
STRG.4218,51,76,37,27,36
STRG.4219,37,58,24,42,19
Pocillopora_meandrina_HIv1___TS.g24485.t1,0,0,2,0,0
STRG.4212,22,61,101,64,38
STRG.4213,21,130,60,131,24
STRG.4210,1682,2278,2788,1645,337
STRG.4211,955,716,1020,929,388
STRG.4216,155,193,65,232,19
Pocillopora_meandrina_HIv1___RNAseq.g5950.t1,0,4,17,11,0
STRG.4214,763,637,896,490,354
STRG.4215,1721,690,1972,1411,347
STRG.17097,1518,1308,800,1591,92
STRG.10744,266,377,207,240,104
Pocillopora_meandrina_HIv1___TS.g7490.t1,0,1,6,0,0
Pocillopora_meandrina_HIv1___RNAseq.g16645.t1,0,0,0,0,0
STRG.7547,64,112,17,72,13
STRG.7546,2691,2149,3468,3975,1911
STRG.7545,2213,678,2408,1735,606
STRG.7544,986,248,612,492,291
Pocillopora_meandrina_HIv1___RNAseq.g5971.t1,0,0,0,0,0
STRG.7542,4,51,17,14,41
STRG.7541,242,387,361,224,134
STRG.7540,458,486,517,359,212
STRG.7549,1170,772,1907,1352,1146
STRG.7548,892,1224,1492,1286,482
STRG.3657,93,132,49,68,39
STRG.3656,15,0,0,0,29
STRG.3655,62,36,32,56,36
STRG.3654,39,12,26,79,39
STRG.3653,137,755,305,102,130
STRG.3652,745,374,209,443,191
STRG.3651,335,138,164,186,89
STRG.3650,4,67,0,63,0
STRG.3659,17,60,0,0,21
STRG.3658,9,14,5,24,8
STRG.15668,6,6,0,25,284
STRG.15669,4531,916,12251,1417,1932
STRG.7899,203,61,97,57,64
STRG.7898,4854,5082,5475,8018,4429
STRG.15662,1664,719,1410,1683,577
STRG.7894,371,526,402,561,56
STRG.15660,36,148,50,123,70
STRG.15661,42,24,0,41,0
STRG.8847,7545,2987,4712,7709,5420
STRG.7890,1665,1639,1787,2245,613
STRG.7893,1003,1623,1043,1696,456
STRG.15665,647,1028,255,590,261
STRG.16009,20,12,13,61,9
STRG.16008,3,1,0,0,12
STRG.16007,4,3,4,21,0
STRG.16006,6,0,16,0,0
STRG.16005,23,0,0,0,28
STRG.16004,2,70,0,14,12
STRG.16003,3,6,0,0,0
STRG.16002,178,384,514,213,45
STRG.16001,142,386,1121,275,132
STRG.16000,181,2879,1219,1407,494
Pocillopora_meandrina_HIv1___RNAseq.g3086.t2,0,0,48,29,0
Pocillopora_meandrina_HIv1___TS.g8006.t1,0,0,0,0,92
Pocillopora_meandrina_HIv1___RNAseq.g28631.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g5436.t1,0,33,0,0,0
STRG.17623,1108110,864620,909068,1039259,366529
Pocillopora_meandrina_HIv1___RNAseq.g28857.t1,0,0,0,0,0
STRG.17758,528,433,471,616,228
STRG.2219,19,21,33,0,0
STRG.2214,123,12,0,122,46
STRG.2215,13,8,0,20,39
STRG.2216,1506,4529,3379,4069,1472
STRG.2217,999,1051,1741,1322,415
STRG.2210,732,873,1040,747,265
STRG.2211,18,25,35,71,38
STRG.2212,80,92,182,186,55
STRG.17753,103,496,524,568,132
STRG.1493,844,1628,1932,1320,620
STRG.1492,1086,298,938,570,377
STRG.1491,2916,1420,4406,2262,956
STRG.1490,11782,4133,14852,9437,7585
STRG.1497,141,50,163,124,100
STRG.1496,2480,1800,4930,2671,1666
STRG.1495,37,148,189,84,33
STRG.1494,563,118,326,292,220
Pocillopora_meandrina_HIv1___RNAseq.g24818.t1,0,0,0,0,0
STRG.1498,511,382,686,290,402
STRG.5970,433,911,1663,1147,759
STRG.5971,119,325,236,589,162
STRG.19800,364,135,426,256,91
STRG.19801,295,147,156,124,114
STRG.5974,32,197,71,80,98
STRG.19807,139,394,225,319,123
STRG.19804,814,539,746,1027,385
STRG.19805,1767,1574,1627,2388,695
STRG.5978,180,235,210,120,13
STRG.5979,119,9,8,0,0
STRG.19808,108,162,87,222,135
Pocillopora_meandrina_HIv1___RNAseq.g96.t1,0,0,0,0,18
Pocillopora_meandrina_HIv1___RNAseq.g25330.t1b,0,56,0,0,90
Pocillopora_meandrina_HIv1___RNAseq.g28244.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g15164.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g16035.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g13576.t1,0,0,0,19,0
STRG.10409,1339,2234,1191,3305,1006
STRG.10408,32,8,17,30,0
STRG.10405,36,53,74,26,63
STRG.10404,43,43,28,22,11
STRG.10407,265,286,226,241,66
STRG.10406,184,301,291,182,1658
STRG.10401,1039,860,2302,753,729
STRG.10400,3910,1377,1725,2142,1177
STRG.10403,681,550,932,814,445
STRG.10402,1734,1778,1804,1821,2355
STRG.18179,10,13,42,3,40
STRG.18178,7,4,18,6,21
Pocillopora_meandrina_HIv1___RNAseq.g22656.t1,0,0,0,0,0
STRG.18171,48,105,72,24,6
STRG.18170,11,13,25,27,0
STRG.18173,120,0,67,70,53
STRG.18172,56,72,321,176,32
STRG.18175,189,294,1085,463,23
STRG.18174,42,6,123,28,13
STRG.18177,161,0,7,0,0
STRG.18176,48,67,31,93,30
Pocillopora_meandrina_HIv1___RNAseq.g20613.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g17608.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g24217.t1,0,14,10,0,3
Pocillopora_meandrina_HIv1___RNAseq.g20548.t1,0,0,0,0,31
Pocillopora_meandrina_HIv1___RNAseq.g24390.t1,0,56,3,14,25
Pocillopora_meandrina_HIv1___RNAseq.g30018.t1,0,7,6,0,51
Pocillopora_meandrina_HIv1___RNAseq.g1313.t1,0,33,6,27,53
STRG.20877,248,296,174,275,23
STRG.529,4853,3293,6358,7652,641
STRG.528,2513,927,2340,1436,821
STRG.525,29,9,7,28,0
STRG.524,77,119,98,116,34
STRG.527,2493,1190,3233,1959,911
STRG.526,100,90,215,170,241
STRG.521,79,127,0,20,106
STRG.520,51,31,46,45,27
STRG.523,3481,1660,3995,2570,892
STRG.522,578,1574,1303,684,866
Pocillopora_meandrina_HIv1___RNAseq.g14618.t1,0,0,14,0,0
STRG.16588,26,13,0,0,44
STRG.16589,20,60,163,15,176
STRG.16582,1305,1704,859,1568,461
STRG.16583,2098,1189,2098,1999,405
STRG.16580,6,0,0,4,0
STRG.16581,29,535,4,278,92
STRG.16586,122,156,277,115,75
STRG.16587,69,49,0,0,34
STRG.16584,3395,998,6487,1456,880
STRG.16585,50,65,14,0,41
Pocillopora_meandrina_HIv1___RNAseq.g6583.t1,0,0,0,0,0
STRG.11752,128,311,160,54,83
STRG.11753,157,382,336,454,36
Pocillopora_meandrina_HIv1___TS.g19761.t1,0,0,8,12,0
STRG.11751,1198,677,1307,859,286
STRG.11756,122,263,611,87,88
STRG.11757,176,258,634,145,98
STRG.11754,93,18,43,35,15
STRG.11755,15,68,256,45,25
Pocillopora_meandrina_HIv1___RNAseq.g18401.t1,0,0,0,0,0
STRG.11758,134,205,431,15,82
STRG.11759,155,316,213,18,161
Pocillopora_meandrina_HIv1___RNAseq.g13608.t1,0,19,0,0,0
Pocillopora_meandrina_HIv1___TS.g7399.t1,0,0,0,0,0
STRG.20613,181,0,162,0,0
STRG.20612,122,1098,72,75,0
STRG.20611,106,257,0,4169,19
STRG.20610,435,406,147,229,45
STRG.20617,931,265,905,394,154
STRG.20616,162,130,377,236,265
STRG.20615,22,0,2,2,0
STRG.20614,60,81,0,0,15
STRG.20619,2,29,19,86,7
STRG.20618,80,0,108,59,30
Pocillopora_meandrina_HIv1___RNAseq.g16701.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g7091.t1,0,24,23,30,0
Pocillopora_meandrina_HIv1___TS.g12966.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g28835.t1,0,0,8,2,0
Pocillopora_meandrina_HIv1___RNAseq.g10460.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g324.t1b,0,26,168,55,62
Pocillopora_meandrina_HIv1___TS.g27058.t1,0,0,0,97,142
Pocillopora_meandrina_HIv1___TS.g9714.t1,0,0,0,0,0
STRG.9425,110,881,370,76,66
Pocillopora_meandrina_HIv1___RNAseq.g22921.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g22118.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g10891.t1,0,0,0,0,3
Pocillopora_meandrina_HIv1___RNAseq.g28010.t1,0,0,0,0,0
STRG.3542,1962,947,2006,1517,421
STRG.4617,1445,1096,1930,2085,406
STRG.3544,8,3,45,0,6
STRG.4614,6584,5523,9627,8142,13153
Pocillopora_meandrina_HIv1___RNAseq.g20973.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g9966.t1,0,0,0,0,0
STRG.17875,451,2090,524,491,352
Pocillopora_meandrina_HIv1___RNAseq.g27129.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g15096.t1,0,52,0,40,80
Pocillopora_meandrina_HIv1___RNAseq.g5186.t1,0,0,0,0,0
STRG.17874,861,716,1341,1533,47
STRG.6303,1993,805,4280,1722,449
STRG.6300,834,681,943,1011,845
Pocillopora_meandrina_HIv1___RNAseq.g28398.t1,0,22,0,0,33
STRG.6301,39,11,34,18,13
Pocillopora_meandrina_HIv1___RNAseq.g6080.t1,0,0,9,0,0
Pocillopora_meandrina_HIv1___RNAseq.g11638.t1,0,28,18,0,0
STRG.2815,692,899,1436,1521,397
STRG.5398,268,653,386,598,146
Pocillopora_meandrina_HIv1___RNAseq.g1603.t1,0,0,0,0,0
STRG.18253,431,459,380,264,448
Pocillopora_meandrina_HIv1___RNAseq.g7831.t1,0,0,0,0,10
STRG.1656,9,28,0,23,11
STRG.18997,1245,1072,1595,2286,1003
STRG.1658,27,2,0,18,9
STRG.18818,328,277,898,1119,173
STRG.18819,11,19,72,74,11
STRG.18812,3648,1963,936,4094,2203
STRG.18813,222,28,164,114,60
STRG.18810,296,205,305,72,94
STRG.18811,38,156,22,129,34
STRG.18816,372,481,768,715,491
STRG.18817,1109,800,1593,1135,593
STRG.18814,2187,3559,1100,1896,1615
STRG.18815,328,108,627,335,62
Pocillopora_meandrina_HIv1___RNAseq.g21936.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g18484.t1,0,0,0,0,0
STRG.18990,1579,1589,1615,1944,1233
Pocillopora_meandrina_HIv1___TS.g24764.t1,0,28,24,21,36
Pocillopora_meandrina_HIv1___RNAseq.g5025.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g28695.t1,0,2,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g27477.t1,0,112,36,615,157
STRG.7042,88,58,153,100,96
Pocillopora_meandrina_HIv1___RNAseq.g5248.t1,0,2,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g13773.t1,0,12,21,12,25
STRG.8093,11,51,11,24,6
Pocillopora_meandrina_HIv1___RNAseq.g27228.t1,0,727,0,63,60
STRG.8095,24,6,32,11,4
Pocillopora_meandrina_HIv1___RNAseq.g16689.t1,0,0,0,18,20
STRG.7044,3677,3020,3172,2558,1483
Pocillopora_meandrina_HIv1___RNAseq.g15415.t1,0,0,142,19,5
Pocillopora_meandrina_HIv1___RNAseq.g12758.t1,0,0,0,0,0
STRG.8097,1922,5914,3640,6975,2564
Pocillopora_meandrina_HIv1___TS.g4153.t1,0,1,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g18731.t1,0,0,0,0,0
STRG.19789,517,1123,549,1101,263
Pocillopora_meandrina_HIv1___RNAseq.g25060.t1,0,0,5,41,42
STRG.7048,108,14,151,28,0
STRG.59,398,357,477,364,269
Pocillopora_meandrina_HIv1___RNAseq.g16611.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g21166.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g17913.t1,0,0,0,0,0
STRG.9799,174,95,359,48,154
Pocillopora_meandrina_HIv1___RNAseq.g29003.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g21200.t1,0,0,0,31,0
STRG.8394,435,277,261,314,226
STRG.4925,2769,1624,1898,5653,366
Pocillopora_meandrina_HIv1___RNAseq.g2259.t1,0,90,23,46,36
Pocillopora_meandrina_HIv1___RNAseq.g6265.t1,0,11,0,0,0
STRG.16891,60,47,46,78,15
Pocillopora_meandrina_HIv1___TS.g27811.t1,0,0,0,10,0
STRG.16892,592,336,497,367,366
Pocillopora_meandrina_HIv1___RNAseq.g5737.t1,0,0,0,34,27
Pocillopora_meandrina_HIv1___RNAseq.g30192.t1,0,22,76,28,23
Pocillopora_meandrina_HIv1___RNAseq.g11413.t1,0,0,15,0,0
Pocillopora_meandrina_HIv1___RNAseq.g24812.t1,0,0,0,28,0
STRG.5394,23,67,27,51,0
Pocillopora_meandrina_HIv1___RNAseq.g24238.t1,0,0,2,0,0
STRG.69,2985,2764,4737,2636,1915
STRG.68,515,329,717,506,125
Pocillopora_meandrina_HIv1___TS.g16312.t1a,0,0,0,0,0
STRG.63,370,603,793,554,1445
STRG.62,34,17,85,39,31
STRG.61,22,0,56,0,2
STRG.60,817,741,1147,731,1586
STRG.67,265,140,421,299,44
Pocillopora_meandrina_HIv1___RNAseq.g29742.t1,0,0,2,0,15
STRG.65,21,58,11,17,0
STRG.64,78,25,28,30,32
STRG.14016,5,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g10224.t2d,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g10224.t2b,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g10224.t2c,0,0,0,12,0
Pocillopora_meandrina_HIv1___RNAseq.g10224.t2a,0,0,0,0,0
STRG.14014,107,0,0,17,12
STRG.11027,3,0,29,0,0
STRG.11020,788,1517,824,651,1115
STRG.14013,146,3,133,57,29
STRG.5396,80,74,130,72,84
STRG.11022,1432,1227,2652,1412,1058
STRG.14011,148,0,148,0,51
Pocillopora_meandrina_HIv1___RNAseq.g3199.t1,0,0,0,0,9
STRG.12267,165,224,16,126,105
STRG.12266,11,2,31,15,0
STRG.12265,598,2044,1744,885,973
STRG.12264,1091,468,706,489,270
STRG.12263,8877,5937,12070,8950,1499
STRG.12262,552,421,183,568,267
STRG.12261,296,296,254,316,224
Pocillopora_meandrina_HIv1___RNAseq.g19606.t1,0,14,40,0,0
STRG.12269,2516,5226,4804,5302,2619
STRG.12268,576,494,1531,142,443
Pocillopora_meandrina_HIv1___RNAseq.g18431.t1,0,0,0,0,0
STRG.442,1097,829,1781,1720,950
Pocillopora_meandrina_HIv1___RNAseq.g27294.t1a,0,0,3,1,2
Pocillopora_meandrina_HIv1___RNAseq.g27294.t1b,0,0,0,0,0
STRG.13630,284,93,262,178,123
Pocillopora_meandrina_HIv1___RNAseq.g28217.t1,0,71,0,28,27
Pocillopora_meandrina_HIv1___RNAseq.g19772.t1,0,14,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g25792.t1,0,0,0,27,0
Pocillopora_meandrina_HIv1___RNAseq.g11798.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g2809.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g4553.t1,0,0,11,0,0
Pocillopora_meandrina_HIv1___RNAseq.g19884.t1,0,20,0,0,10
Pocillopora_meandrina_HIv1___TS.g19358.t1,0,0,0,0,0
STRG.8548,5825,3689,9357,5141,3435
Pocillopora_meandrina_HIv1___RNAseq.g996.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g6964.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g20046.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g25790.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g9301.t1,0,0,0,0,7
Pocillopora_meandrina_HIv1___RNAseq.g23669.t1,0,57,73,122,29
Pocillopora_meandrina_HIv1___RNAseq.g19886.t1,0,0,0,0,0
STRG.17347,261,305,625,762,89
STRG.17346,11,30,22,25,21
STRG.17345,510,948,661,1096,575
STRG.17344,502,205,1053,273,162
STRG.17343,328,166,298,161,128
STRG.17342,207,131,200,131,186
STRG.17341,53,64,63,65,30
STRG.17340,4298,1552,6301,2612,624
Pocillopora_meandrina_HIv1___RNAseq.g7419.t1,0,2,13,0,1
STRG.17349,9635,12623,8715,9084,3878
STRG.17348,4744,4363,8542,4183,2173
Pocillopora_meandrina_HIv1___RNAseq.g18409.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g2749.t1,0,0,26,0,6
STRG.728,70,29,54,14,9
STRG.727,4,0,0,9,0
STRG.726,294,241,446,224,14
STRG.725,4,55,11,26,29
STRG.724,207,106,228,166,122
STRG.723,384,1429,489,2012,120
STRG.722,235,315,369,262,156
STRG.721,2974,1235,4146,1916,1439
STRG.720,51,104,26,45,39
Pocillopora_meandrina_HIv1___RNAseq.g17120.t1,0,0,9,3,23
Pocillopora_meandrina_HIv1___TS.g28783.t1,0,0,0,0,0
STRG.4539,5138,9334,9949,9874,2296
STRG.4538,268,480,506,627,223
STRG.4533,3840,2290,6195,9560,1726
STRG.4532,354,255,342,316,163
STRG.4531,5693,5448,8650,5738,8812
STRG.4530,90,330,139,287,153
STRG.4537,4567,3971,7060,3920,1041
STRG.4536,599,545,1030,700,529
STRG.4535,1485,926,1298,1113,1510
Pocillopora_meandrina_HIv1___TS.g21457.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g24597.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g17122.t1,0,0,0,0,78
Pocillopora_meandrina_HIv1___RNAseq.g6663.t1,0,0,0,0,19
Pocillopora_meandrina_HIv1___TS.g28990.t1,0,0,0,0,0
STRG.20451,647,412,914,1074,254
STRG.20450,45,111,194,103,101
STRG.20453,3376,2835,6323,4509,2455
STRG.20452,48,47,36,192,43
STRG.20455,2,0,0,31,0
STRG.20454,37,69,37,30,25
STRG.20457,600,283,565,872,428
STRG.20456,227,419,554,154,233
STRG.20459,104,9,11,0,16
STRG.20458,139,0,1453,1636,879
Pocillopora_meandrina_HIv1___RNAseq.g15318.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g23139.t1,0,0,69,0,9
Pocillopora_meandrina_HIv1___TS.g7216.t1,0,0,9,0,0
Pocillopora_meandrina_HIv1___RNAseq.g46.t1,0,10,223,0,0
Pocillopora_meandrina_HIv1___TS.g9845.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g13192.t1,0,0,20,0,0
Pocillopora_meandrina_HIv1___RNAseq.g3104.t1,0,28,26,0,0
Pocillopora_meandrina_HIv1___RNAseq.g18180.t1,0,0,0,0,0
STRG.20189,458,396,610,576,335
STRG.20188,679,236,1451,606,392
STRG.20183,557,900,795,705,381
STRG.20182,99,174,111,27,168
STRG.20181,203,31,164,33,89
STRG.20180,591,245,849,400,268
STRG.20187,4407,4345,4312,5049,2945
STRG.20186,1167,908,2619,1068,1742
STRG.20185,412,228,376,372,300
STRG.20184,43,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g13967.t1,0,14,0,51,3
Pocillopora_meandrina_HIv1___RNAseq.g6073.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g14833.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g30024.t1,0,43,45,5,5
Pocillopora_meandrina_HIv1___RNAseq.g3552.t1,0,13,43,0,97
Pocillopora_meandrina_HIv1___RNAseq.g19641.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g28763.t1,0,0,0,13,0
Pocillopora_meandrina_HIv1___RNAseq.g17875.t1b,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g17875.t1a,0,0,0,74,0
STRG.15172,7,0,0,0,0
STRG.6395,540,349,432,373,367
Pocillopora_meandrina_HIv1___RNAseq.g3550.t1,0,0,33,0,0
Pocillopora_meandrina_HIv1___RNAseq.g4216.t1,0,0,11,0,0
Pocillopora_meandrina_HIv1___RNAseq.g28882.t1,0,0,0,0,0
STRG.11958,584,72,880,349,695
STRG.11959,6,57,27,71,5
STRG.14708,176,434,264,253,48
STRG.14709,4271,2165,4090,3825,2168
STRG.11950,150,86,207,67,27
STRG.11951,367,611,282,616,844
STRG.11952,179,49,221,81,20
STRG.11953,29,48,144,108,33
STRG.14706,1617,1907,1842,2337,2030
STRG.11955,20,23,46,24,2
STRG.11956,777,487,448,764,255
STRG.11957,52,0,40,43,0
Pocillopora_meandrina_HIv1___TS.g23036.t1,0,0,0,0,0
STRG.15170,206,205,235,158,190
Pocillopora_meandrina_HIv1___TS.g13761.t1,0,23,0,40,0
STRG.15259,394,183,584,191,506
STRG.15258,4,36,21,245,18
STRG.15257,30,26,41,119,94
STRG.15256,104,80,68,72,72
STRG.15255,5644,4006,5222,7010,1670
STRG.15254,534,281,310,380,253
STRG.15253,1021,727,990,720,248
STRG.15252,191,54,276,116,25
STRG.15251,1313,410,1272,893,542
STRG.15250,2118,1183,3136,1648,1418
Pocillopora_meandrina_HIv1___RNAseq.g19555.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g13540.t1,0,53,0,0,5
Pocillopora_meandrina_HIv1___RNAseq.g4963.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g23980.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g22049.t1,0,0,0,11,0
Pocillopora_meandrina_HIv1___RNAseq.g14984.t1,0,4,16,0,0
STRG.6269,405,553,246,323,492
STRG.6268,229,137,276,227,58
STRG.6265,46,20,25,74,9
