accession,protein_name,gene_name,std_gene_name,species
T2MEH8,"Nuclease-sensitive element-binding protein 1",YBX1,YBX1,"Hydra vulgaris"
B5DE31,"Y-box-binding protein 1",ybx1,YBX1,"Danio rerio"
P21573,"Y-box-binding protein 1",ybx1,YBX1,"Xenopus laevis"
P62960,"Y-box-binding protein 1",Ybx1,YBX1,"Mus musculus"
P62961,"Y-box-binding protein 1",Ybx1,YBX1,"Rattus norvegicus"
P67808,"Y-box-binding protein 1",YBX1,YBX1,"Bos taurus"
P67809,"Y-box-binding protein 1",YBX1,YBX1,"Homo sapiens"
Q06066,"Y-box-binding protein 1",YBX1,YBX1,"Gallus gallus"
Q28618,"Y-box-binding protein 1",YBX1,YBX1,"Oryctolagus cuniculus"
B2RX14,"Terminal uridylyltransferase 4",Tut4,TUT4,"Mus musculus"
Q5TAX3,"Terminal uridylyltransferase 4",TUT4,TUT4,"Homo sapiens"
Q5BLK4,"Terminal uridylyltransferase 7",Tut7,TUT7,"Mus musculus"
Q5VYS8,"Terminal uridylyltransferase 7",TUT7,TUT7,"Homo sapiens"
A0A2B4R5W7,"Protein lin-28-like A",lin28a,LIN28A,"Stylophora pistillata"
A0A0C2M9F6,"Nuclear cap-binding protein subunit 2",RF11_13932,NCBP2,"Thelohanellus kitauei"
A0A2B4STT0,"Nuclear cap-binding protein subunit 2",Cbp20,NCBP2,"Stylophora pistillata"
A0A3M6TNP0,"Nuclear cap-binding protein subunit 2",pdam_00001828,NCBP2,"Pocillopora damicornis"
A0A6G3MKY9,"Nuclear cap-binding protein subunit 2",NCBP2 OS=Henneguya salminicola OX=69463,NCBP2,"Henneguya salminicola"
A0A6P8IKU3,"Nuclear cap-binding protein subunit 2",LOC116302279,NCBP2,"Actinia tenebrosa"
A0A6S7FT41,"Nuclear cap-binding protein subunit 2",PACLA_8A061461,NCBP2,"Paramuricea clavata"
A0A7M5X3V4,"Nuclear cap-binding protein subunit 2",NCBP2 OS=Clytia hemisphaerica OX=252671,NCBP2,"Clytia hemisphaerica"
A0A913XWC7,"Nuclear cap-binding protein subunit 2",NCBP2 OS=Exaiptasia diaphana OX=2652724,NCBP2,"Exaiptasia diaphana"
A0A9W9YC25,"Nuclear cap-binding protein subunit 2",NCBP2,NCBP2,"Desmophyllum pertusum"
A0AAD9QSS1,"Nuclear cap-binding protein subunit 2",P5673_009535,NCBP2,"Acropora cervicornis"
A0AAU9WMU5,"Nuclear cap-binding protein subunit 2",PMEA_00008434,NCBP2,"Pocillopora meandrina"
A7S8K1,"Nuclear cap-binding protein subunit 2",NEMVEDRAFT_v1g167764,NCBP2,"Nematostella vectensis"
A0ABM4D9X7,"Nuclear cap-binding protein subunit 2",LOC100214121,NCBP2,"Hydra vulgaris"
A0ABM4DD37,"Nuclear cap-binding protein subunit 2",LOC100203423,NCBP2,"Hydra vulgaris"
A0ABN8QGP8,"Nuclear cap-binding protein subunit 2",PEVE_00004891,NCBP2,"Porites evermanni"
A0ABN8R0C7,"Nuclear cap-binding protein subunit 2",PLOB_00012832,NCBP2,"Porites lobata"
A0ABN8SQ08,"Nuclear cap-binding protein subunit 2",PEVE_00026158,NCBP2,"Porites evermanni"
A0A2B4S717,"polyribonucleotide nucleotidyltransferase",PNPT1,PNPT1,"Stylophora pistillata"
A0A2B4SRM6,"Zinc finger protein AEBP2",aebp2,AEBP2,"Stylophora pistillata"
A0A6P8H9M8,"Zinc finger protein aebp2-like",LOC116289439,AEBP2,"Actinia tenebrosa"
A0A9W9ZCQ2,"Zinc finger protein aebp2",AEBP2,AEBP2,"Desmophyllum pertusum"
A0AAD9V7U4,"Zinc finger protein AEBP2",P5673_012961,AEBP2,"Acropora cervicornis"
T2MBM4,"Zinc finger protein AEBP2",AEBP2,AEBP2,"Hydra vulgaris"
A0A6P8HV34,"Protein argonaute-1",LOC116293197,AGO1,"Actinia tenebrosa"
A0A913WVM7,"Protein argonaute-1",AGO1 OS=Exaiptasia diaphana OX=2652724,AGO1,"Exaiptasia diaphana"
A7RQ46,"Protein argonaute-1",NEMVEDRAFT_v1g180719,AGO1,"Nematostella vectensis"
U3MIG1,"Protein argonaute-1",AGO1 OS=Nematostella vectensis OX=45351,AGO1,"Nematostella vectensis"
A0A2B4R957,"Protein argonaute-2",Ago2,AGO2,"Stylophora pistillata"
A0A2B4T0T4,"Protein argonaute-2",Ago2,AGO2,"Stylophora pistillata"
A0A2B4T345,"Protein argonaute-2",Ago2,AGO2,"Stylophora pistillata"
A0A2S1PRW9,"Putative argonaute-2",AGO2 OS=Actinia equina OX=6106,AGO2,"Actinia equina"
A0A6P8HJ48,"Protein argonaute-2-like",LOC116293154,AGO2,"Actinia tenebrosa"
A0A6S7HZC7,"Argonaute-2 isoform X1",PACLA_8A050538,AGO2,"Paramuricea clavata"
A0A6S7I8S6,"Argonaute-2 isoform X1",PACLA_8A073078,AGO2,"Paramuricea clavata"
A0A6S7ILJ3,"Argonaute 2",PACLA_8A058506,AGO2,"Paramuricea clavata"
A0A6S7IZ23,"Argonaute-2 isoform X2",PACLA_8A031707,AGO2,"Paramuricea clavata"
A0A7D9HG59,"Argonaute-2-like isoform X2",PACLA_8A010163,AGO2,"Paramuricea clavata"
A0A7D9IPU3,"Argonaute-2-like isoform X1",PACLA_8A023353,AGO2,"Paramuricea clavata"
A0AAD9QEE9,"Protein argonaute-2",P5673_017394,AGO2,"Acropora cervicornis"
A0AAD9QER2,"Protein argonaute-2",P5673_017544,AGO2,"Acropora cervicornis"
A0AAD9V3D6,"Protein argonaute-2",P5673_017353,AGO2,"Acropora cervicornis"
A0AAD9V3F0,"Protein argonaute-2",P5673_017352,AGO2,"Acropora cervicornis"
A0ABM4B6G4,"Protein argonaute-2 isoform X6",LOC100197980,AGO2,"Hydra vulgaris"
A0ABM4B6G9,"Protein argonaute-2 isoform X3",LOC100197980,AGO2,"Hydra vulgaris"
A0ABM4B6H4,"Protein argonaute-2 isoform X4",LOC100197980,AGO2,"Hydra vulgaris"
A0ABM4B6H5,"Protein argonaute-2 isoform X5",LOC100197980,AGO2,"Hydra vulgaris"
A0ABN8QPB6,"Protein argonaute-2",PEVE_00006288,AGO2,"Porites evermanni"
T2M321,"Protein argonaute-2",EIF2C2,AGO2,"Hydra vulgaris"
U3MH35,"Argonaute 2",AGO2 OS=Nematostella vectensis OX=45351,AGO2,"Nematostella vectensis"
A0A913WYP4,"SERRATE/Ars2 C-terminal domain-containing protein",SRRT OS=Exaiptasia diaphana OX=2652724,SRRT,"Exaiptasia diaphana"
A0A2B4SB72,"Serrate RNA effector molecule-like",srrt,SRRT,"Stylophora pistillata"
A0A3M6ULZ9,"SERRATE/Ars2 N-terminal domain-containing protein",pdam_00022040,SRRT,"Pocillopora damicornis"
A0A9W9YEP4,"SERRATE/Ars2 C-terminal domain-containing protein",OS493_007886,SRRT,"Desmophyllum pertusum"
A0A9W9YGB8,"SERRATE/Ars2 C-terminal domain-containing protein",OS493_007887,SRRT,"Desmophyllum pertusum"
A7RQB5,"Ars2/serrate-like protein",NEMVEDRAFT_v1g239938,SRRT,"Nematostella vectensis"
T2M6C4,"Serrate RNA effector molecule homolog",SRRT,SRRT,"Hydra vulgaris"
T2MD51,"Bromodomain-containing protein 3",BRD3,BRD3,"Hydra vulgaris"
A0A2B4SMQ4,"CCR4-NOT transcription complex subunit 3",Cnot3,CNOT3,"Stylophora pistillata"
A0A7D9DNQ7,"CCR4-NOT transcription complex subunit 3",PACLA_8A032947,CNOT3,"Paramuricea clavata"
A0A9W9YT29,"CCR4-NOT transcription complex subunit 3",CNOT3,CNOT3,"Desmophyllum pertusum"
T2MHP8,"CCR4-NOT transcription complex subunit 4",CNOT4,CNOT4,"Hydra vulgaris"
A0A2B4RKW2,"CCR4-NOT transcription complex subunit 9",rqcd1,CNOT9,"Stylophora pistillata"
A0A2B4RRB6,"CCR4-NOT transcription complex subunit 11",CNOT11,CNOT11,"Stylophora pistillata"
A0A2B4SHE3,"CCR4-NOT transcription complex subunit 2",CNOT2,CNOT2,"Stylophora pistillata"
A0A2B4SVK1,"CCR4-NOT transcription complex subunit 10",CNOT10,CNOT10,"Stylophora pistillata"
A0A3M6T4M6,"CCR4-NOT transcription complex subunit 1",pdam_00019776,CNOT1,"Pocillopora damicornis"
A0A3M6T706,"CCR4-NOT transcription complex subunit 10",pdam_00020045,CNOT10,"Pocillopora damicornis"
A0A3M6TKM6,"CCR4-NOT transcription complex subunit 2",pdam_00006627,CNOT2,"Pocillopora damicornis"
A0A3M6U436,"CCR4-NOT transcription complex subunit 9",pdam_00015197,CNOT9,"Pocillopora damicornis"
A0A3M6UWL4,"CCR4-NOT transcription complex subunit 3",pdam_00013845,CNOT3,"Pocillopora damicornis"
A0A6P8HR61,"CCR4-NOT transcription complex subunit 1",LOC116294578,CNOT1,"Actinia tenebrosa"
A0A6P8HSB4,"CCR4-NOT transcription complex subunit 1",LOC116294578,CNOT1,"Actinia tenebrosa"
A0A6P8HZN0,"CCR4-NOT transcription complex subunit 1",LOC116294578,CNOT1,"Actinia tenebrosa"
A0A6P8IF94,"CCR4-NOT transcription complex subunit 10",LOC116300631,CNOT10,"Actinia tenebrosa"
A0A6P8IF97,"CCR4-NOT transcription complex subunit 10",LOC116300631,CNOT10,"Actinia tenebrosa"
A0A6P8IIE4,"CCR4-NOT transcription complex subunit 11",LOC116301398,CNOT11,"Actinia tenebrosa"
A0A6P8IJM8,"CCR4-NOT transcription complex subunit 3",LOC116302054,CNOT3,"Actinia tenebrosa"
A0A6P8IQU3,"CCR4-NOT transcription complex subunit 9",LOC116303814,CNOT9,"Actinia tenebrosa"
A0A6S7GFH2,"CCR4-NOT transcription complex subunit 3",PACLA_8A032947,CNOT3,"Paramuricea clavata"
A0A6S7GFJ7,"CCR4-NOT transcription complex subunit 1 isoform X5",PACLA_8A070647,CNOT1,"Paramuricea clavata"
A0A6S7GKM9,"CCR4-NOT transcription complex subunit 1 isoform X5",PACLA_8A070647,CNOT1,"Paramuricea clavata"
A0A6S7HXS9,"CCR4-NOT transcription complex subunit 10",PACLA_8A041319,CNOT10,"Paramuricea clavata"
A0A7D9HL35,"CCR4-NOT transcription complex subunit 10",PACLA_8A073124,CNOT10,"Paramuricea clavata"
A0A7M5UWH2,"CCR4-NOT transcription complex subunit 11",CNOT11 OS=Clytia hemisphaerica OX=252671,CNOT11,"Clytia hemisphaerica"
A0A7M5VGD3,"CCR4-NOT transcription complex subunit 1",CNOT1 OS=Clytia hemisphaerica OX=252671,CNOT1,"Clytia hemisphaerica"
A0A7M5WMI6,"CCR4-NOT transcription complex subunit 1",CNOT1 OS=Clytia hemisphaerica OX=252671,CNOT1,"Clytia hemisphaerica"
A0A7M5WRU6,"CCR4-NOT transcription complex subunit 9",CNOT9 OS=Clytia hemisphaerica OX=252671,CNOT9,"Clytia hemisphaerica"
A0A7M5WXZ1,"CCR4-NOT transcription complex subunit 10",CNOT10 OS=Clytia hemisphaerica OX=252671,CNOT10,"Clytia hemisphaerica"
A0A913WQI1,"CCR4-NOT transcription complex subunit 10",CNOT10 OS=Exaiptasia diaphana OX=2652724,CNOT10,"Exaiptasia diaphana"
A0A913X2C4,"CCR4-NOT transcription complex subunit 10",CNOT10 OS=Exaiptasia diaphana OX=2652724,CNOT10,"Exaiptasia diaphana"
A0A913X8I0,"CCR4-NOT transcription complex subunit 9",CNOT9 OS=Exaiptasia diaphana OX=2652724,CNOT9,"Exaiptasia diaphana"
A0A913YFB7,"CCR4-NOT transcription complex subunit 1",CNOT1 OS=Exaiptasia diaphana OX=2652724,CNOT1,"Exaiptasia diaphana"
A0A913YPT4,"CCR4-NOT transcription complex subunit 3",CNOT3 OS=Exaiptasia diaphana OX=2652724,CNOT3,"Exaiptasia diaphana"
A0A9W9Y9T5,"CCR4-NOT transcription complex subunit 10",CNOT10,CNOT10,"Desmophyllum pertusum"
A0A9W9YDV2,"CCR4-NOT transcription complex subunit 2",CNOT2,CNOT2,"Desmophyllum pertusum"
A0A9W9YNI7,"CCR4-NOT transcription complex subunit 9",RQCD1,CNOT9,"Desmophyllum pertusum"
A0A9W9ZAE8,"CCR4-NOT transcription complex subunit 11",CNOT11,CNOT11,"Desmophyllum pertusum"
A0A9W9ZK46,"CCR4-NOT transcription complex subunit 1",CNOT1_4,CNOT1,"Desmophyllum pertusum"
A0AAD9PWP5,"CCR4-NOT transcription complex subunit 1",P5673_028803,CNOT1,"Acropora cervicornis"
A0AAD9Q331,"CCR4-NOT transcription complex subunit 9",P5673_024743,CNOT9,"Acropora cervicornis"
A0AAD9QNN7,"CCR4-NOT transcription complex subunit 10",P5673_012182,CNOT10,"Acropora cervicornis"
A0AAD9VF17,"CCR4-NOT transcription complex subunit 3",P5673_003441,CNOT3,"Acropora cervicornis"
A0AAD9VG55,"CCR4-NOT transcription complex subunit 2",P5673_001653,CNOT2,"Acropora cervicornis"
A0AAU9VKE6,"CCR4-NOT transcription complex subunit 11",PMEA_00000182,CNOT11,"Pocillopora meandrina"
A0AAU9VNN9,"CCR4-NOT transcription complex subunit 1",PMEA_00000675,CNOT1,"Pocillopora meandrina"
A0AAU9VYU0,"CCR4-NOT transcription complex subunit 10",PMEA_00029226,CNOT10,"Pocillopora meandrina"
A0AAU9W496,"CCR4-NOT transcription complex subunit 9",PMEA_00031289,CNOT9,"Pocillopora meandrina"
A0AAU9W8K4,"CCR4-NOT transcription complex subunit 3",PMEA_00002098,CNOT3,"Pocillopora meandrina"
A0AAU9XZ66,"CCR4-NOT transcription complex subunit 2",PMEA_00034257,CNOT2,"Pocillopora meandrina"
A7RRG5,"CCR4-NOT transcription complex subunit 1",NEMVEDRAFT_v1g90783,CNOT1,"Nematostella vectensis"
A7S6D9,"CCR4-NOT transcription complex subunit 2",NEMVEDRAFT_v1g229512,CNOT2,"Nematostella vectensis"
A7SRS9,"CCR4-NOT transcription complex subunit 9",NEMVEDRAFT_v1g173618,CNOT9,"Nematostella vectensis"
T2M7T1,"CCR4-NOT transcription complex subunit 9",RQCD1,CNOT9,"Hydra vulgaris"
T2MIQ3,"CCR4-NOT transcription complex subunit 3",CNOT3,CNOT3,"Hydra vulgaris"
A0A3M6UDZ7,"CCR4-NOT transcription complex subunit 11",pdam_00012166,CNOT11,"Pocillopora damicornis"
A0A6P8IFI8,"CCR4-NOT transcription complex subunit 2-like",LOC116300739,CNOT2,"Actinia tenebrosa"
A0A913X1U9,"CCR4-NOT transcription complex subunit 11",CNOT11 OS=Exaiptasia diaphana OX=2652724,CNOT11,"Exaiptasia diaphana"
A0AAD9VA66,"CCR4-NOT transcription complex subunit 11",P5673_009985,CNOT11,"Acropora cervicornis"
A0ABM4CF37,"CCR4-NOT transcription complex subunit 3 isoform X4",LOC100215888,CNOT3,"Hydra vulgaris"
A0ABM4CF56,"CCR4-NOT transcription complex subunit 3 isoform X6",LOC100215888,CNOT3,"Hydra vulgaris"
A0ABM4CF63,"CCR4-NOT transcription complex subunit 3 isoform X5",LOC100215888,CNOT3,"Hydra vulgaris"
A0ABM4CIM4,"CCR4-NOT transcription complex subunit 9",LOC100207934,CNOT9,"Hydra vulgaris"
A0ABM4D6N2,"CCR4-NOT transcription complex subunit 2 isoform X5",LOC100214909,CNOT2,"Hydra vulgaris"
A0ABM4D6N8,"CCR4-NOT transcription complex subunit 2 isoform X6",LOC100214909,CNOT2,"Hydra vulgaris"
A0ABM4D6P1,"CCR4-NOT transcription complex subunit 2 isoform X7",LOC100214909,CNOT2,"Hydra vulgaris"
A0ABM4D6Q4,"CCR4-NOT transcription complex subunit 2 isoform X8",LOC100214909,CNOT2,"Hydra vulgaris"
A0ABM4DNB8,"CCR4-NOT transcription complex subunit 10",LOC100204834,CNOT10,"Hydra vulgaris"
A0ABM4DNI1,"CCR4-NOT transcription complex subunit 11",LOC136072046,CNOT11,"Hydra vulgaris"
A0ABM4DQI0,"CCR4-NOT transcription complex subunit 1-like isoform X2",LOC136072151,CNOT1,"Hydra vulgaris"
A0ABM4DQI2,"CCR4-NOT transcription complex subunit 1-like isoform X1",LOC136072151,CNOT1,"Hydra vulgaris"
A0ABN8LBB0,"CCR4-NOT transcription complex subunit 9",PEVE_00043609,CNOT9,"Porites evermanni"
A0ABN8LU57,"CCR4-NOT transcription complex subunit 11",PEVE_00002139,CNOT11,"Porites evermanni"
A0ABN8LU70,"CCR4-NOT transcription complex subunit 1",PEVE_00005781,CNOT1,"Porites evermanni"
A0ABN8M6V9,"CCR4-NOT transcription complex subunit 10",PEVE_00025667,CNOT10,"Porites evermanni"
A0ABN8P512,"CCR4-NOT transcription complex subunit 1",PLOB_00037094,CNOT1,"Porites lobata"
A0ABN8PAS4,"CCR4-NOT transcription complex subunit 11",PLOB_00038235,CNOT11,"Porites lobata"
A0ABN8QRL4,"CCR4-NOT transcription complex subunit 9",PLOB_00008760,CNOT9,"Porites lobata"
A0ABN8QRZ0,"CCR4-NOT transcription complex subunit 3",PLOB_00010202,CNOT3,"Porites lobata"
A0ABN8QTF3,"CCR4-NOT transcription complex subunit 10",PLOB_00009696,CNOT10,"Porites lobata"
A0ABN8RR53,"CCR4-NOT transcription complex subunit 3",PEVE_00013932,CNOT3,"Porites evermanni"
A7RPS5,"CCR4-NOT transcription complex subunit 11",NEMVEDRAFT_v1g161349,CNOT11,"Nematostella vectensis"
A7SLB4,"CCR4-Not complex component Not N-terminal domain-containing protein",NEMVEDRAFT_v1g122610,CNOT,"Nematostella vectensis"
A7T876,"CCR4-NOT transcription complex subunit 11",NEMVEDRAFT_v1g223683,CNOT11,"Nematostella vectensis"
T2M3N6,"CCR4-NOT transcription complex subunit 2",CNOT2,CNOT2,"Hydra vulgaris"
A0A9W9ZQW3,"RNA helicase",DDX17,DDX17,"Desmophyllum pertusum"
T2M8E4,"RNA helicase",DDX17,DDX17,"Hydra vulgaris"
U3MIG6,"Pasha/DGCR8",DGCR8 OS=Nematostella vectensis OX=45351,DGCR8,"Nematostella vectensis"
A0AAU9W1B1,"Dicer-like protein 1",PMEA_00031583,DICER1,"Pocillopora meandrina"
A0AAU9W1F6,"Dicer-like protein 1",PMEA_00031589,DICER1,"Pocillopora meandrina"
A0AAU9W1F7,"Dicer-like protein 1",PMEA_00031590,DICER1,"Pocillopora meandrina"
A0AAU9W2N8,"Dicer-like protein 1",PMEA_00031593,DICER1,"Pocillopora meandrina"
A0AAU9W623,"Dicer-like protein 1",PMEA_00031580,DICER1,"Pocillopora meandrina"
A0A2B4SEC2,"Endoribonuclease Dicer",dicer1,DICER1,"Stylophora pistillata"
A0A6P8HSF4,"Endoribonuclease Dicer-like",LOC116294837,DICER1,"Actinia tenebrosa"
A0A6S7HW35,"Endoribonuclease Dicer-like",PACLA_8A073209,DICER1,"Paramuricea clavata"
A0A6S7J182,"Endoribonuclease Dicer",PACLA_8A004317,DICER1,"Paramuricea clavata"
A0A6S7K0D5,"Endoribonuclease Dicer",PACLA_8A060218,DICER1,"Paramuricea clavata"
A0A7D9ICQ4,"Endoribonuclease Dicer",PACLA_8A004317,DICER1,"Paramuricea clavata"
A0A9W9ZLJ7,"Endoribonuclease Dicer",DICER1_2,DICER1,"Desmophyllum pertusum"
A0A9W9ZMA9,"Endoribonuclease Dicer",DICER1_1,DICER1,"Desmophyllum pertusum"
U3MG90,"Dicer 2",DICER2 OS=Nematostella vectensis OX=45351,DICER2,"Nematostella vectensis"
U3MHS9,"Dicer 1",DICER1 OS=Nematostella vectensis OX=45351,DICER1,"Nematostella vectensis"
A0ABM4CG80,"Endoribonuclease Dicer isoform X3",LOC100206464,DICER1,"Hydra vulgaris"
A0ABM4CG82,"Endoribonuclease Dicer isoform X5",LOC100206464,DICER1,"Hydra vulgaris"
A0ABM4CG84,"Endoribonuclease Dicer isoform X6",LOC100206464,DICER1,"Hydra vulgaris"
A0ABM4CG86,"Endoribonuclease Dicer isoform X4",LOC100206464,DICER1,"Hydra vulgaris"
A0ABM4CG87,"Endoribonuclease Dicer isoform X2",LOC100206464,DICER1,"Hydra vulgaris"
A0ABM4CGA2,"Endoribonuclease Dicer isoform X3",LOC100204990,DICER1,"Hydra vulgaris"
A0A3M6UA93,"DIS3-like exonuclease 2",pdam_00009227,DIS3L2,"Pocillopora damicornis"
A0A6P8IBF1,"DIS3-like exonuclease 2",LOC116297931,DIS3L2,"Actinia tenebrosa"
A0A6S7HY99,"DIS3-like exonuclease 2",PACLA_8A015944,DIS3L2,"Paramuricea clavata"
A0A913XKY9,"DIS3-like exonuclease 2",DIS3L2 OS=Exaiptasia diaphana OX=2652724,DIS3L2,"Exaiptasia diaphana"
A0A913YMU4,"DIS3-like exonuclease 2",DIS3L2 OS=Exaiptasia diaphana OX=2652724,DIS3L2,"Exaiptasia diaphana"
A0AAD9QGC6,"DIS3-like exonuclease 2",P5673_016780,DIS3L2,"Acropora cervicornis"
T2M9C5,"DIS3-like exonuclease 2",DIS3L2,DIS3L2,"Hydra vulgaris"
A0A2B4RZH6,"DIS3-like exonuclease 1",Dis3l,DIS3L,"Stylophora pistillata"
A0A2B4S3E4,"Protein DIS3 homolog",Dis3,DIS3,"Stylophora pistillata"
A0A2B4SIN6,"DIS3-like exonuclease 2",Dis3l2,DIS3L2,"Stylophora pistillata"
A0A3M6T9B7,"DIS3-like exonuclease 1",pdam_00009030,DIS3L,"Pocillopora damicornis"
A0A6P8IWP8,"DIS3-like exonuclease 1",LOC116305674,DIS3L,"Actinia tenebrosa"
A0A6P8J2S5,"Protein DIS3 homolog",LOC116307709,DIS3,"Actinia tenebrosa"
A0A7M5V7R7,"Protein DIS3 homolog",DIS3 OS=Clytia hemisphaerica OX=252671,DIS3,"Clytia hemisphaerica"
A0A7M5X8U0,"DIS3-like exonuclease 1",DIS3L OS=Clytia hemisphaerica OX=252671,DIS3L,"Clytia hemisphaerica"
A0A913XIF9,"DIS3-like exonuclease 1",DIS3L OS=Exaiptasia diaphana OX=2652724,DIS3L,"Exaiptasia diaphana"
A0A913YVQ7,"Protein DIS3 homolog",DIS3 OS=Exaiptasia diaphana OX=2652724,DIS3,"Exaiptasia diaphana"
A0A9W9YJY0,"DIS3-like exonuclease 2",DIS3L2_2,DIS3L2,"Desmophyllum pertusum"
A0A9X0CVG2,"Protein DIS3 homolog",DIS3,DIS3,"Desmophyllum pertusum"
A0AAD9QKZ4,"Protein DIS3 homolog",P5673_013589,DIS3,"Acropora cervicornis"
A0AAD9VBE9,"DIS3-like exonuclease 1",P5673_007777,DIS3L,"Acropora cervicornis"
A0AAU9VML6,"DIS3-like exonuclease 1",PMEA_00010508,DIS3L,"Pocillopora meandrina"
A0AAU9W398,"Protein DIS3 homolog",PMEA_00033300,DIS3,"Pocillopora meandrina"
A0ABM4CVR5,"DIS3-like exonuclease 2",LOC100211666,DIS3L2,"Hydra vulgaris"
A0ABN8LRU0,"DIS3-like exonuclease 1",PEVE_00005079,DIS3L,"Porites evermanni"
A0ABN8LW62,"DIS3-like exonuclease 2",PEVE_00004333,DIS3L2,"Porites evermanni"
A0ABN8QAU6,"DIS3-like exonuclease 1",PLOB_00003894,DIS3L,"Porites lobata"
A7S7H2,"DIS3-like exonuclease 1",NEMVEDRAFT_v1g107726,DIS3L,"Nematostella vectensis"
A0A9X0D7A5,"DIS3 mitotic control",DIS3L_3,DIS3L,"Desmophyllum pertusum"
A0ABM4DE52,"DIS3-like exonuclease 1",LOC100204348,DIS3L,"Hydra vulgaris"
A0A2B4RZH6,"DIS3-like exonuclease 1",Dis3l,DIS3L,"Stylophora pistillata"
A0A9X0D7A5,"DIS3 mitotic control",DIS3L_3,DIS3L,"Desmophyllum pertusum"
A0A2B4SZP1,"DNA (cytosine-5)-methyltransferase",DNMT1,DNMT1,"Stylophora pistillata"
A0A3M6TBL6,"DNA (cytosine-5)-methyltransferase",pdam_00005872,DNMT1,"Pocillopora damicornis"
A0A6P8HX88,"DNA (cytosine-5)-methyltransferase",LOC116296182,DNMT1,"Actinia tenebrosa"
A0A7M5WVQ1,"DNA (cytosine-5)-methyltransferase",DNMT1 OS=Clytia hemisphaerica OX=252671,DNMT1,"Clytia hemisphaerica"
A0A913XJJ0,"DNA (cytosine-5)-methyltransferase",DNMT1 OS=Exaiptasia diaphana OX=2652724,DNMT1,"Exaiptasia diaphana"
A0AAD9VAJ8,"DNA (cytosine-5)-methyltransferase",P5673_008755,DNMT1,"Acropora cervicornis"
A0A3M6T916,"DNA (cytosine-5-)-methyltransferase",pdam_00007070,DNMT1,"Pocillopora damicornis"
A0A6P8IZG3,"DNA (cytosine-5-)-methyltransferase",LOC116306918,DNMT1,"Actinia tenebrosa"
A0A7M5WTF5,"DNA (cytosine-5-)-methyltransferase",DNMT1 OS=Clytia hemisphaerica OX=252671,DNMT1,"Clytia hemisphaerica"
A0A9W9YGD1,"DNA (cytosine-5-)-methyltransferase",DNMT1_3,DNMT1,"Desmophyllum pertusum"
A0A9X0DBG0,"DNA (Cytosine-5)-methyltransferase 1",DNMT1_1,DNMT1,"Desmophyllum pertusum"
A0AAU9WSG6,"DNA (cytosine-5-)-methyltransferase",PMEA_00011214,DNMT1,"Pocillopora meandrina"
A0ABM4BEM5,"DNA (cytosine-5)-methyltransferase",LOC100202736,DNMT1,"Hydra vulgaris"
A0ABN8M8F3,"DNA (cytosine-5-)-methyltransferase",PEVE_00023930,DNMT1,"Porites evermanni"
A0ABN8NMG9,"DNA (cytosine-5)-methyltransferase",PLOB_00018878,DNMT1,"Porites lobata"
A0ABN8PW75,"DNA (cytosine-5-)-methyltransferase",PLOB_00048927,DNMT1,"Porites lobata"
A0ABM4BY06,"DNA (cytosine-5-)-methyltransferase",LOC100209870,DNMT1,"Hydra vulgaris"
A0ABM4BY25,"DNA (cytosine-5-)-methyltransferase",LOC100209870,DNMT1,"Hydra vulgaris"
A0A2B4S762,"Ribonuclease 3",DROSHA,DROSHA,"Stylophora pistillata"
A0A3M6UR52,"Ribonuclease 3",pdam_00017463,DROSHA,"Pocillopora damicornis"
A0A6P8HTE4,"Ribonuclease 3",LOC116294948,DROSHA,"Actinia tenebrosa"
A0A913YT85,"Ribonuclease 3",DROSHA OS=Exaiptasia diaphana OX=2652724,DROSHA,"Exaiptasia diaphana"
A0AAU9VVD7,"Ribonuclease 3",PMEA_00022263,DROSHA,"Pocillopora meandrina"
A0ABN8N3W6,"Drosha",PLOB_00001028,DROSHA,"Porites lobata"
U3MMT8,"Drosha",DROSHA OS=Nematostella vectensis OX=45351,DROSHA,"Nematostella vectensis"
A0A6P8IV59,"Enhancer of mRNA-decapping protein 3",LOC116305228,EDC3,"Actinia tenebrosa"
A0A7M5WQI7,"Enhancer of mRNA-decapping protein 4 WD40 repeat region domain-containing protein",EDC4 OS=Clytia hemisphaerica OX=252671,EDC4,"Clytia hemisphaerica"
A0A7M5WZX2,"Enhancer of mRNA-decapping protein 3",EDC3 OS=Clytia hemisphaerica OX=252671,EDC3,"Clytia hemisphaerica"
A0A913XG81,"Enhancer of mRNA-decapping protein 3",EDC3 OS=Exaiptasia diaphana OX=2652724,EDC3,"Exaiptasia diaphana"
A0A913YNN4,"Enhancer of mRNA-decapping protein 4",EDC4 OS=Exaiptasia diaphana OX=2652724,EDC4,"Exaiptasia diaphana"
A0A9W9ZNU7,"Enhancer of mRNA decapping 4",EDC4,EDC4,"Desmophyllum pertusum"
A0AAD9UYL2,"Enhancer of mRNA-decapping protein 4",P5673_023711,EDC4,"Acropora cervicornis"
A0AAU9VZL5,"Enhancer of mRNA-decapping protein 4",PMEA_00028537,EDC4,"Pocillopora meandrina"
A0ABN8RVR2,"Enhancer of mRNA-decapping protein 4",PLOB_00028650,EDC4,"Porites lobata"
A0ABN8S704,"Enhancer of mRNA-decapping protein 4",PEVE_00017724,EDC4,"Porites evermanni"
